series,year,ordinal,date,category,name,rankland_id,xcpcio_id,pta_id,archive_id
Other,2024,12,2024-06-02,Provincial,sncpc,sncpc12th,,,
ICPC,2024,49,2024-05-26,Invitational,kunming,icpc2024invitational-kunming,icpc/49th/kunming-invitational,,
Other,2024,,2024-05-26,Provincial,shandong,,provincial-contest/2024/shandong,,
Other,2024,11,2024-05-26,Provincial,fujian,,provincial-contest/2024/fujian,,
Other,2024,21,2024-05-26,Provincial,guangdong,,provincial-contest/2024/guangdong,,
Other,2024,,2024-05-26,Provincial,hebei,,provincial-contest/2024/hebei,,
CCPC,2024,10,2024-05-26,Invitational,fuzhou,ccpc2024invitational-fuzhou,,,
CCPC,2024,10,2024-05-26,Invitational,jinan,ccpc2024invitational-jinan,,,
Other,2024,8,2024-05-26,Provincial,hecpc,hecpc8th,,,
Other,2024,11,2024-05-26,Provincial,fjcpc,fjcpc11th,,,
Other,2024,14,2024-05-26,Provincial,sdcpc,sdcpc14th,,,
Other,2024,21,2024-05-26,Provincial,gdcpc,gdcpc21st,,,
ICPC,2024,49,2024-05-25,Warmup,kunming,,icpc/49th/kunming-warmup,,
Other,2024,21,2024-05-25,Warmup,guangdong,,provincial-contest/2024/guangdong-warmup,,
Other,2024,,2024-05-25,Warmup,hebei,,provincial-contest/2024/hebei-warmup,,
ICPC,2024,49,2024-05-19,Warmup,xian,,icpc/49th/xian-invitational-warmup,,
ICPC,2024,49,2024-05-19,Invitational,xian,icpc2024invitational-xi_an,icpc/49th/xian-invitational,,
Other,2024,,2024-05-19,Provincial,beijing,,provincial-contest/2024/beijing,,
Other,2024,7,2024-05-19,Provincial,guangxi,,provincial-contest/2024/guangxi,,
Other,2024,,2024-05-19,Provincial,bjcpc,bjcpc2024,,,
Other,2024,7,2024-05-19,Provincial,gxcpc,gxcpc7th,,,
Other,2024,,2024-05-12,Provincial,henan,,provincial-contest/2024/henan,,
Other,2024,,2024-05-12,Provincial,jiangsu,,provincial-contest/2024/jiangsu,,
Other,2024,17,2024-05-12,Provincial,nmcpc,nmcpc17th,,,
Other,2024,9,2024-05-12,Provincial,jscpc,jscpc9th,,,
Other,2024,6,2024-05-12,Provincial,haccpc,haccpc6th,,,
Other,2024,16,2024-05-12,School,sdutpc16,sdutpc16,,,
Other,2024,,2024-05-11,Warmup,henan,,provincial-contest/2024/henan-warmup,,
ICPC,2024,49,2024-05-02,Invitational,wuhan,icpc2024invitational-wuhan,icpc/49th/wuhan-invitational,,
ICPC,2024,49,2024-05-01,Warmup,wuhan,,icpc/49th/wuhan-invitational-warmup,,
Other,2024,,2024-04-27,Provincial,hubei,,provincial-contest/2024/hubei,,
Other,2024,6,2024-04-27,Provincial,hbcpc,hbcpc6th,,,
Other,2024,,2024-04-26,Warmup,hubei,,provincial-contest/2024/hubei-warmup,,
ICPC,2022,47,2024-04-18,Final,worldfinals,icpc47thworldfinals,icpc/47th/world-finals,,
ICPC,2021,46,2024-04-18,Final,worldfinals,icpc46thworldfinals,icpc/46th/world-finals,,
Other,2024,,2024-04-13,Provincial,zhejiang,,provincial-contest/2024/zhejiang,,
Other,2024,,2024-04-13,Warmup,zhejiang,,provincial-contest/2024/zhejiang-warmup,,
Other,2024,21,2024-04-13,Provincial,zjcpc,zjcpc21st,,,
CCPC,2023,9,2024-03-31,Final,final,ccpc2023final,ccpc/9th/final,,9_CCPC_总决赛
CCPC,2023,9,2024-03-30,Warmup,final,,ccpc/9th/final-warmup,,
ICPC,2023,48,2024-01-13,Final,ecfinal,icpc2023ecfinal,icpc/48th/ecfinal,,48_ICPC_ECFinal
ICPC,2023,48,2024-01-12,Warmup,ecfinal,,icpc/48th/ecfinal-warmup,,
ICPC,2023,48,2023-12-10,Regional,hangzhou,icpc2023hangzhou,icpc/48th/hangzhou,,48_ICPC_杭州
ICPC,2023,48,2023-12-09,Warmup,hangzhou,,icpc/48th/hangzhou-warmup,,
ICPC,2023,48,2023-12-03,Regional,jinan,icpc2023jinan,icpc/48th/jinan,,48_ICPC_济南
ICPC,2023,48,2023-12-02,Warmup,jinan,,icpc/48th/jinan-warmup,,
ICPC,2023,48,2023-11-26,Regional,hefei,icpc2023hefei,icpc/48th/hefei,,48_ICPC_合肥
ICPC,2023,48,2023-11-25,Warmup,hefei,,icpc/48th/hefei-warmup,,
ICPC,2023,48,2023-11-19,Regional,macau,icpc2023macau,icpc/48th/macau,,48_ICPC_澳门
ICPC,2023,48,2023-11-12,Regional,shenyang,icpc2023shenyang,icpc/48th/shenyang,,48_ICPC_沈阳
CCPC,2023,9,2023-11-12,Regional,shenzhen,ccpc2023shenzhen,ccpc/9th/shenzhen,,9_CCPC_深圳
ICPC,2023,48,2023-11-11,Warmup,shenyang,,icpc/48th/shenyang-warmup,,
CCPC,2023,9,2023-11-11,Warmup,shenzhen,,ccpc/9th/shenzhen-warmup,,
ICPC,2023,48,2023-11-05,Regional,nanjing,icpc2023nanjing,icpc/48th/nanjing,,48_ICPC_南京
CCPC,2023,9,2023-11-05,Regional,harbin,ccpc2023harbin,ccpc/9th/harbin,,9_CCPC_哈尔滨
ICPC,2023,48,2023-11-04,Warmup,nanjing,,icpc/48th/nanjing-warmup,,
CCPC,2023,9,2023-11-04,Warmup,harbin,,ccpc/9th/harbin-warmup,,
CCPC,2023,9,2023-10-29,Regional,guilin,ccpc2023guilin,ccpc/9th/guilin,,9_CCPC_桂林
CCPC,2023,9,2023-10-28,Warmup,guilin,,ccpc/9th/guilin-warmup,,
ICPC,2023,48,2023-10-22,Regional,xian,icpc2023xi_an,icpc/48th/xian,,48_ICPC_西安
CCPC,2023,9,2023-10-21,Vocational,vocational,ccpc2023hv,ccpc/9th/vocational,,
CCPC,2023,9,2023-10-21,Girls,girls,ccpc2023ladies,ccpc/9th/girl,,
CCPC,2023,9,2023-10-20,Warmup,,,ccpc/9th/girl-warmup,,
CCPC,2023,9,2023-10-20,Warmup,vocational,,ccpc/9th/vocational-warmup,,
CCPC,2023,9,2023-10-15,Regional,qinhuangdao,ccpc2023qinhuangdao,ccpc/9th/qinhuangdao,,9_CCPC_秦皇岛
CCPC,2023,9,2023-10-14,Warmup,qinhuangdao,,ccpc/9th/qinhuangdao-warmup,,
ICPC,2023,48,2023-09-23,Online,online2,,icpc/48th/online-qualification-2,,
ICPC,2023,48,2023-09-17,Online,online1,,icpc/48th/online-qualification-1,,
Other,2023,19,2023-09-17,Provincial,hunan,,provincial-contest/2023/hunan,,
Other,2023,19,2023-09-17,Provincial,hncpc,hncpc19th,,,
CCPC,2023,9,2023-08-20,Online,online,,ccpc/9th/online-qualification,,
Other,2023,13,2023-06-04,Provincial,shandong,,provincial-contest/2023/shandong,,
Other,2023,6,2023-06-04,Provincial,guangxi,,provincial-contest/2023/guangxi,,
ICPC,2023,48,2023-06-04,Invitational,srni,icpc2023srni,,,
Other,2023,13,2023-06-04,Provincial,sdcpc,sdcpc13th,,,
Other,2023,6,2023-06-04,Provincial,gxcpc,gxcpc6th,,,
Other,2023,15,2023-06-04,Provincial,sccpc,sccpc15th,,,
Other,2023,13,2023-06-03,Warmup,shandong,,provincial-contest/2023/shandong-warmup,,
Other,2023,6,2023-06-03,Warmup,guangxi,,provincial-contest/2023/guangxi-warmup,,
CCPC,2023,9,2023-05-28,Invitational,xiangtan,ccpc2023invitational-xiangtan,ccpc/9th/xiangtan-invitational,,
CCPC,2023,9,2023-05-28,Invitational,jiangsuandxiangtan,,ccpc/9th/jiangsu-and-xiangtan,,
Other,2023,,2023-05-28,Provincial,jiangsu,,provincial-contest/2023/jiangsu,,
Other,2023,8,2023-05-28,Provincial,jscpc,jscpc8th,,,
Other,2023,,2023-05-28,School,thupc,thupc2023,,,
Other,2023,15,2023-05-28,School,sdutpc15,sdutpc15,,,
CCPC,2023,9,2023-05-27,Warmup,xiangtan,,ccpc/9th/xiangtan-invitational-warmup,,
CCPC,2023,9,2023-05-27,Warmup,jiangsuandxiangtan,,ccpc/9th/jiangsu-and-xiangtan-warmup,,
Other,2023,,2023-05-27,Warmup,jiangsu,,provincial-contest/2023/jiangsu-warmup,,
Other,2023,,2023-05-21,Provincial,jiangxi,,provincial-contest/2023/jiangxi,,
Other,2023,,2023-05-21,Provincial,hebei,,provincial-contest/2023/hebei,,
Other,2023,7,2023-05-21,Provincial,hecpc,hecpc7th,,,
Other,2023,,2023-05-21,Provincial,jxcpc,jxcpc2023,,,
Other,2023,,2023-05-20,Provincial,xinjiang,,provincial-contest/2023/xinjiang,,
Other,2023,,2023-05-20,Provincial,xjcpc,xjcpc2023,,,
ICPC,2023,48,2023-05-14,Warmup,xian,,icpc/48th/xian-invitational-warmup,,
ICPC,2023,48,2023-05-14,Invitational,xian,icpc2023invitational-xi_an,icpc/48th/xian-invitational,,
Other,2023,20,2023-05-14,Provincial,guangdong,,provincial-contest/2023/guangdong,,
Other,2023,20,2023-05-14,Provincial,gdcpc,gdcpc20th,,,
CCPC,2022,8,2023-05-14,Final,final,ccpc2022final,ccpc/8th/final,,8_CCPC_总决赛
Other,2023,20,2023-05-13,Warmup,guangdong,,provincial-contest/2023/guangdong-warmup,,
CCPC,2022,8,2023-05-13,Warmup,final,,ccpc/8th/final-warmup,,
Other,2023,5,2023-05-07,Provincial,henan,,provincial-contest/2023/henan,,
Other,2023,5,2023-05-07,Provincial,haccpc,haccpc5th,,,
Other,2023,5,2023-05-05,Warmup,henan,,provincial-contest/2023/henan-warmup,,
Other,2023,5,2023-04-30,Provincial,hubei,,provincial-contest/2023/hubei,,
Other,2023,5,2023-04-30,Provincial,hbcpc,hbcpc5th,,,
Other,2023,5,2023-04-29,Warmup,hubei,,provincial-contest/2023/hubei-warmup,,
Other,2023,20,2023-04-15,Provincial,zhejiang,,provincial-contest/2023/zhejiang,,
Other,2023,20,2023-04-15,Warmup,zhejiang,,provincial-contest/2023/zhejiang-warmup,,
Other,2023,20,2023-04-15,Provincial,zjcpc,zjcpc20th,,,
ICPC,2022,47,2023-03-25,Final,ecfinal,icpc2022ecfinal,icpc/47th/ec-final,,47_ICPC_ECFinal
ICPC,2022,47,2023-01-14,Warmup,hongkong,,icpc/47th/hongkong-warmup,,
ICPC,2022,47,2023-01-14,Regional,hongkong,icpc2022hongkong,icpc/47th/hongkong,,47_ICPC_香港
ICPC,2022,47,2022-12-18,Regional,nanjing,icpc2022nanjing,icpc/47th/nanjing,,47_ICPC_南京
ICPC,2022,47,2022-12-17,Warmup,nanjing,,icpc/47th/nanjing-warmup,,
ICPC,2022,47,2022-12-04,Regional,hangzhou,icpc2022hangzhou,icpc/47th/hangzhou,,47_ICPC_杭州
ICPC,2022,47,2022-12-03,Warmup,hangzhou,,icpc/47th/hangzhou-warmup,,
ICPC,2022,47,2022-11-27,Regional,jinan,icpc2022jinan,icpc/47th/jinan,,47_ICPC_济南
CCPC,2022,8,2022-11-27,Girls,girls,ccpc2022ladies,ccpc/8th/girls,,
ICPC,2022,47,2022-11-26,Warmup,jinan,,icpc/47th/jinan-warmup,,
CCPC,2022,8,2022-11-26,Warmup,,,ccpc/8th/girls-warmup,,
ICPC,2022,47,2022-11-20,Regional,hefei,icpc2022hefei,icpc/47th/hefei,,47_ICPC_合肥
