series,year,ordinal,date,category,name,rankland_id,xcpcio_id,pta_id,archive_id
ICPC,2013,38,2013-10-20,Regional,uestc,,icpc/2013/uestc_onsite,,
ICPC,2013,38,2013-10-20,Regional,chengdu,icpc2013chengdu,,,
ICPC,2013,38,2013-09-28,Online,jluonline,,icpc/2013/jlu_online,,
ICPC,2013,38,2013-09-22,Online,hnuonline,,icpc/2013/hnu_online,,
ICPC,2013,38,2013-09-21,Online,njustonline,,icpc/2013/njust_online,,
ICPC,2013,38,2013-09-15,Online,zjutonline,,icpc/2013/zjut_online,,
ICPC,2013,38,2013-09-14,Online,uestconline,,icpc/2013/uestc_online,,
ICPC,2012,37,2012-11-11,Regional,nsu,,icpc/2012/nsu_onsite,,
ICPC,2012,37,2012-11-11,Regional,chengdu,icpc2012chengdu,,,
ICPC,2012,37,2012-11-04,Regional,zstu,,icpc/2012/zstu_onsite,,
ICPC,2012,37,2012-11-04,Regional,hangzhou,icpc2012hangzhou,,,
ICPC,2012,37,2012-10-28,Regional,zjnu,,icpc/2012/zjnu_onsite,,
ICPC,2012,37,2012-10-28,Regional,jinhua,icpc2012jinhua,,,
ICPC,2012,37,2012-10-21,Regional,tjut,,icpc/2012/tjut_onsite,,
ICPC,2012,37,2012-10-21,Regional,tianjin,icpc2012tianjin,,,
ICPC,2012,37,2012-10-14,Regional,nenu,,icpc/2012/nenu_onsite,,
ICPC,2012,37,2012-10-14,Regional,changchun,icpc2012changchun,,,
ICPC,2012,37,2012-09-23,Online,zstuonline,,icpc/2012/zstu_online,,
ICPC,2012,37,2012-09-22,Online,zjnuonline,,icpc/2012/zjnu_online,,
ICPC,2012,37,2012-09-16,Online,nsuonline,,icpc/2012/nsu_online,,
ICPC,2012,37,2012-09-09,Online,tjutonline,,icpc/2012/tjut_online,,
ICPC,2012,37,2012-09-08,Online,nenuonline,,icpc/2012/nenu_online,,
ICPC,2012,37,2012-09-01,Online,ccniitonline,,icpc/2012/ccniit_online,,
ICPC,2011,36,2011-11-20,Regional,fjnu,,icpc/2011/fjnu_onsite,,
ICPC,2011,36,2011-11-20,Regional,fuzhou,icpc2011fuzhou,,,
ICPC,2011,36,2011-11-06,Regional,ccniit,,icpc/2011/ccniit_onsite,,
ICPC,2011,36,2011-11-06,Regional,chengdu,icpc2011chengdu,,,
ICPC,2011,36,2011-10-23,Regional,bupt,,icpc/2011/bupt_onsite,,
ICPC,2011,36,2011-10-23,Regional,beijing,icpc2011beijing,,,
ICPC,2011,36,2011-10-16,Regional,fdu,,icpc/2011/fdu_onsite,,
ICPC,2011,36,2011-10-16,Regional,shanghai,icpc2011shanghai,,,
ICPC,2011,36,2011-10-07,Online,fjnuonline,,icpc/2011/fjnu_online,,
ICPC,2011,36,2011-09-25,Regional,dlut,,icpc/2011/dlut_onsite,,
ICPC,2011,36,2011-09-25,Regional,dalian,icpc2011dalian,,,
ICPC,2011,36,2011-09-18,Online,buptonline,,icpc/2011/bupt_online,,
ICPC,2011,36,2011-09-11,Online,ccniitonline,,icpc/2011/ccniit_online,,
ICPC,2011,36,2011-09-10,Online,fduonline,,icpc/2011/fdu_online,,
ICPC,2011,36,2011-09-03,Online,dlutonline,,icpc/2011/dlut_online,,
ICPC,2011,36,2011-09-01,Regional,fdu0,,icpc/2011/fdu_onsite0,,
ICPC,2011,36,2011-09-01,Regional,dlut2,,icpc/2011/dlut_onsite2,,
ICPC,2011,36,2011-09-01,Regional,ccniit000,,icpc/2011/ccniit_onsite000,,
ICPC,2010,35,2010-11-21,Regional,fzu,,icpc/2010/fzu_onsite,,
ICPC,2010,35,2010-11-21,Regional,fuzhou,icpc2010fuzhou,,,
ICPC,2010,35,2010-11-07,Regional,scu,,icpc/2010/scu_onsite,,
ICPC,2010,35,2010-11-07,Regional,chengdu,icpc2010chengdu,,,
ICPC,2010,35,2010-10-24,Regional,zstu,,icpc/2010/zstu_onsite,,
ICPC,2010,35,2010-10-24,Regional,hangzhou,icpc2010hangzhou,,,
ICPC,2010,35,2010-10-17,Regional,tju,,icpc/2010/tju_onsite,,
ICPC,2010,35,2010-10-17,Regional,tianjin,icpc2010tianjin,,,
ICPC,2010,35,2010-10-10,Online,fzuonline,,icpc/2010/fzu_online,,
ICPC,2010,35,2010-09-26,Regional,hrbeu,,icpc/2010/hrbeu_onsite,,
ICPC,2010,35,2010-09-26,Regional,harbin,icpc2010harbin,,,
ICPC,2010,35,2010-09-19,Online,zstuonline,,icpc/2010/zstu_online,,
ICPC,2010,35,2010-09-18,Online,scuonline,,icpc/2010/scu_online,,
ICPC,2010,35,2010-09-12,Online,tjuonline,,icpc/2010/tju_online,,
ICPC,2010,35,2010-09-11,Online,hrbeuonline,,icpc/2010/hrbeu_online,,
ICPC,2009,34,2009-09-11,Regional,whu,,icpc/2009/whu_onsite,,
ICPC,2009,34,2009-09-11,Online,whuonline,,icpc/2009/whu_online,,
ICPC,2009,34,2009-09-11,Online,ustconline,,icpc/2009/ustc_online,,
ICPC,2009,34,2009-09-11,Online,dhuonline,,icpc/2009/dhu_online,,
ICPC,2009,34,2009-09-11,Online,hitonline,,icpc/2009/hit_online,,
ICPC,2009,34,2009-09-11,Online,nitonline,,icpc/2009/nit_online,,
ICPC,2009,34,2009-09-11,Regional,wuhan,icpc2009wuhan,,,
CCPC,2017,3,,Regional,shenyang,ccpc2017shenyang,,,
CCPC,2017,3,,Regional,xian,ccpc2017xi_an,,,
CCPC,2017,3,,Regional,qingdao,ccpc2017qingdao,,,
ICPC,2016,41,,Regional,harbin,icpc2016harbin,,,
ICPC,2016,41,,Regional,xian,icpc2016xi_an,,,
ICPC,2016,41,,Regional,shanghai,icpc2016shanghai,,,
CCPC,2016,2,,Regional,hongkong,ccpc2016hongkong,,,
CCPC,2016,2,,Regional,shenyang,ccpc2016shenyang,,,
