Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl,A,B,C,D,E,F,G,H,I,J,K,L
168,哈尔滨理工大学,哈理工2019秋12,2,201,Honorable,郭留阳,李皓丞,蒲巍,,,,,,+2(11),,+3(130),,,-6,-2,,
169,中国人民解放军信息工程大学,扎铁了老心,2,204,Honorable,芦笑瑜,程思鹏,李沅锴,,,,,,+1(10),,+2(174),,,-16,,,
170,桂林电子科技大学,罗小黑战队,2,205,Honorable,陆光湖,陈丹阳,吴希贤,,,,,,+1(21),,+1(183),,,,,,
171,河南工业大学,我们想到一个绝妙的队名，可惜这里太小，写不下,2,210,Honorable,李维航,计宝,张伟涛,,,,,,+1(8),,+3(162),,,-5,,,
172,南阳师范学院,搞搞搞,2,212,Honorable,张峻溥,卫洪宇,刘振兴,,,,,,+1(15),,,,,+2(177),,,
173,北华大学,我思故我在,2,216,Honorable,欧阳隆,林倩,秦鹏,,,,,,+2(16),,+2(160),,,,,,
174,桂林电子科技大学,一A不WA,2,226,Honorable,郑元昆,张婷玉,龚俊名,,,,,,+1(6),,+2(200),,,-4,,,
175,河海大学,急着回家玩剑盾,2,234,Honorable,颜小涵,何瑾雨,王竞同,,,,,,+1(6),,+3(187),,,-2,,,
176,北京林业大学,夕山林寸,2,234,Honorable,康旭,万诗龙,黄奕超,,,,,,+3(20),,+1(174),,,,,,
177,北京化工大学,想个队名8,2,239,Honorable,熊东东,庄禹,陈聘之,,,-1,,,+1(9),,,,,+4(169),,,
178,杭州师范大学,喵喵鹅,2,241,Honorable,谭洁,金峥卉,彭敬畏,,,,,,+1(9),,-10,,,+2(212),,,
179,福建工程学院,队友骗我写假算法,2,242,Honorable,蔡宇航,魏惠新,汪礼俊,,,,,,+4(36),,-13,,,+1(145),,,
180,合肥工业大学,58岁的颜值选手,2,250,Honorable,周运沛,杨家林,李智,,,-6,,,+3(30),,+4(119),,,-4,,,
181,山东农业大学,兄弟齐心，五百来斤,2,251,Honorable,王秉义,徐文瞳,管伟鸿,,,,,,+1(13),,+1(238),,,-2,,,
182,燕山大学,试一发，AC就好,2,265,Honorable,戴昊,赵科森,万孝国,,,,,,+1(13),,+1(252),,,-1,,,
183,南开大学,全部ac不要问我几个,2,282,Honorable,戚晓睿,孙一丁,董佳霖,,,,,,+1(9),,,,,+2(252),,,
184,福建师范大学,打铁自动鸡,2,299,Honorable,朱蔚钦,胡天为,陈政霖,,,,,,+3(28),,+4(170),,,-4,,,
185,中国传媒大学,震惊！三名大学生打acm竟然发生了这种事......,2,302,Honorable,荆薇,李晨曦,陈仕柏,,,,,,+2(15),,+3(226),,,,,,
186,安阳工学院,顾氏姐妹,2,304,Honorable,娄志垚,吴军广,毕志永,,,,,,+2(12),,+5(192),,,-3,,,
187,青岛大学,一个老学弟和两个小学长队,2,305,Honorable,王聪,李斌,姬忠鲁,,,,,,+1(13),,+3(251),,,,,-1,
188,北京信息科技大学,涅槃,2,368,Honorable,吴礼尉,潘博雅,司马晨,,,,,,+1(4),,+5(283),,,-4,,,
189,中北大学,气球扎不爆怎么办,2,390,Honorable,谢明君,谢思杰,伞俊霖,,,,,,+1(11),,+6(278),,,-2,,,
190,浙江财经大学,过不了安检的铁憨憨,1,4,Honorable,丁一凡,朱智凯,徐俊楠,,,,,,+1(4),,-1,,,-3,,,
191,哈尔滨学院,发际线,1,5,Honorable,冯小芸,李瞻哲,李柏松,,,,,,+1(5),,-10,,,-3,,-1,
192,石家庄铁道大学,稳住我们能银,1,6,Honorable,卢昊洋,宁宇,蒲煜凡,,,,,,+1(6),,-4,,,,,,
193,南京理工大学,一时不好想队名,1,6,Honorable,何家奇,何政禹,李佳胜,,,,,,+1(6),,-1,,,-3,,,
194,杭州电子科技大学信息工程学院,断幺九,1,6,Honorable,蒋柯,洪昕妍,朱佳斌,,,,,,+1(6),,-3,,,-2,,,
195,北京交通大学,奈特沃克流,1,7,Honorable,刘星雨,邓修齐,刘珏鸿,,,,,,+1(7),,,,,-2,,,
196,南京邮电大学,大草原,1,9,Honorable,李一雄,陈煜阳,李昊宇,,,,,,+1(9),,-6,,,-4,,,
197,吉林大学,流浪气球,1,9,Honorable,金昊邦,杨浩宇,刘济尘,,,,,,+1(9),,-3,,,-4,,,
198,江西财经大学,差不多就好,1,10,Honorable,游心,肖熠,郭鹏,,,,,,+1(10),,-6,,,,,,
199,华南师范大学,Team1_CCPC_SCNU_SE,1,11,Honorable,王虹,何智聪,江浚哲,,,,,,+1(11),,,,,-3,,,
200,安阳师范学院,安师小队,1,11,Honorable,岳阳,姜兴轮,程钰杰,,,-1,,,+1(11),,,,,-1,,,
201,北京农学院,哈撒给,1,12,Honorable,宋玉兵,邓琰,孙远远,,,,,,+1(12),,-4,,,-1,,,
202,内蒙古科技大学包头师范学院,BTTC-AC过滤器,1,12,Honorable,白崴,于洋,智浩天,,,,,,+1(12),,,,,-7,,,
203,商丘学院应用科技学院,算法弱者,1,13,Honorable,陈铱啸,邓越,王振华,,,,,,+1(13),,,,,-6,,,
204,内蒙古电子信息职业技术学院,内电子,1,13,Honorable,张熙,闫欣,张浩,,,,,,+1(13),,,,,,,-1,
205,东北林业大学,东林观摩团,1,13,Honorable,田丁筱菲,赵雪,吴雨思,,,,,,+1(13),,,,,-2,,,
206,华东交通大学,我们无法一起学习,1,13,Honorable,刘舒蕾,吴晟阳,田蓥,,,,,,+1(13),,,,,-4,,,
207,山东师范大学,唯沁学姐的全球粉丝后援会,1,14,Honorable,王欣,田健,浦秋龙,,,,,,+1(14),,,,,-4,,,
208,燕山大学,燕儿飞,1,15,Honorable,邢浩哲,申昊帅,陈一铭,,,,,,+1(15),,,,,-3,,,
209,河北师范大学,你想吃啥,1,15,Honorable,赵昱森,陶家欢,惠晨钰,,,,,,+1(15),,,,,-2,,,
210,郑州轻工业学院,WELCOME_to_轻大,1,15,Honorable,陈卓,高启,武成林,,,,,,+1(15),,-9,,,,-2,,
211,安徽财贸职业学院,安财胜羽,1,16,Honorable,祝炜曈,罗瑞靖,李丽娟,,,,,,+1(16),,,,,-11,,,
212,西南民族大学,窝窝头一块钱四个,1,18,Honorable,王帅,韦磊,刘韩君,,,,,,+1(18),,-5,,,,,,
213,中国人民解放军信息工程大学,学习强国,1,19,Honorable,董煜,宋智辉,刘昊晖,,,,,,+1(19),,,,,,,,
214,通化师范学院,thnu_acmer_01,1,21,Honorable,黎洋洋,任佳宇,杨双鸿,,,,,,+1(21),,-1,,,,,,
215,曲阜师范大学,幼儿园班车,1,22,Honorable,卞振伟,于涛,张宇,,,,,,+1(22),,-3,,,-2,,,
216,内蒙古大学,IMU-感到鸭力,1,24,Honorable,周萌,秦海祺,王金宁,,,,,,+1(24),,,,,-3,,,
217,上海电机学院,恶魔卖萌喵喵喵,1,29,Honorable,潘嘉杰,刘晓鹏,许欢,,,-1,,,+2(9),,-2,,,,,,
218,内蒙古科技大学,IMUST-不想TLE,1,31,Honorable,李浩,王剑波,曹以诚,,,,,,+2(11),,,,,-2,,,
219,东莞理工学院,霖之子至,1,32,Honorable,林钾钒,韦至韬,杜子聪,,,,,,+2(12),,,,,-1,,,
220,天津工业大学,别打cf,1,37,Honorable,朱斌扬,张旭,周邱涵,,,,,,+2(17),,-6,,,,,,
221,河北农业大学,国家级打铁队,1,37,Honorable,王斌成,方虎成,吴亮,,,,,,+1(37),,-1,,,-1,,,
222,内蒙古师范大学,师大一队,1,37,Honorable,刘兴民,张泽兴,张志鹏,,,,,,+1(37),,-1,,,,,,
223,河南科技大学,跳跃龙门,1,38,Honorable,刘健,王涛,李家祥,,,,,,+2(18),,-1,,,,,,
224,北华航天工业学院,航天救火大队,1,38,Honorable,毛经伦,宋耀东,丁梓峻,,,,,,+2(18),,,,,-2,,,
225,淮北师范大学,答案,1,41,Honorable,汪岩,李泽民,余兴兴,,,,,,+2(21),,-5,,,-4,,,
226,河北工程大学,她扒拉我,1,43,Honorable,孙元晨,邓燕朝,李晓洋,,,,,,+2(23),,-1,,,-1,,,
227,武昌首义学院,六神花露水真的好用,1,45,Honorable,蒋佳洲,吴思达,黄澳,,,,,,+1(45),,-7,,,,,,
228,山东师范大学,拿铁,1,45,Honorable,郑欣玥,马云龙,赵宝乐,,,,,,+2(25),,,,,,,,
229,集宁师范学院,集师二队,1,46,Honorable, 魏富生,翁雪莹,伊丽娜,,,,,,+1(46),,,,,,,,
230,中南民族大学,看队友打代码,1,47,Honorable,余关林,石雷鸣,万祚全,,,,,,+2(27),,-1,,,,,,
231,集宁师范学院,集师一队,1,54,Honorable,金敏,李钰铖,徐曈,,,,,,+2(34),,,,,,-1,,
232,黑龙江工程学院,你写代码像cxk,1,55,Honorable,刘亮,杨云鹏,卢鹏,,,,,,+3(15),,-2,,,,,,
233,东北电力大学,楼上大佬等等我,1,56,Honorable,熊茂林,吴胤谷,欧昀,,,,,,+2(36),,-2,,,-7,,,
234,黑龙江大学,蒟蒻出门看大佬,1,58,Honorable,黄祺深,宋福海,石奇欣,,,,,,+3(18),,,,,,,,
235,河北农业大学现代科技学院,口算MD5,1,61,Honorable,李晓晓,刘恺煊,马鑫,,,,,,+1(61),,,,,,,-2,
236,保定职业技术学院,保定府槐茂酱油队,1,75,Honorable,满帅,杨自航,郭燕伟,,,-1,,,+2(55),,,,,-9,,,
237,河北大学,秦皇岛一日游,1,77,Honorable,杨宇生,崔博,陈家兴,,,,,,+3(37),,,,,-2,,,
238,河北农业大学,算法从入门到光头,1,86,Honorable,王啸岳,暴泽伦,陈亮,,,,,,+4(26),,,,,,,-5,
239,内蒙古大学,IMU-守护最好的坤坤,1,143,Honorable,黄姚佳,张泽宇,于天浩,,,-3,,,+4(83),,,,,,,,
240,华东交通大学理工学院,蒟蒻,1,162,Honorable,张攀,温鑫,王天福,,,-4,,,+4(102),,,,,,,,
