Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,Dirt,Medal,Member1,Member2,Member3,Coaches,Unofficial,Girl
66,63,香港城市大学,Pure 2025,2,127,-,-6,-,-,-,-,-,+1(8),-,-5,+1(119),-,0%,Bronze,燕雅超,高立由,邓子冲,Minming Li ,N,N
67,64,东北大学秦皇岛分校,Don't Hack Me,2,151,-,-,-,-,-,-,-,+2(14),-,-23,+1(117),-,33%,Bronze,朱逸飞,陈小全,赵星凯,Hexing Wang ,N,N
68,65,成都东软学院,My Little Pony won't use Snickers before meeting Rainbow Dash,2,152,-,-9,-,-,-,-,-,+1(9),-,+2(123),-5,-,33%,Bronze,吴庭信,王俊喆,陈一夫,Lin Tian ,N,N
69,66,澳门大学,icy_firefly,2,157,-,-2,-,-,-,-,-,+1(11),-,-4,+4(86),-,60%,Bronze,高淼悦,席跃,张容嘉,Zehan Lin ,N,N
70,67,中国地质大学北京,Little Foodie Loves Penalty Time,2,171,-,-,-,-,-,-,-,+1(12),-,-2,+1(159),-,0%,Bronze,牛鸿宇,叶宇翔,滕俊宁,Junbao Xia ,N,N
71,,香港城市大学,Feel the Russian Style,2,173,-,-,-,-,-,-,-,+1(11),-,-1,+2(142),-,33%,Bronze,Gizatullin Timur,Demidov Ilia,Evstafev Andrei,Minming Li ,N,N
72,68,上海科技大学,WA Deeds Done Dirt Cheap,2,182,-,-1,-,-,-,-,-,+1(9),-,-2,+3(133),-,50%,Bronze,姜昕宇,陈钊堃,王俊篪,Kewei Tu ,N,N
73,69,西安邮电大学,Dreamer without love,2,184,-,-,-,-,-,-,-,+1(10),-,-11,+4(114),-,60%,Bronze,石宇,武奕源,赵旭东,Qingsheng Zhang ,N,N
74,70,齐鲁工业大学,add uuz to your qq group meow thank you meow,2,225,-,-,-,-,-,-,-,+2(12),-,-5,+2(173),-,50%,Bronze,杨梓睿,国展源,张宸维,Yan Pan ,N,N
75,71,山东理工大学,Respawn of entropy,2,243,-,-,-,-,-,-,-,+2(14),-,-6,+3(169),-,60%,Bronze,刘超,张俊,袁烨,Xianwei Zhang ,N,N
76,72,江西财经大学,Fondness? Delusion!,2,265,-,-,-,-,-,-,-,+3(17),-,-6,+2(188),-,60%,Bronze,衷铭川,万俊哲,张云菲,Jian Jiang ,N,N
