Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
133,华中农业大学,Fat Fat Bin,3,422,+1(15),-7,+3(242),,,,,,,+3(85),,-1
134,哈尔滨工业大学,salt fish fawks,3,493,+1(24),+5(211),-6,-1,,,,,,+2(158),,
135,东北林业大学,SomeTimeNative,3,538,+2(11),-5,+7(289),,,,,,,+1(98),,
136,中国人民解放军信息工程大学,hello_world,3,555,+2(19),-1,+5(291),,,,,,,+3(105),,
137,哈尔滨理工大学,HRBUST16,3,578,+1(17),,+3(266),,,,,,,+6(155),,
138,浙江中医药大学,ZCMU-HZ2,3,677,+2(65),,+1(232),,,,,,,+6(260),,
139,国防科技大学,ACMA,3,737,+1(21),+6(223),,,,,,,,+8(253),,
140,浙江财经大学,goodbye,3,910,+2(20),,+6(290),,,,,,,+12(280),,
141,东北大学,Wings,2,79,+1(7),,+1(72),,,,,,,-8,,
142,北京林业大学,stella!,2,82,+1(15),-3,-9,,,,,,,+1(67),,
143,绍兴文理学院,GoodATime,2,113,+1(22),-3,-4,,,,,,,+1(91),,
144,华东理工大学,accepted than mange,2,115,+1(22),-2,-6,-7,,,,,,+1(93),,
145,浙江财经大学,Excuse_me,2,153,+1(29),,-5,,,,,,,+2(104),,
145,浙江工业大学,the dark knight,2,153,+1(28),-6,-2,-2,,,,,,+1(125),,
147,浙江师范大学,German Department of orthopedics,2,164,+1(10),,,-7,,,,,,+1(154),,
148,厦门理工学院,Ba la la fairies,2,172,+2(13),,,,,,,,,+4(79),,
149,山东科技大学,SKD2032 Challenger,2,179,+1(12),,+1(167),,,,,,,-2,,
150,东华大学,Wefun,2,190,+1(35),-2,-3,,,,,,,+2(135),,
151,闽南师范大学,NULL,2,196,+2(36),,-2,,-16,,,,,+1(140),,
152,浙江万里学院,Tornado decimates trailer park,2,200,+1(22),,-3,,,,,,,+2(158),,
153,华东理工大学,silly boys,2,203,+1(18),,-5,-4,,,,,,+2(165),,
154,南京晓庄学院,next ac is coming soon,2,206,+3(30),,+1(136),,,,,,,-3,,
155,西安邮电大学,we need AC,2,213,+1(28),-4,-1,,,,,,,+3(145),,
156,东北大学,WeAreNotDaLao,2,243,+1(12),,+2(211),-6,,,,,,-2,,
157,吉首大学,"pow(0.99,450)",2,250,+2(23),,,,,,,,,+5(127),,
158,河海大学,BuriBuriZaemon,2,251,+2(37),-3,,-1,,,,,,+2(174),,
159,浙江大学宁波理工学院,Edward No.1,2,268,+4(63),,-12,,,,,,,+2(125),,
160,河南大学,henulzz,2,277,+1(38),,+2(219),,,,,,,,,
161,山东理工大学,Joker,2,301,+1(13),-2,,,,,,,,+7(168),,
162,西安电子科技大学,Sublimation,2,325,+2(81),,+3(184),,,,-1,,,-7,,
