Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,N,Dirt,Medal,Unofficial,Girl
1,1,北京大学,冒险小虎队,11,1416,+4(226),+1(19),-,+1(179),+1(255),+1(120),+2(61),+3(197),+1(10),-1,+1(137),+1(86),-,+1(6),35%,Gold,N,N
2,2,山东大学,十六夜,9,1219,-,+1(20),-,+1(133),-,+1(115),+1(91),+3(175),+1(37),-,+3(250),+3(275),-,+1(3),40%,Gold,N,N
3,,北京大学,兰登姆苟得桑,9,1434,+2(285),+1(27),-,+4(123),-,+1(219),+2(86),-1,+2(41),-,+4(270),+3(161),-,+1(2),55%,Gold,N,N
4,3,华东师范大学,_,9,1456,+4(239),+1(30),-,+7(297),-,+2(159),+1(98),+2(152),+1(18),-,+1(241),-2,-,+1(2),55%,Gold,N,N
5,4,郑州大学,队友倒写强连通,8,1067,+5(248),+1(23),-,+5(178),-,+1(155),+1(77),-1,+3(53),-,+1(132),-3,-,+1(1),55%,Gold,N,N
6,5,西南民族大学,旺仔一家,8,1097,+1(167),+1(32),-,+1(127),-,+1(264),+3(97),-,+2(57),-,+1(291),-,-,+1(2),27%,Gold,N,N
7,6,浙江农林大学,白昼之光,8,1143,-8,+1(25),-,+5(198),-,+4(187),+1(105),+2(242),+1(54),-,+1(170),-,-,+1(2),50%,Gold,N,N
8,7,华东理工大学,这不是BZOJ原题吗,8,1182,-,+1(11),-,+1(255),-,+1(125),+1(74),+8(287),+2(45),-,+2(204),-,-,+1(1),52%,Gold,N,N
9,8,北京航空航天大学,一号位,8,1228,-,+1(19),-,+5(206),-,+1(194),+1(111),-,+2(31),-1,+3(290),+1(232),-,+1(5),46%,Gold,N,N
10,9,浙江大学,Immortal Shield,8,1248,+2(120),+1(7),-,-2,-,+7(269),+1(90),-,+3(29),-,+3(134),+5(298),-,+1(1),65%,Gold,N,N
11,10,浙江工业大学,眼大鸟2,8,1256,+3(232),+1(37),-,+3(288),-,+3(158),+1(111),-4,+3(45),-,+2(202),-,-,+1(3),52%,Gold,N,N
12,11,电子科技大学,UESTC_goalkeeper,8,1329,-1,+1(24),-,+5(247),-,+3(141),+2(47),+1(279),+2(145),-,+4(222),-,-,+1(4),57%,Gold,N,N
13,12,南京航空航天大学,网络连接中断,8,1399,+3(236),+1(17),-,+3(280),-,+4(177),+1(106),+4(267),+3(75),-,-,-,-4,+1(1),60%,Gold,N,N
14,,北京航空航天大学,萌新求带,7,647,+1(208),+1(33),-,-1,-,+2(132),+1(82),-2,+1(22),-2,+1(147),-,-,+1(3),12%,Gold,N,N
15,,浙江大学,AutoClose,7,682,-6,+1(22),-,-5,-,+1(141),+1(54),-,+2(37),-,+4(188),+1(158),-,+1(2),36%,Gold,N,N
16,13,西安电子科技大学,几何旋律,7,683,-2,+1(18),-,+3(131),-,+1(65),+4(111),-2,+2(69),-,+1(167),-5,-1,+1(2),46%,Gold,N,N
17,14,中国矿业大学,黄金矿工,7,743,-,+3(53),-,+2(219),-,+1(127),+1(72),-2,+1(38),-3,+4(112),-,-,+1(2),46%,Gold,N,N
18,,浙江工业大学,汤姆熊猫,7,758,+2(95),+1(22),-,-,-,+1(189),+1(131),-2,+2(80),-,+1(199),-,-,+1(2),22%,Gold,N,N
19,,北京大学,自我能力否定倾向,7,879,-10,+2(20),-,+4(227),-,+2(129),+2(65),-,+3(69),-,+1(198),-,-,+1(11),53%,Gold,N,N
20,15,中国人民大学,ICPC歼殛战,7,960,+2(219),+1(57),-,-,-,+1(261),+1(114),-1,+2(39),-,+1(228),-,-,+1(2),22%,Gold,N,N
21,,电子科技大学,UESTC_TBC,7,976,+1(290),+2(46),-,-,-,+2(217),+1(130),-,+1(86),-,+1(165),-,-,+1(2),22%,Gold,N,N
22,16,哈尔滨工业大学（深圳）,吃啥都不加香菜,7,1009,-,+2(44),-,+3(246),-,+2(175),+1(106),-5,+3(99),-,+1(216),-,-,+1(3),46%,Gold,N,N
23,17,南京理工大学,别再出杰哥了,7,1015,+2(287),+1(14),-,-,-,+3(152),+2(116),-,+2(36),-,+4(249),-,-,+1(1),53%,Gold,N,N
24,18,杭州师范大学,Tree-AC,7,1197,-,+1(20),-,+4(299),-,+3(273),+3(153),-,+3(67),-,+1(202),-,-,+1(3),56%,Gold,N,N
25,19,华中科技大学,騶櫙罍裃卷积泷蠡嫆鱼块劈,7,1349,-,+1(46),-,-,-,+3(253),+1(93),+5(272),+5(50),-,+8(287),-,-,+1(8),70%,Gold,N,N
26,20,东北大学,护发小分队,6,484,-9,+1(16),-,-,-,+1(131),+1(80),-2,+1(37),-,+2(198),-,-,+1(2),14%,Gold,N,N
27,21,浙江理工大学,我先放一盒卫生纸在这,6,587,+2(236),+1(15),-,-,-,+1(94),+1(118),-,+3(63),-,-7,-,-,+1(1),33%,Gold,N,N
28,22,上海大学,无人艇,6,625,-,+1(30),-,-2,-,+1(182),+1(96),-,+1(56),-,+3(219),-,-,+1(2),25%,Gold,N,N
29,23,中国海洋大学,这次补题了能不能ak,6,644,-,+1(19),-,-8,-,+2(176),+1(105),-2,+3(73),-,+2(189),-,-,+1(2),40%,Gold,N,N
30,,浙江工业大学,涅槃,6,652,+2(202),+1(44),-,-,-,+2(189),+1(88),-,+2(66),-,-,-,-,+1(3),33%,Gold,N,N
31,,西安电子科技大学,欧阿二,6,656,-4,+1(27),-,-,-,+1(256),+1(103),-,+1(58),-,-2,+2(190),-,+1(2),14%,Gold,N,N
32,24,东北林业大学,分头寻找较为复杂,6,680,-,+1(27),-,-3,-,+1(190),+1(119),-,+2(79),-,+1(244),-,-,+1(1),14%,Gold,N,N
33,,东北林业大学,要喵内不要打篮球,6,712,-,+1(38),-,-,-,+1(167),+1(104),-,+2(68),-,+2(293),-,-,+1(2),25%,Gold,N,N
34,25,福州大学,小熊硬糖,6,715,-,+1(22),-,-,-,+3(236),+1(77),-1,+2(37),-,+2(260),-3,-,+1(3),40%,Gold,N,N
35,26,四川大学,Thunder AC,6,738,-6,+1(23),-,-,-,+2(207),+2(122),-,+2(34),-,+3(251),-,-,+1(1),45%,Gold,N,N
36,27,武汉大学,能吃能睡带得动,6,758,-,+1(30),-,-,-,+4(241),+2(131),-2,+3(87),-,+2(127),-,-,+1(2),53%,Gold,N,N
37,28,太原理工大学,二次求导,6,760,+3(194),+1(59),-,-,-,+3(281),+1(96),-,+2(29),-1,-,-,-,+1(1),45%,Gold,N,N
38,29,哈尔滨理工大学,哈理工2019秋27,6,774,-1,+1(49),-,-,-,+2(175),+3(146),-,+2(84),-,+2(215),-,-,+1(5),45%,Gold,N,N
39,30,江西理工大学南昌校区,Wannafly Primary School Student,6,814,-,+1(25),-,-,-,+3(181),+2(132),-,+2(64),-,+3(290),-,-,+1(2),50%,Gold,N,N
40,31,河南理工大学,确定性有限状态自闭机,6,824,-,+2(30),-,-3,-,+3(185),+1(125),-,+2(84),-,+3(279),-,-,+1(1),50%,Gold,N,N
41,,中国矿业大学,我俏丽吗,6,837,-,+1(34),-,-,-,+1(185),+1(120),-,+4(151),-,+1(282),-,-,+1(5),33%,Silver,N,N
42,32,华南理工大学,我也想5分钟AK,6,855,-,+1(30),-,-3,-,+1(287),+1(137),-,+2(86),-,+3(253),-,-,+1(2),33%,Silver,N,N
43,,哈尔滨工业大学（深圳）,平山村男子职业技术学院,6,901,-,+1(87),-,-,-,-,+1(84),+4(279),+1(40),-,+5(267),-,-,+1(4),53%,Silver,N,N
44,33,山东财经大学,鸡山村三队（女队）,6,958,-,+2(34),-,-,-,+3(278),+2(151),-,+1(91),-,+2(292),-,-,+1(12),45%,Silver,N,N
44,33,青岛大学,完全欧基霸可,6,958,-,+1(25),-,-,-,+11(295),+3(90),-,+1(49),-,+2(234),-,-,+1(5),68%,Silver,N,N
46,35,西北大学,五仁五仁，五馅连仁,6,981,-2,+1(30),-,-,-,+4(273),+2(135),-,+6(118),-,+2(223),-,-,+1(2),62%,Silver,N,N
47,36,南开大学,范德蒙德行列式,5,315,-,+1(32),-,-,-,-11,+1(82),-2,+3(30),-,+1(128),-,-,+1(3),28%,Silver,N,N
48,,浙江大学,破晓,5,323,-7,+1(28),-,-,-,+1(116),+1(90),-,+2(68),-,-9,-,-,+1(1),16%,Silver,N,N
49,,电子科技大学,UESTC_Ycuf,5,324,-,+1(8),-2,-,-,+1(200),+1(85),-,+1(30),-,-2,-,-1,+1(1),0%,Silver,N,N
50,37,重庆大学,当我入梦,5,335,-,+1(24),-,-,-,-6,+1(114),-8,+1(55),-,+2(119),-,-2,+1(3),16%,Silver,N,N
51,38,浙江师范大学,本次颁奖典礼到此结束，请所有队伍,5,349,-5,+1(14),-,-,-,+1(187),+1(94),-,+1(52),-,-2,-1,-,+1(2),0%,Silver,N,N
52,39,西南科技大学,尖椒碎米鸡,5,361,-,+1(33),-,-,-,+1(173),+1(81),-,+2(49),-,-,-11,-,+1(5),16%,Silver,N,N
53,,东北大学,三千,5,376,-2,+1(57),-,-,-,+1(165),+1(86),-,+2(44),-,-2,-,-,+1(4),16%,Silver,N,N
54,40,河海大学,我永远喜欢由比滨结衣,5,378,-,+1(32),-,+2(142),-,-5,+1(85),-,+2(59),-,-,-2,-,+1(20),28%,Silver,N,N
55,,太原理工大学,蛙精对,5,423,-6,+1(35),-,-,-,+2(225),+1(70),-,+2(52),-,-,-6,-,+1(1),28%,Silver,N,N
56,,华东师范大学,玉米炒葡萄,5,425,-,+1(41),-,-,-,-6,+1(94),-5,+1(56),-,+1(232),-,-,+1(2),0%,Silver,N,N
57,,南开大学,原神,5,426,-,+1(18),-,-,-,-,+1(56),-,+1(40),-5,+5(229),-,-,+1(3),44%,Silver,N,N
58,,北京航空航天大学,CE：从爆零开始的ACM生活,5,430,-,+1(24),-,-8,-,+2(153),+2(158),-,+1(50),-1,-2,-,-1,+1(5),28%,Silver,N,N
59,,北京航空航天大学,差点一打三,5,440,-2,+1(14),-,-,-,+4(200),+3(86),-8,+1(38),-,-,-,-1,+1(2),50%,Silver,N,N
60,41,中国人民解放军国防科技大学,ALPC_作风优良,5,441,+2(179),+1(29),-,-,-,-6,+3(109),-2,+2(42),-,-3,-,-,+1(2),44%,Silver,N,N
60,41,天津大学,天津第二妇幼保健院,5,441,-,+1(25),-,-,-,-1,+1(107),-4,+3(20),-,+2(223),-,-,+1(6),37%,Silver,N,N
62,43,南方科技大学,芬洛,5,449,-,+1(53),-,-,-,-,+1(91),-,+3(63),-,+3(160),-1,-,+1(2),44%,Silver,N,N
63,44,山东大学（威海）,给队友倒一杯卡布奇诺,5,462,-,+1(55),-,-,-,+1(199),+1(125),-,+1(81),-,-5,-,-,+1(2),0%,Silver,N,N
63,44,电子科技大学中山学院,CDZSC_犹豫就会WA,5,462,+3(245),+1(21),-,-,-,-4,+1(96),-,+2(39),-,-,-,-,+1(1),37%,Silver,N,N
65,46,东北农业大学,今晚吃猪脚饭,5,467,-1,+1(32),-,-,-,+1(179),+2(148),-5,+1(86),-,-,-,-1,+1(2),16%,Silver,N,N
66,47,中国科学技术大学,'); DROP TABLE Teams; --,5,486,-,+1(46),-,-10,-,-7,+2(115),-,+1(27),-,+4(215),-,-,+1(3),44%,Silver,N,N
67,,福州大学,塔斯丁苟,5,504,-1,+1(32),-,-,-,-6,+2(110),-,+2(70),-,+3(209),-,-,+1(3),44%,Silver,N,N
68,,郑州大学,旺仔牛奶,5,505,-2,+1(24),-,-,-,-4,+1(91),-,+1(57),-,+5(250),-,-,+1(3),44%,Silver,N,N
69,48,大连理工大学,TToughy,5,523,-1,+1(20),-,-,-,+1(287),+1(86),-,+2(108),-,-,-,-,+1(2),16%,Silver,N,N
70,49,华南师范大学,"Head,What's your duty_SCNU_CS",5,528,-,+1(32),-,-,-,-,+2(138),-,+3(70),-,+1(226),-,-,+1(2),37%,Silver,N,N
71,50,深圳大学,食我ac十二响,5,530,-5,+3(50),-,-,-,-,+1(94),-4,+1(44),-,+3(258),-,-,+1(4),44%,Silver,N,N
72,,杭州师范大学,小熊骑士,5,532,-,+1(37),-,-,-,+2(226),+2(168),-11,+1(59),-,-2,-,-,+1(2),28%,Silver,N,N
73,,上海大学,黑炭队,5,539,-5,+1(41),-,-,-,+2(220),+1(137),-,+2(99),-,-,-,-,+1(2),28%,Silver,N,N
74,51,西北工业大学,日暮山水遇故人,5,540,-,+1(30),-,-,-,+3(103),+1(187),-,+3(131),-,-,-,-,+1(9),44%,Silver,N,N
75,,四川大学,Thunder TLE,5,546,-,+1(56),-,-1,-,+1(201),+1(89),-1,+3(158),-,-,-,-,+1(2),28%,Silver,N,N
76,52,福建师范大学,求你别学了我们跟不上了,5,554,-,+1(40),-,-,-,+2(280),+1(124),-,+2(64),-,-,-,-,+1(6),28%,Silver,N,N
77,53,中南大学,给我也整一个,5,559,+1(288),+1(32),-,-2,-,-,+1(100),-,+2(117),-,-,-,-,+1(2),16%,Silver,N,N
78,54,山东科技大学,奋进号,5,565,-,+2(38),-,-,-,-,+1(139),-4,+1(105),-,+2(240),-,-,+1(3),28%,Silver,N,N
79,55,湖北工业大学,宽厚实,5,567,-,+1(46),-,-5,-,+5(268),+1(117),-,+1(53),-,-,-,-,+1(3),44%,Silver,N,N
80,,武汉大学,能吃能睡带不动,5,568,-,+1(25),-,-,-,-,+2(143),-1,+3(156),-,+1(180),-,-,+1(4),37%,Silver,N,N
81,56,河南大学,世纪末彼岸花丛中的死之结界,5,571,-,+1(20),-,-,-,+3(278),+1(132),-,+3(53),-,-8,-,-,+1(8),44%,Silver,N,N
82,57,浙江工商大学,我们是练习时长两年半的ACMer,5,575,-,+2(46),-,-,-,-3,+2(135),-1,+2(99),-,+1(233),-,-,+1(2),37%,Silver,N,N
83,58,闽南师范大学,我生气了,5,583,-,+1(47),-,-4,-,+3(170),+2(174),-,+3(89),-,-,-,-,+1(3),50%,Silver,N,N
84,59,上海科技大学,码怪,5,585,-1,+1(38),-1,-1,-1,+2(276),+2(155),-1,+2(53),-1,-1,-1,-1,+1(3),37%,Silver,N,N
85,60,安徽大学,anti-sterotype,5,586,-,+1(33),-,-,-,+4(264),+2(131),-2,+2(56),-,-,-,-,+1(2),50%,Silver,N,N
86,61,广州大学,螺丝掉进主板了,5,591,-,+1(23),-,-,-,+6(247),+1(116),-,+2(83),-2,-,-,-,+1(2),54%,Silver,N,N
87,62,鲁东大学,星星之火,5,595,-,+2(38),-,-,-,+5(267),+1(74),-,+2(93),-,-,-,-,+1(3),54%,Silver,N,N
88,63,中国传媒大学,*我们取这个这么长的队名其实并没有什么,5,606,-,+1(24),-,-,-,-,+1(135),-,+3(86),-,+4(259),-,-1,+1(2),50%,Silver,N,N
89,,山东大学,退役门槛,5,610,-5,+1(50),-1,-1,-1,+3(193),+1(90),-,+2(214),-,-,-,-1,+1(3),37%,Silver,N,N
90,64,哈尔滨工业大学（威海）,广告位招租,5,612,-,+1(37),-,-,-,+3(244),+3(160),-4,+1(89),-,-,-,-,+1(2),44%,Silver,N,N
91,65,青岛理工大学,单车变摩托,5,615,-,+2(36),-,-,-,-,+1(129),-,+2(83),-,+4(264),-,-,+1(3),50%,Silver,N,N
92,66,青海大学,TranscendentMaster,5,627,-,+1(59),-,-,-,+4(256),+1(138),-,+2(89),-,-1,-,-,+1(5),44%,Silver,N,N
93,67,福建工程学院,队友骗我写假算法,5,629,-,+1(52),-,-,-,+2(274),+4(153),-,+1(68),-,-,-,-,+1(2),44%,Silver,N,N
94,68,西南石油大学,运行错误,5,642,-1,+1(43),-,-,-,+2(238),+2(129),-,+2(162),-,-,-,-,+1(10),37%,Silver,N,N
94,68,湖南工业大学,疾风打铁队,5,642,-,+1(57),-,-,-,+4(284),+1(104),-,+1(131),-,-,-,-,+1(6),37%,Silver,N,N
96,70,中国石油大学（北京）,海是那浪的依托,5,652,-,+1(28),-,-,-,+8(290),+2(131),-,+1(41),-,-,-,-,+1(2),61%,Silver,N,N
97,71,嘉应学院,吃瓜群众,5,665,-,+2(31),-,-,-,+2(275),+2(186),-,+2(91),-,-,-,-,+1(2),44%,Silver,N,N
98,72,长沙学院,一个顶俩,5,677,-,+1(34),-,-,-,-,+2(183),-,+4(126),-,+1(252),-,-,+1(2),44%,Silver,N,N
99,73,南京信息工程大学,钴钴钴,5,680,-,+2(73),-,-,-,+3(265),+1(164),-,+2(96),-,-2,-,-,+1(2),44%,Silver,N,N
100,74,河南农业大学,爱冒险的梦,5,693,-,+1(106),-,-,-,+1(278),+1(159),-,+4(88),-,-,-,-,+1(2),37%,Silver,N,N
101,,东北林业大学,克雷斯克,5,702,-,+2(30),-,-,-,+6(299),+3(114),-,+2(77),-,-,-,-,+1(2),64%,Silver,N,N
102,75,山东师范大学,来五张色图,5,707,-,+2(37),-,-,-,+10(267),+1(123),-,+2(59),-,-,-,-,+1(1),68%,Silver,N,N
103,,中国人民解放军国防科技大学,不灭钻石,5,718,-,+2(39),-,-,-,+2(202),+1(170),-,+2(244),-,-,-,-2,+1(3),37%,Silver,N,N
104,76,南昌大学,#undefined,5,722,-,+1(38),-,-,-,-,+1(141),-,+4(241),-,+2(215),-,-,+1(7),44%,Silver,N,N
105,77,北京工业大学,说好不哭,5,728,-,+1(45),-,-,-,+4(276),+5(211),-,+2(28),-,-,-,-,+1(8),61%,Silver,N,N
106,,西北工业大学,漫步者,5,755,-,+1(34),-,-,-,+5(290),+1(157),-,+2(171),-,-,-,-,+1(3),50%,Silver,N,N
107,78,北华大学,橘子柠檬卡诺奇,5,767,-,+1(62),-,-,-,+7(276),+1(148),-,+2(138),-,-,-,-,+1(3),58%,Silver,N,N
108,,南京航空航天大学,起风了,5,770,-,+1(33),-,-,-,-,+4(207),-7,+5(160),-,+1(227),-,-,+1(3),58%,Silver,N,N
