Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
212,长春理工大学,萝莉保护协会 (Luoli Protection Association),3,328,+1(7),-,-,+2(212),-1,-,-,-,+2(69),-,-,-
213,四川农业大学,川农大精神 (SICAU_spirit),3,336,+1(7),-,-,-,+2(242),-1,-,-,+2(47),-,-,-
214,西安邮电大学,F3做题都做对 (F3ALL RIGHT TEAM),3,349,+1(7),-,-,+2(148),-,-,-,-,+5(94),-,-,-
215,华北水利水电大学,做一条有理想的咸鱼 (Be Ideal Salted Fish),3,358,+1(9),-,-,-,+2(250),-7,-,-,+2(59),-,-,-
216,河北工业大学,五丈原诸葛亮 (The infortune),3,388,+1(7),-,-,+1(233),-2,-,-,-,+3(108),-,-,-
217,南京理工大学,国服暴搜王 (King of implementation),3,390,+2(9),-,-,+1(180),-,-,-,-,+2(161),-,-,-
218,贵州工程应用技术学院,梦想探险家 (Dream Explorers),3,400,+1(8),-,-,+1(270),-,-,-,-,+1(122),-,-,-
219,合肥学院,欲语泪先流 (Tears come first),3,401,+1(7),-,-,-3,+2(262),-,-,-,+3(72),-,-,-
220,陕西师范大学,我们真的想做队 (emmmmmmmmm),3,402,+1(11),-,-,+4(236),-,-2,-,-,+3(55),-,-,-
221,长沙理工大学,不作死就不会死 (no submit no wrong),3,407,+1(5),-,-,-,+1(237),-,-,-,+2(145),-,-,-
221,河南工业大学,易燃易爆炸 (choice),3,407,+1(9),-,-,+1(266),-3,-,-,-,+4(72),-,-,-
223,石家庄铁道大学,syc的航空母舰 (syc Aircraft carrier),3,410,+1(10),-,-,-,+1(207),-,-,-,+4(133),-,-,-
224,杭州师范大学,吃西瓜吗 (eat watermelon?),3,411,+1(6),-,-,+2(282),-1,-1,-,-,+1(103),-,-,-
225,西南民族大学,摇光 (Alkaid),3,418,+1(10),-,-,+1(280),-1,-,-,-,+1(128),-,-,-
226,贵州大学,Gzu_Dream (Gzu_Dream),3,423,+1(12),-,-,-,-,+6(210),-,-,+3(61),-,-,-
227,湖南工业大学,森林祈祷 (Forest_pray),3,424,+1(8),-,-,-,+4(275),-,-,-,+1(81),-,-,-
228,成都信息工程大学,"题意懂了，下一题吧 (I get it, next one)",3,428,+1(10),-,-,+1(248),-,-,-,-,+2(150),-,-,-
229,太原理工大学,人生旅者 (Tour Life),3,433,+2(14),-,-,+1(154),-,-1,-,-,+5(165),-,-,-
229,南京邮电大学,我觉得海星 ( NJUPT_Starfish),3,433,+1(6),-,-,+4(289),-2,-,-,-,+1(78),-,-,-
231,河南农业大学,会变异的小黄鸭 (Lius'_ACDream),3,438,+1(7),-,-,+1(272),-,-,-,-,+1(159),-,-,-
232,平顶山学院,想不起来队名 (Memory of eternity),3,442,+1(10),-,-,+4(256),-,-,-,-,+3(76),-,-,-
233,陕西师范大学,我想AC队 (I just want to AC),3,458,+1(6),-,-,+3(269),-,-,-,-,+2(123),-,-,-
234,郑州师范学院,bzoj原题.jpg (original question from bzoj ?),3,459,+1(7),-,-2,+2(299),-,-,-,-,+4(73),-,-,-
235,河北师范大学,砂砾 (Grittiness ),3,460,+1(10),-,-,+1(229),-,-,-,-,+5(141),-,-,-
236,长春工业大学,铁锅炖胡辣汤 (Fe pot stew hula soup),3,461,+1(7),-,-,+2(266),-,-4,-,-,+4(108),-,-,-
237,成都东软学院,阿尔法突袭 (Alfa attack),3,464,+1(17),-,-,+2(246),-4,-,-,-,+4(121),-,-,-
238,南京晓庄学院,缺盖 (bu dong),3,496,+1(7),-,-,-,+1(257),-,-,-,+7(112),-,-,-
239,西北工业大学,水个牌子 (NPU_water_a_medal),3,502,+2(9),-1,-,+4(239),-,-,-,-,+2(154),-,-,-
240,南阳师范学院,怎么肥似小老弟 (nynu_MengXin),3,527,+1(13),-,-,+1(277),-1,-,-,-,+4(177),-,-,-
241,西华大学,挖矿工 (Miner),3,576,+2(24),-,-,+1(273),-,-,-,-,+4(199),-,-,-
242,中国海洋大学,友情参与队吧 (Just for fun),3,620,+1(6),-,-2,+1(258),-1,-,-,-,+5(276),-,-,-
243,天津大学仁爱学院,小锅锅啊！！！ (Small Guo Guo),2,36,+1(6),-,-,-1,-1,-11,-,-,+1(30),-,-,-
244,浙江万里学院,三条xian鱼 (Three_Xian_Fishes),2,65,+1(8),-,-,-,-6,-6,-,-,+1(57),-,-,-
245,闽南师范大学,捏你小肥脸 (2018findgayfriend),2,68,+1(8),-,-,-,-,-6,-,-,+1(60),-,-,-
246,西安邮电大学,绿光 (GReeeN),2,71,+1(8),-,-,-,-,-2,-,-,+2(43),-,-,-
247,郑州轻工业学院,划船不用浆 (zzuli_nj_Rowing without OARS),2,87,+2(12),-,-,-,-2,-2,-,-,+2(35),-,-,-
247,中国矿业大学,南湖鸽子 (deep dark fantasy),2,87,+1(20),-1,-,-,-,-,-,-,+1(67),-,-,-
249,厦门理工学院,空调电费真的贵 (codeminers),2,132,+1(7),-,-,-3,-2,-,-,-,+3(85),-,-,-
250,广州大学,喵喵喵喵 (miaomiaomiaomiao),2,137,+1(10),-,-,-,-,-,-,-,+3(87),-,-,-
250,平顶山学院,精致的单身狗 (LuckyBoys),2,137,+1(17),-,-,-,-,-1,-,-,+2(100),-,-,-
252,周口师范学院,起飞队 (ZKNU Riser Team),2,138,+1(7),-,-1,-,-,-,-,-,+3(91),-,-,-
253,燕山大学,AC小队 (AC_Team),2,152,+1(14),-,-,-,-2,-2,-,-,+2(118),-,-,-
254,桂林电子科技大学,肉山团打一队名 (newbee),2,177,+2(10),-,-,-,-,-,-,-,+3(107),-,-,-
255,河南城建学院,旅游队 (Tourist team),2,192,+1(12),-,-,-,-,-,-,-,+5(100),-,-,-1
256,天津大学仁爱学院,第十六集团军 (The sixteenth?group?army),2,226,+1(23),-,-,-,-,-,-,-,+2(183),-,-,-
257,安阳工学院,瓜子花生矿泉水 (HandClap),2,231,+1(6),-,-,-1,-,-,-,-,+3(185),-,-,-
258,中原工学院,Ba La energy Sharosharo small magic fairy body change (Ba La energy Sharosharo small magic fairy body change),2,237,+1(15),-,-,-,-,-,-,-,+3(182),-,-,-
259,成都工业学院,仰望星空 (keep your eyes on the stars),2,269,+1(10),-,-,-,-,-6,-,-,+4(199),-,-,-
260,华北水利水电大学,菜鸡之路 (The road of flying chicken),2,275,+1(13),-,-,-10,-,-,-,-,+4(202),-,-,-
261,河南财经政法大学,河南财经政法大学 (huel_001),2,282,+1(11),-,-,-,-,-2,-,-,+8(131),-,-,-
