Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
77,,Northwestern Polytechnical University,Where are my teammates,3,318,+1(155),,,,-1,,,+1(34),,,+3(89),
78,,Hong Kong Polytechnic University,WittyPanda,3,327,+1(185),,,,-3,-1,,+2(20),,,+1(102),
79,,Shenzhen Technology University,SZTU_Arabalika,3,338,+3(194),,,,,-1,,+2(26),,,+1(58),
80,,SouthWest Minzu University,shark shark cat cat and dog dog,3,340,+3(194),,,,,,,+2(21),,,+1(65),-3
81,,Guangdong University of Technology,GDUT_Dugtrio,3,352,+1(171),,,,-2,,,+2(18),,,+4(83),-1
82,,Tongji University,REautomaton,3,355,+1(102),,,,,-4,,+3(69),,,+2(124),
83,,Shandong University,beginner,3,362,+2(194),,,,,,,+2(21),,,+3(67),-5
84,,Shandong University,Little Brother Serving Boss,3,365,+2(145),,,,-6,,,+1(14),,,+7(66),
85,,University of Macau,LongLongint Blessing,3,389,+3(197),,,,,,,+2(26),,,+2(86),
86,,South China Normal University,123456,3,398,+2(207),,,,-2,-3,,+1(67),,,+2(84),
87,,City University of Hong Kong,ASMAN,3,433,+7(206),,,,,-1,,+1(22),,,+3(45),-6
88,,Zhejiang University of Science and Technology,sleeping in a jam,3,464,+4(284),,,,,,,+1(19),,,+3(61),
89,,University of Science and Technology Beijing,UEP,3,486,+2(217),,,,,-3,,+4(59),,,+4(70),
90,,Beijing University of Technology,Tornado Decimates Trailer Park,3,498,+2(284),,,,,,,+2(31),,,+5(63),-5
91,,National University of Mongolia,SEAS,3,562,+4(208),,,,,-3,,+1(69),,,+6(125),
92,,Fujian Normal University,Abnormalizing Mavericks,3,781,+1(140),,,,,,,+2(23),,,+17(278),
93,,Tongji University,tokiya,2,48,-6,,,,,,,+1(17),,,+1(31),
94,,University of Macau,Time Limit Exceeded,2,70,-4,,,,,-7,,+1(24),,,+1(46),
95,,Jiaxing University,touch_fish,2,74,-6,,,,,-2,,+1(20),,,+1(54),
96,,Chengdu University of Information Technology,Dead Cell,2,82,-6,,,,,-2,,+1(9),,,+3(33),-6
97,,Chengdu Neusoft University,IU Fans,2,87,-5,-1,-1,,,,,+2(20),,,+1(47),-5
98,,Harbin Institute of Technology at Shenzhen,WoAiChiGuoQiaoMiXian,2,98,-14,,,-2,,,,+1(14),,,+3(44),
99,,New Mongol Institute of Technology,NMIT-1,2,101,-4,,,,,,,+1(23),,,+3(38),
100,,Xinjiang University,zyj_hxc_djc,2,105,-2,,,,,,,+1(11),,,+3(54),
101,,Zhejiang Gongshang University,Arctic Penguin,2,106,-5,,,,,-1,,+1(27),,,+2(59),
102,,Hunan Institute of Science and Technology,luckin,2,128,-4,,,,,-3,,+1(14),,,+4(54),
103,,Huazhong Agricultural University,For three persons,2,136,-2,,,,,,,+2(26),,,+2(70),
104,,Southwest University of Science and Technology,Lumos Maxima,2,201,-11,,,,-1,-1,,+4(61),,,+1(80),
105,,Shanghai Normal University,SHNU_ReckonOtherThree,2,209,-3,,,,,,,+2(54),,,+2(115),
