Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl,A,B,C,D,E,F,G,H,I,J,K,L
74,福建工程学院,一比一比一,4,596,Honorable,许伟骐,陈鑫,陈盛廸,N,N,+3(12),-4,,,,,+2(111),,+7(209),,,+4(44)
75,广东海洋大学,不可抗力,4,609,Honorable,谭棋钊,康泽恩,麦朗迅,N,N,+1(18),,,,,,+1(84),,+3(199),,,+2(248)
76,中国海洋大学,里约热内卢奶牛,4,622,Honorable,唐汉林,张高阳,张航,N,N,+2(17),-1,,,,,+4(110),,+1(241),,-1,+1(174)
77,山东科技大学,疯马号,4,692,Honorable,郝宗寅,王树河,肖沂锟,N,N,+1(10),,,,,,+2(123),,+3(295),,,+3(164)
78,浙江科技学院,浙科梦,4,703,Honorable,戴梁辉,胡恩泽,刘汉林,N,N,+1(17),+2(293),,,,,+3(170),,-3,,,+2(143)
79,浙江师范大学,奶茶还是大杯好喝,4,723,Honorable,张骏,张胜,金明熠,N,N,+3(35),,,,,,+1(197),,+6(250),,,+1(101)
80,国防科技大学,云浪我则呀生把给放纵爱既有,4,730,Honorable,邱昊中,宋澎玉,夏功榆,N,N,+1(10),,-5,,,,+1(89),,+3(287),,,+7(184)
81,长春理工大学,嗨呀气死了,4,910,Honorable,李泽鹏,陈昶文,孟令书,N,N,+3(15),,,,,,+7(272),-1,+4(248),,,+2(135)
82,天津大学,TJU,3,152,Honorable,冯桥,张启晗,樊鹏,N,N,+1(12),-1,,,,,+1(54),,-2,,-7,+2(66)
83,南京理工大学,跃迁引擎,3,171,Honorable,王珂,颜俊梁,王兵,N,N,+1(14),-1,,,,,+1(57),,-1,,,+1(100)
84,南京晓庄学院,全体起立,3,173,Honorable,蒋俊杰,夏天阳,薛明怡,N,N,+1(13),,,,,,+1(102),,-6,,,+1(58)
85,北华大学,我思故我在,3,230,Honorable,欧阳隆,林倩,秦鹏,N,N,+1(8),,,,,,+1(126),,-1,,,+1(96)
86,中北大学,二龙山上的小虫子,3,231,Honorable,陈权威,黄秋娟,李子轩,N,N,+1(10),,,,,,+2(96),,-3,,,+1(105)
87,山东师范大学,做自己的舔狗,3,245,Honorable,陈仕博,任耀辰,王远睿,N,N,+1(10),,,,,,+1(117),,-2,,,+2(98)
88,西安电子科技大学,时光飞逝,3,247,Honorable,韦润民,黄海同,余天焕,N,N,+2(26),,,,,,+2(124),,-4,,-8,+1(57)
89,香港城市大学,八强之巅,3,253,Honorable,翟兴钰,汪方舟,郑乐谦,N,N,+1(8),,,,,,+2(76),,-6,,,+1(149)
90,湖南科技大学,萌新极客,3,263,Honorable,孙庞博,汤越凡,徐赛博,N,N,+1(17),,,,,,+1(88),,-9,,,+1(158)
91,湖南师范大学,埃及牛X,3,269,Honorable,杨盼成,郭子源,陆泽军,N,N,+1(15),,,,,,+1(154),,,,,+1(100)
92,东北大学,赏金猎人,3,270,Honorable,袁乾宸,王惟,杨博,N,N,+3(22),,,,,,+2(104),,-6,,,+1(84)
93,郑州大学,来两份涮羊肉,3,279,Honorable,陈洋,陈炜超,支麒越,N,N,+2(13),-5,,,,,+2(106),,,,,+2(100)
94,暨南大学,红豆泥,3,282,Honorable,黄芝琪,黄书鹏,张力豪,N,N,+1(13),,,,,,+2(145),,-3,,,+1(104)
95,天津工业大学,出来看神仙,3,314,Honorable,董京林,门剑锋,李孜,N,N,+1(8),,,,,,+1(99),,-2,,,+4(147)
96,南开大学,鹏,3,358,Honorable,王明鹏,金鹏翔,卢政先,N,Y,+2(12),,,,,,+4(202),,-1,,,+1(84)
97,厦门大学,多吃菜,3,411,Honorable,岳宇超,张添翼,赵佳驰,N,N,+3(27),,,,,,+4(159),,,,,+1(125)
98,台州学院,最大牛,3,419,Honorable,黄睿博,陶源,詹志龙,N,N,+2(10),,,,,,+2(127),,-5,,,+5(162)
99,哈尔滨工业大学(深圳),南国小鸡,3,425,Honorable,刘颂唐,宁之涵,廖儒,N,N,+1(13),,,,,,+1(113),,-2,,,+5(219)
100,西南民族大学,三只小猪闯天下,3,478,Honorable,蒋弦峰,谭瑞,杨玉婷,N,N,+4(59),,,,,,+1(141),,,,,+1(218)
101,哈尔滨工程大学,青青草原,3,550,Honorable,张凌源,连金清,许明杰,N,N,+2(7),,,,,,+4(227),,-3,,,+2(236)
102,西北大学,NEcarry,2,197,Honorable,黄德翔,胡谱赟,程嘉承,N,N,+1(17),,,,,,-10,,,,,+1(180)
103,中南大学,咕咕咕？,2,231,Honorable,吴垠,刘佳妮,朱思雨,N,N,+1(10),,,,,,-4,,,,,+2(201)
104,东华大学,伟大航路,2,253,Honorable,索文杰,陈辉,胡怡淳,N,N,+3(25),,,,,,+3(148),,,,,
105,桂林电子科技大学,卖女孩的小火柴,2,294,Honorable,傅秋雨,段诩,谭珂,N,N,+4(114),,,,,,,,-1,,-1,+1(120)
106,西安邮电大学,糖糖真好吃,2,337,Honorable,张天泰,黄文丰,杨晨磊,N,N,+2(13),,,,,,+5(224),,,,,
107,华中农业大学,广东AC故事,2,501,Honorable,李思作,张博期,庄小帅,N,N,+5(41),-1,,,,,,-3,,,,+8(240)
108,广东外语外贸大学,难受的一匹,1,26,Honorable,曾迪鸿,叶俊杰,邝江洲,N,N,+1(26),,,,,,,,,,,
109,合肥工业大学,表面队友,1,34,Honorable,鲍嘉前,倪宇辰,王子健,N,N,+1(34),,,,,,-4,,,,,-2
110,湖南中医药大学,HNUCM-小老弟我们走！,1,38,Honorable,殷彪,杨冯天赐,钟子元,N,N,+1(38),,,,,,-3,,,,,
111,河南大学,为你千千万万遍,1,44,Honorable,蔡文飞,陈安然,高超尘,N,N,+2(24),,,,,,-2,,,,,
112,西安交通大学,死也不写计算几何,0,0,Honorable,,,,N,N,,,,,,,,,,,,
