Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Coach,A,B,C,D,E,F,G,H,I,J
139,长沙理工大学,长理王1+1队,3,953,Bronze,杨栩,董彪,李文钧,陈曦,,+5(41),+2(93),,,,+22(299),,,
140,中国石油大学（北京）,我为石油献代码,3,1069,Bronze,许思睿,连浩丞,高宇翔,范江波,,+2(17),+2(117),,,,+32(275),,,
141,南开大学,以豹制豹,3,1429,Bronze,欧阳文豪,史浩森,诸佳昕,刘晓光,,+5(21),+3(78),,,-1,+47(289),,,
142,哈尔滨工业大学(威海),苍穹,2,46,Bronze,李旭,宋维晓,杨浩,董开坤,,+1(8),+1(37),,,,-15,,,
143,东北大学,边界,2,64,Bronze,唐乾轲,王恩贺,陈弘超,寇月,,+1(10),+1(54),,,,-30,,,
144,郑州轻工业学院,zzuli_信任,2,65,Bronze,包毅豪,郝军亮,朱志权,朱会东,,+1(10),+1(55),,,,-23,,,
145,东华大学,碧蓝幻想,2,82,Bronze,李雨宸,林翔,史子弘,黄永锋,-5,+1(21),+2(40),,,,-21,,,
146,深圳大学,你可曾看到那梦的延续,2,84,Bronze,陈钧鉴,林键铎,蔡威,张小健,,+1(9),+2(55),,,,-17,,,
147,天津大学仁爱学院,你猜啊,2,85,Honorable,李天麟,范泽宇,王文晖,冉娟,,+1(20),+1(65),,,,-13,,,
148,重庆大学,嘤嘤嘤大坏蛋人家超讨厌的啦,2,88,Honorable,吴智涵,符敦政,郑钰心,李佳,,+2(13),+1(55),,,,-20,,,
149,大连理工大学开发区校区,熵,2,91,Honorable,归宇通,衣泽民,张添钰,陆坤,,+1(12),+1(78),,,,-9,,,
150,东北林业大学,盛世美颜天团,2,94,Honorable,葛言琭,陆逸康,赵雪,陈宇,-1,+1(18),+1(75),,,,-14,,,
151,广东工业大学,下下下上上左上,2,121,Honorable,郑重,李欣,黄可思,孙宣东,,+2(17),+1(84),,,,-17,,,
152,江西师范大学,璇转跳跃我不停AC,2,126,Honorable,王莞原,李石平,刘平生,卢家兴,,+2(35),+1(71),,,,-14,,,
153,郑州大学,让我来朵蜜你吧！,2,135,Honorable,卢兆杰,陶映帆,杨舒棋,张卫星,,+2(23),+1(91),,,,-4,,,
154,南京大学,南大99队,2,136,Honorable,郑奘巍,张天昀,徐臣,马骏,,+3(12),+2(64),,,,-39,,,
155,哈尔滨理工大学,哈理工3队,2,141,Honorable,李纯杰,李鑫,柳祎宸,金恩海,,+3(19),+1(82),,,,-17,,,
156,西北大学,隠,2,142,Honorable,刘宇豪,梁皓然,张鉴曈,刘晓宁,,+2(12),+2(90),,,,-7,,,
