Rank,School Rank,School,Team,Solved,Penalty,Member1,Member2,Member3,Medal,Unofficial,Girl,A,B,C,D,E,F,G,H,I,J,K,L,M
49,,山东大学,梦天使,5,1731,耿浩天,张昊雨,蒋裕成,Silver,N,N,,+2(236),,+1(174),,+40(298),+1(188),,,,+1(32),,
50,,北京理工大学,JK之星,4,529,王崧乔,罗博文,黄子越,Silver,N,N,,+2(89),,+3(154),,+5(105),-1,,,,+1(40),,
51,,北京工业大学,WA好厉害,4,576,葛中正,周榆忱,管丹辰,Silver,N,N,,,,+3(253),+1(179),,+1(66),,,,+1(37),,
52,34,哈尔滨工程大学,丝划拿铁,4,595,吴兆昕,于子涵,位振林,Silver,N,N,+1(232),+1(195),,-13,,+2(107),,,,,+1(41),,
53,35,东北大学,东北大学_寄,4,632,李泽仁,王乐言,陈少皇,Silver,N,N,-1,+3(241),-8,+3(218),,-9,,,,,+1(59),+1(33),
54,36,南京邮电大学,事末鸽者,4,637,刁煜凡,张帅青,柏广凡,Silver,N,N,-2,+2(245),,+3(189),,+1(124),,,,,+1(18),,
55,37,北京建筑大学,RE：从爆零开始的ACM生活,4,678,齐思恺,,,Silver,N,N,-1,+1(130),,+2(165),,+5(245),,,,,+1(36),,
56,38,哈尔滨工业大学,三个演员,4,688,李杰,宋珂源,崔玉坤,Silver,N,N,+2(199),,,+3(208),,,+1(131),,,,+3(49),,
57,,中国人民大学,我的心里只有感恩,4,691,刘书玮,罗碚,陈志朋,Silver,N,N,+1(251),+1(92),,+3(170),,,,-1,,,+2(116),,
58,,电子科技大学,UESTC_Guest_WiFi,4,697,弋竞为,周湘阳,喻鹏云,Silver,N,N,,,,+1(157),,+6(95),,,,+5(235),+1(29),,
59,,浙江工商大学,希望代码一次敲队,4,710,徐晨威,田博宇,朱徐研,Silver,N,N,,+1(121),,+4(217),,+3(253),,,,,+1(18),,
60,,杭州电子科技大学,杭电五队,4,716,杜志远,刘梓灏,李丰,Silver,N,N,-3,,,+1(170),,+5(129),+1(254),,,,+3(42),,
61,39,西安交通大学,舞文弄墨,4,721,张晓昊,曹思宇,王珩,Silver,N,N,+5(199),,,+1(152),,+2(216),-5,,,,+1(51),,
62,,中山大学,中山大学-版本答案,4,722,陈星辉,方展鸿,陈银超,Silver,N,N,,+1(77),,+1(176),,+7(285),,,,,+1(63),,
63,,南开大学,万事不干屋,4,724,卢麒萱,宋秭睿,杜岱玮,Silver,N,N,,-9,,+3(254),,+6(139),+1(143),,,,+2(25),,
64,,浙江师范大学,星际猫,4,752,温启涛,倪伟聪,厉文浩,Silver,N,N,,+2(111),,+6(197),+1(259),-32,,,,,+2(44),,
65,,吉林大学,H-Z-J树,4,784,黄哲霖,郑佳策,蒋致欧,Silver,N,N,+3(276),,-3,+3(136),,+2(207),-1,,,,+2(44),,
66,40,浙江大学,超对称夸克,4,814,徐琪杰,杨予晟,任庭旭,Silver,N,N,,-3,,+3(210),,+9(297),+1(72),,,,+1(35),,
67,41,浙江农林大学,临阵磨枪，不快也光,4,816,朱泽华,戴振龙,盛洪涛,Silver,N,N,,,,+4(235),+1(286),+2(144),,,,,+1(69),,
68,42,浙江师范大学,巴巴托斯,4,854,邓鹏,陈骏鹏,方天笑,Silver,N,N,,,,+3(208),+1(230),+1(270),,,,,+3(65),,
69,,福州大学,两极反转,4,858,叶林忠,丁凌烁,潘泓岳,Silver,N,N,,,+1(149),+5(295),,-2,+1(173),,,,+1(159),,
70,43,南华大学,青春猪头ACMer不会梦到怀梦出题人,4,859,周楷傑,余伟豪,王思进,Silver,N,N,-1,+1(243),-1,+2(178),-1,+5(276),-1,,,,+1(60),,
71,44,东北大学秦皇岛分校,GNK48-101,4,867,刘泽铭,罗潇阳,吴一玄,Silver,N,N,+5(143),,,+4(217),,+3(261),,,,,+2(46),-1,
72,,南京邮电大学,收收心找个电子厂上班了,4,886,张禹健,冯一帆,文超航,Silver,N,N,,+5(262),,+1(243),,+1(167),,,,,+3(92),,
73,,哈尔滨工业大学,哥谭市委书记,4,892,胡罡沣,刘宇哲,谢明东,Silver,N,N,-4,+3(184),,+4(133),,+10(257),,,,,+1(36),,
74,45,河海大学,艾派克斯,4,913,高康悦,张星宇,肖潇,Silver,N,N,,+2(138),,+4(230),,+1(259),,,,,+3(165),,
75,46,吉林大学,柴郡猫猫QuQ,4,981,陈铭豪,黄昌盛,李光赫,Silver,N,N,,+3(272),,+3(101),,+5(266),,,,,+3(141),,
76,,中山大学,中山大学_晴栀,4,1084,刘思然,谭嘉伟,谢泽熙,Silver,N,N,,+1(150),,+2(260),,+20(238),,,,,+1(35),,
77,47,西南大学,做的全队,4,1356,徐畅,马博涵,何一,Silver,N,N,,,,+9(295),,+5(222),,,,,+1(18),+18(240),
78,48,江西师范大学,Watch A-SOUL and become Au,3,270,陈哲,颜玮琦,张天福,Silver,N,N,-3,,,+1(75),,+1(164),,,,,+1(30),,
79,49,兰州大学,一个猜想不一定对,3,322,王徐笙,孟戴浓达,狄农雨,Silver,N,N,,-2,,+2(130),,-17,+1(88),,,,+1(83),,
80,50,武汉工程大学,用队长一年单身换牌子,3,354,刘典,罗云祥,符轩豪,Silver,N,N,-1,-1,-1,+1(178),-1,+3(117),-1,-2,-1,-1,+1(18),-1,-1
81,51,电子科技大学,UESTC_七海大大大鲨鱼,3,383,诸人豪,彭帅康,李纪甫,Silver,N,N,,,,-11,+2(101),-12,-1,,,,+1(12),+1(249),
82,52,华南理工大学,智能人工,3,385,谢丰泽,范天予,杨鸿飞,Silver,N,N,-5,,-1,+4(157),,+4(56),,,,,+1(52),,
83,,西安交通大学,钻石海,3,401,何卓霖,田雨阳,史耀睿,Silver,N,N,,+1(105),,+1(179),,-16,,,,,+2(96),,
84,,浙江财经大学,秃如其来,3,418,张垚垚,朱新宇,张维康,Silver,N,N,,,,+1(179),,+4(134),,,,,+1(44),,
85,53,华南理工大学,写不出了，饮茶先,3,423,许一多,林靖沅,马家俊,Silver,N,N,+1(218),,,+2(104),,-9,,,,,+3(39),,
86,,杭州电子科技大学信息工程学院,胜机,3,424,毛一枭,王权,梁孝铨,Silver,N,N,-1,+2(151),,+2(195),,-12,,,,,+1(37),,
87,54,中南大学,摸鱼自动机,3,433,黄道煜,周霄羽,张皓然,Silver,N,N,,+2(81),,+1(239),,-10,,,,,+3(52),,
88,54,南昌大学,超新星,3,437,赖澄宇,王福源,黄晨曦,Silver,N,N,+1(64),,,+3(295),,-20,,,,,+1(37),,
89,56,香港中文大学（深圳）,icpc摆大烂,3,440,金德容,陈建文,苏哲楷,Silver,N,N,,,,+3(227),,+1(67),,,,,+2(86),,
90,57,大连理工大学,梦觉流莺时一声,3,444,李胤驰,高盛轩,袁振,Silver,N,N,,,,+1(198),,+2(116),,,,,+3(69),,
91,,齐鲁工业大学,生死时速,3,451,杨熠辰,王励翔,刘鑫龙,Silver,N,N,,-1,,+1(263),,+1(142),,,,,+1(44),,
92,58,四川大学锦城学院,三核单线程,3,454,喻若舟,陈柯源,张智源,Silver,N,N,+1(141),,,+1(263),,-1,,,,,+1(49),,
93,,青岛大学,蓝色空间,3,483,王宪泉,张锦峰,武彬,Silver,N,N,,+1(166),,+3(235),,,,,,,+1(41),,
94,,浙江农林大学,学习使我快乐,3,493,张烨浩,薛卫东,张凌赫,Silver,N,N,-5,,,+3(189),,+1(231),-1,,,,+1(33),,
95,,广西大学,这小家伙也许能改写战局,3,501,王利明,金珉瑞,陈嘉怡,Silver,N,N,,+1(84),,-9,,+7(251),,,,,+1(45),,
96,59,西安电子科技大学,吾好梦中AC,3,505,王逸,王志利,欧心缘,Silver,N,N,,,,+1(238),,+1(189),,,,,+1(78),,
97,60,哈尔滨工业大学,再也没有树树了,3,506,王晓亮,徐放,金义扬,Silver,N,N,,-2,,+1(139),-2,+6(233),,,,,+1(33),,
98,61,西北工业大学,除了风暴都能击倒大树,3,522,孟祥瑞,徐浩洋,黄康宁,Silver,N,N,-5,,,+4(201),,+2(115),,,,,+4(66),,
99,,四川大学,魔理沙,3,534,张新,向宇,朱奕杰,Silver,N,N,,+1(267),,+1(197),,-16,,,,,+1(70),,
100,62,山东大学,追光者,3,542,战绪丰,庞天祥,褚瑞凡,Silver,N,N,,,,+3(254),,+2(174),,,,,+1(53),,
101,63,香港中文大学,焦糖布丁,3,544,袁樂勤,鍾懷哲,劉汶楷,Silver,N,N,-1,,,+2(192),+1(266),-7,-5,,,,+1(65),,
102,64,集美大学,抱歉，这没有集美,3,547,林贝宁,蔡万杰,张弛,Silver,N,N,-1,-5,-3,+1(186),-1,+5(260),-3,-1,-1,-1,+1(20),-1,-1
103,65,杭州电子科技大学,杭电三队,3,549,高义雄,赵章恺,方博,Silver,N,N,,,,+3(200),,-36,+1(230),,,,+2(57),,
104,,中国石油大学（北京）,云雾深处把井打,3,555,潘耀宇,陈若朋,夏方略,Silver,N,N,,+1(225),,+4(210),,,,,,,+1(59),,
105,66,上海理工大学,教练叫我来爆0,3,556,刘斌然,,,Silver,N,N,,,,+2(273),,+2(173),,,,,+2(49),,
106,,武汉科技大学,呐，你也想要KiraKira吗？,3,560,王印德,王忠齐,翁锦瑞,Bronze,N,N,,+4(167),,+3(238),,-30,,,,,+2(34),,
107,67,深圳大学,SZU-Archimedes,3,561,郭泽森,苏梓瀚,陈俊明,Bronze,N,N,,+1(153),,+3(264),,-9,,,,,+2(82),,
108,,武汉纺织大学,极东魔术昼寝结社,3,569,种佳琪,张亮,孟龙,Bronze,N,N,,,,+3(211),,+1(266),,,,,+1(50),,
109,68,中国科学技术大学,一轮游队,3,577,潘廷岳,郑以勒,曹高翔,Bronze,N,N,+2(260),,,+5(179),,,,,,,+1(37),,
110,,香港中文大学,破壞性演算法,3,585,周敬泓,鄭希哲,談知衡,Bronze,N,N,+2(291),,,+2(189),,,,,,,+1(64),,
111,69,哈尔滨理工大学,哈理工17队,3,586,郑然,王令开,陈思艺,Bronze,N,N,,,,+2(217),,+1(253),-1,,,,+1(95),,
112,,杭州师范大学,异世相逢，尽享编程,3,592,林宏磊,陈银桦,葛嘉辉,Bronze,N,N,,+1(267),,+5(202),,-11,,,,,+1(42),,
113,,西南科技大学,寺传乘絮鸢,3,593,陆承长,潘俊杰,毛宝文,Bronze,N,N,,,,+1(212),,+1(278),,,,,+3(61),,
114,70,湘潭大学,出签到题就算成功,3,594,李越,田楚天,蒋文彬,Bronze,N,N,-1,,,+4(172),,+3(233),,,,,+3(49),,
115,71,杭州电子科技大学,杭电八队,3,594,冯军荣,王子习,李企峥,Bronze,N,N,,,,+1(164),,+6(299),-1,,,,+1(31),,
116,72,湖北工业大学,百分之六十拿牌,3,598,徐億祥,贺鑫宇,颜潇冉,Bronze,N,N,,,,+3(232),,+1(284),,,,,+1(40),,
117,,武汉理工大学,不会计数怎么办,3,600,罗越,徐亚萌,奚兆阳,Bronze,N,N,,,,+2(147),,+6(284),-1,,,,+1(48),,
118,73,华东师范大学,加不出来,3,602,漆宇祥,范晨阳,王晨阳,Bronze,N,N,,-3,,+1(188),,+2(260),,,,,+3(93),,
119,74,中南大学,行但不行,3,603,何晨,祖凌铠,叶则杨,Bronze,N,N,,,,+3(198),,+3(289),,,,,+1(35),,
120,,成都理工大学,没有名字的队伍,3,615,陈永铿,汤昱力,雷笙达,Bronze,N,N,+3(270),,,+1(166),,,,,,,+4(77),,
121,75,国防科技大学,湘江后浪,3,617,孙晓帆,张星宇,陈铭,Bronze,N,N,,,,+3(293),,+5(157),,,,,+1(46),,
122,76,哈尔滨工程大学,噔噔咚,3,624,王昊宇,官毅,王洋,Bronze,N,N,,-1,-1,+2(150),,+10(236),,,,,+1(37),,
123,76,太原理工大学,鸽剧魅影,3,625,桑坤,郭宇霄,赵云霄,Bronze,N,N,,+2(154),,+5(287),,,,,,,+3(43),,
124,78,西南科技大学,勿以寄小而为之，勿以赢小而不麻,3,627,郭智超,黄小诚,杨展鹏,Bronze,N,N,,,,+3(256),,+4(212),,,,,+2(38),,
125,78,山东大学（威海）,先占个位置,3,628,周润杰,陈格,尚书尧,Bronze,N,N,+6(298),,,+1(168),,,,,,,+1(61),,
126,80,浙江工商大学,澳门牌王大战狙击美佐,3,631,王铭阳,陈侠,许嘉俊,Bronze,N,N,,,,+4(225),,+2(286),,,,,+1(39),,
127,,武汉大学,大本钟下开邮局,3,635,万宇恒,苏禹畅,林锟扬,Bronze,N,N,,-1,,+1(174),,+6(258),,,,,+2(81),,
128,81,宁波大学,转世成为丘丘人这件事,3,636,曾佳敏,余嘉瑜,俞智超,Bronze,N,N,+3(220),,,+4(254),,,,,,,+2(41),,
129,,成都信息工程大学,自动wawa机,3,638,胡峻搏,周博文,黄俊杰,Bronze,N,N,,,,+4(235),+1(266),,-6,,,,+3(36),,
130,,新疆大学,xju01,3,638,李佳胜,罗逸聪,邹炎均,Bronze,N,N,,,,+3(165),,+5(293),,,,,+1(59),,
131,,湖南农业大学,取队名就是量子技术,3,639,胡忠祥,刘嘉诚,王溪超,Bronze,N,N,,,,+2(207),,+3(289),,,,,+2(63),,
132,82,四川大学,江山代有才人秃,3,640,辛梓杰,李毓,牛佳文,Bronze,N,N,,,,+1(193),,+5(295),,,,,+2(50),,
133,82,福州大学,精准,3,640,李鸿宇,王奕然,林铮翔,Bronze,N,N,+4(230),,,+3(248),,-6,,,,,+1(61),,
134,84,南京信息工程大学,三个蓝桥杯选手,3,643,张逸凡,鲁哲豪,吴昊,Bronze,N,N,+4(182),,,+6(248),,-5,,,,,+2(32),,
135,85,四川大学,给郭哥哥泡一池子大红袍,3,649,吴咏蔚,郭尧,周雪妍,Bronze,N,N,,,,+1(248),,+4(276),,,,,+2(44),,
136,,湖南理工学院,木头儿子最好,3,658,王斯威,陈睿轩,魏文轩,Bronze,N,N,+4(293),,,+1(193),,,,,,,+2(90),,
137,,成都信息工程大学,打上花火,3,658,黄亚军,赵钰,李佳彤,Bronze,N,N,+1(284),,,-15,,+3(274),,,,,+2(40),,
138,86,浙江工业大学,ZJUT-earn3,3,660,谢洋帆,胡圣烩,吴昊天,Bronze,N,N,-1,+1(222),,+2(269),,-1,,,,,+4(88),,
139,86,湖南理工学院,你很有希望,3,667,向杰,李居航,李维逸,Bronze,N,N,,,,+3(276),+1(263),,,,,,+1(87),,
140,,中国矿业大学,拿牌子教练就女装,3,691,温耀林,尉高耀,杨忻至,Bronze,N,N,,,,+5(267),,+7(174),,,,,+1(49),-4,
141,,东北大学秦皇岛分校,升空的奖牌，从台上看还是台下看,3,692,胡鸿捷,袁茂恒,刘琛,Bronze,N,N,,,,+2(260),,+4(208),,,,,+3(102),,
142,,绍兴文理学院,大吉大利,3,693,孟嘉政,郑柏成,周建伟,Bronze,N,N,+4(198),,,+6(262),,,,,,,+2(52),,
143,88,中国地质大学（北京）,为美好的世界献上祝福！,3,701,胡世琦,伍泽鑫,赵笑天,Bronze,N,N,+2(223),,,+3(254),,,,,,,+4(103),,
144,,闽南师范大学,JV哥哥爱上我,3,719,唐鑫程,傅俊斌,林俊逸,Bronze,N,N,,,,+1(280),,+6(290),,,,,+1(48),,
145,89,深圳大学,SZU-YanranLee,3,731,费楚雯,齐宇轩,陈希哲,Bronze,N,N,,,,+6(190),,+7(280),-2,,,,+1(40),,
146,90,香港中文大学,马料水职业技术学院,3,735,杨译琉,王刘剑夫,周逸祥,Bronze,N,N,,,,+2(267),,+9(190),-2,,,,+4(37),,
147,91,郑州大学,感觉不如线下。。线上,3,738,杨宇航,余清扬,凌鑫,Bronze,N,N,+4(292),,,+1(241),,,,,,,+3(103),,
148,,中国矿业大学,一般性随机忆墨人,3,739,宋明潇,杨斌涵,钟泽旭,Bronze,N,N,,,,+4(276),,+7(172),-3,,,,+3(70),,
149,,湖南师范大学,猫猫能量,3,748,姜远仁,胡昀霏,陈代康,Bronze,N,N,+5(296),,,+2(187),,,,,,,+3(124),,
150,,南京理工大学,饼干,3,752,陈一涵,代领,谢东娜,Bronze,N,N,,+8(260),,+4(185),,,,,,,+3(67),,
151,,新疆大学,xju02,3,754,吕昂,陈永园,吴昌坤,Bronze,N,N,,,,+5(250),,+7(236),,,,,+1(67),,
152,92,浙江科技学院,枸杞泡澡,3,760,袁佳菲,蔡炳旭,蒋贤潇,Bronze,N,N,,,,+3(291),,+3(297),,,,,+1(91),,
153,93,北京理工大学珠海学院,星火燎原,3,761,张润泽,洪宇勋,郑润民,Bronze,N,N,+1(218),,,+1(291),,,,,,,+1(252),,
