Rank,School Rank,School,Team,Solved,Penalty,Member1,Member2,Member3,Medal,Unofficial,Girl,A,B,C,D,E,F,G,H,I,J,K,L,M
395,196,中南民族大学,找不到411,2,670,,,,Honorable,N,N,,,-1,+3(291),-1,,,,,,+6(239),,
396,197,金陵科技学院,万万没想到,2,673,,,,Honorable,N,N,,,,+6(270),,-11,,,,,+7(182),,
397,,中原工学院,这是什么,2,689,,,,Honorable,N,N,,,,+8(295),,,,,,,+3(214),,
398,,中北大学,天晨破晓,2,709,,,,Honorable,N,N,,,,+4(252),,,,,,,+13(156),,
399,,常熟理工学院,这AC多是一件美逝啊,2,744,,,,Honorable,N,N,,,,+9(280),,,,,,,+9(143),,
400,,山东大学,问题不大,2,788,,,,Honorable,N,N,,,,-4,,+24(295),,,,,+1(32),,
401,198,河南大学,怪兽暴打奥特曼,2,797,,,,Honorable,N,N,,,,+2(243),,-5,,,,,+13(294),,
402,,西安工业大学,西北枢纽,2,827,,,,Honorable,N,N,,,,+8(212),,,,,,,+10(295),,
403,199,湖南第一师范学院,男铜队,1,20,,,,Honorable,N,N,,,,-7,,-12,,,,,+1(20),,
404,,河南科技大学,锟斤拷,1,23,,,,Honorable,N,N,,,,,,-2,,,,,+1(23),,
405,,浙江工商大学,摸鱼组,1,24,,,,Honorable,N,N,,,,-47,,,,,,,+1(24),,
406,200,肇庆学院,北岭山脚信步,1,25,,,,Honorable,N,N,,,,-2,,,,,,,+1(25),,
407,,烟台大学,做的都队,1,25,,,,Honorable,N,N,,,,-11,,,,,,,+1(25),,
408,201,沈阳航空航天大学,黎明前线,1,30,,,,Honorable,N,N,,,,-8,,,,,,,+1(30),,
409,202,东北大学秦皇岛分校,该队名未通过审核,1,32,,,,Honorable,N,N,,,,-10,,-9,,,,,+1(32),,
410,,辽宁工程技术大学,太阳石之光,1,33,,,,Honorable,N,N,,,,,,,,,,,+1(33),,
411,203,湖北经济学院,举个小星星,1,34,,,,Honorable,N,N,,,,-5,,-1,,,,,+1(34),,
412,204,徐州工程学院,队名我想想,1,34,,,,Honorable,N,N,,,,-2,,,,,,,+1(34),,
413,205,浙江工业大学之江学院,三人游,1,35,,,,Honorable,N,N,,,,-3,,,-1,,,,+1(35),-3,
414,205,浙大城市学院,半次元,1,35,,,,Honorable,N,N,,,,-5,,-1,,,,,+1(35),,
415,,河南理工大学,NullNamespace,1,36,,,,Honorable,N,N,,,,-6,,,,,,,+1(36),,
416,,上海大学,凑热闹队,1,39,,,,Honorable,N,N,,,,-2,,,,,,,+1(39),,
417,207,绍兴文理学院元培学院,保一争二,1,42,,,,Honorable,N,N,,,,-5,,,-1,,,,+1(42),,
418,,浙江师范大学,启明星,1,43,,,,Honorable,N,N,-1,,,,,,,,,,+1(43),,
419,,浙江农林大学,陈莲仁不容逸,1,44,,,,Honorable,N,N,,,,-2,,-1,-5,,,,+1(44),,
420,208,中国计量大学,已经没什么好怕的了,1,46,,,,Honorable,N,N,,,,-6,,,,,,,+1(46),,
421,,华中农业大学,鸡汤来喽,1,46,,,,Honorable,N,N,,,,-3,,-7,,,,,+1(46),,
422,,华北理工大学,衬衫尺寸没5X,1,47,,,,Honorable,N,N,,,,-10,,,-1,,,,+2(27),,
423,209,北京工业大学,比完赛吃麦当劳,1,47,,,,Honorable,N,N,-7,,,-3,,,,,,,+1(47),,
424,,西南科技大学,小丑,1,47,,,,Honorable,N,N,,,,,,,-23,,,,+1(47),,
425,210,南方科技大学,南方科技大学-瓦伦西亚,1,47,,,,Honorable,N,N,,,,-2,,-8,,,,,+1(47),,
426,,温州大学,三点共面,1,48,,,,Honorable,N,N,,,,-2,,,,,,,+1(48),,
427,,华南农业大学,歪歪歪,1,48,,,,Honorable,N,N,,-1,,-1,,,-3,,,,+1(48),,
428,211,西北师范大学,辉夜大小姐想让我拿牌～蒟蒻们的罚坐头脑战～,1,51,,,,Honorable,N,N,,,,-1,,,,,,,+1(51),,
429,,西南民族大学,轨迹,1,52,,,,Honorable,N,N,,-1,,,,,,,,,+1(52),,
430,,厦门大学,攻城狮,1,52,,,,Honorable,N,N,,,,,,,,,,,+1(52),,
431,,江西理工大学,zlz,1,52,,,,Honorable,N,N,,,,-1,-1,,,,,,+1(52),,
432,212,西安理工大学,德鲁比,1,53,,,,Honorable,N,N,,,,-9,,,,,,,+1(53),,
433,,桂林电子科技大学,关于群友都有数理基础这件事,1,55,,,,Honorable,N,N,,,,,,,,,,,+1(55),,
434,212,华中师范大学,六边形战士,1,56,,,,Honorable,N,N,,,,-12,,,,,-1,,+1(56),,
435,,广东工业大学,宇宙年级舰队,1,57,,,,Honorable,N,N,,,,,,,,,,,+2(37),,
436,,东华理工大学,给块牌子吧,1,58,,,,Honorable,N,N,,,,-2,,-3,,,,,+2(38),,
437,,齐鲁工业大学,美味风蛇,1,58,,,,Honorable,N,N,,,,-4,,,,,,,+1(58),,
438,,嘉应学院,菜狗,1,60,,,,Honorable,N,N,,,,-5,,,,,,,+1(60),,
439,214,衡阳师范学院,雁去,1,61,,,,Honorable,N,N,,,,-8,,,-18,,,,+2(41),,
440,,烟台大学,启迪星,1,61,,,,Honorable,N,N,,,,-4,,,,,,,+2(41),,
441,,浙江科技学院,今天吃饭了吗,1,62,,,,Honorable,N,N,,,-1,-1,,,,,,,+2(42),,
442,,福建农林大学,乌拉,1,62,,,,Honorable,N,N,-2,,,,,,,,,,+1(62),,
443,,华南农业大学,你怎么知道我们学校双一流了,1,62,,,,Honorable,N,N,,,,-4,,-8,,,,,+1(62),,
444,,武汉大学,去月球,1,62,,,,Honorable,N,N,-4,,,-4,,,,,,,+2(42),,
445,215,温州大学,重生之我要拿牌子,1,63,,,,Honorable,N,N,,,,-4,,,,,,,+1(63),,
446,215,武汉理工大学,AC防火墙,1,63,,,,Honorable,N,N,,,,-7,,-15,,,,,+1(63),,
447,,阜阳师范大学,第七路军,1,65,,,,Honorable,N,N,,,,-2,,,,,,,+2(45),,
448,,东北林业大学,线性发散,1,67,,,,Honorable,N,N,,,,,,-7,,,,,+2(47),,
449,215,浙江农林大学暨阳学院,黎明男孩,1,69,,,,Honorable,N,N,,,,,-2,,,,,,+1(69),,
450,218,江西师范大学,是否不过CET真的能变强,1,70,,,,Honorable,N,N,,,,-9,,,-1,,,,+2(50),,
451,218,武汉工程大学,算法滴水我滴泪,1,70,,,,Honorable,N,N,,,,-4,,,,,,,+1(70),-4,
452,218,战略支援部队信息工程大学,随机队,1,72,,,,Honorable,N,N,,,,-3,,,,,,,+3(32),,
453,,周口师范学院,您的队伍名字（中文）,1,72,,,,Honorable,N,N,,,,-8,,,,,,,+2(52),,
454,,广东财经大学,桥洞盖小被,1,73,,,,Honorable,N,N,,,-3,-7,,-5,,,,,+2(53),,
455,221,山东工商学院,所向皆破,1,73,,,,Honorable,N,N,,,,-5,-1,,,,,,+2(53),,
456,,华南农业大学,想做嘉然小姐的狗,1,73,,,,Honorable,N,N,,,,-5,,-2,,,,,+1(73),,
457,,湖南工业大学,队名不能为空,1,74,,,,Honorable,N,N,,,,-5,,,,,,,+2(54),,
458,,吉首大学,100%萌新,1,74,,,,Honorable,N,N,,,,-1,,-1,,,,,+2(54),,
459,,大连海事大学,随随便便拿牌队,1,74,,,,Honorable,N,N,,,,-4,,,,,,,+1(74),,
460,,广州中医药大学,这一波三杀,1,75,,,,Honorable,N,N,-3,,,-16,,,,,,,+3(35),,
461,,武汉理工大学,御坂御坂网络,1,75,,,,Honorable,N,N,,,,,,,-10,,,,+2(55),,
462,,中国海洋大学,银川办的蛮好的你把它去换了干什么,1,76,,,,Honorable,N,N,,,,-7,,,,,,,+2(56),,
463,222,惠州学院,只k样例,1,77,,,,Honorable,N,N,-1,,,-4,,,,,,,+1(77),,
464,222,浙江理工大学,公海收收米,1,77,,,,Honorable,N,N,,,,-4,,-11,,,,,+2(57),,
465,,重庆科技学院,多A两个题吧,1,78,,,,Honorable,N,N,,,,,,,,,,,+2(58),,
466,224,郑州轻工业大学,重生之我是Hao哥,1,79,,,,Honorable,N,N,,,,-6,,,,,,,+2(59),,
467,,合肥工业大学,心废复苏,1,81,,,,Honorable,N,N,,,,,,,,,,,+2(61),,
468,,曲阜师范大学,王佳琪天下第一！,1,83,,,,Honorable,N,N,,,,-6,,,,,,,+2(63),,
469,225,武汉理工大学,点外卖,1,83,,,,Honorable,N,N,,,,,,,,-1,,,+2(63),,
470,226,韶关学院,追梦者,1,83,,,,Honorable,N,N,,,,-4,-1,,,,,,+2(63),,
471,,新疆师范大学,xjnu_01,1,83,,,,Honorable,N,N,,,,-4,,,,,,,+3(43),,
472,227,山东理工大学,Excalibur,1,83,,,,Honorable,N,N,,-1,,-3,,,,,,,+2(63),,
473,,中国计量大学,铁匠,1,84,,,,Honorable,N,N,,,,-6,,,-1,,,,+2(64),,
474,,湖北工业大学,哇哈哈,1,84,,,,Honorable,N,N,,,,-2,,,-1,,,,+2(64),,
475,,广州大学,逝华虚梦,1,85,,,,Honorable,N,N,,,,-3,,,,,,,+2(65),,
476,227,湖南师范大学,磁铁必不可能吸起奖牌,1,86,,,,Honorable,N,N,,,,-5,,-5,,,,,+2(66),,
477,,武汉纺织大学,寄汤来咯,1,87,,,,Honorable,N,N,,,,,,-9,,,,,+2(67),,
478,,兰州理工大学,AC了个寂寞,1,87,,,,Honorable,N,N,,,,,,-4,,,,,+1(87),,
479,,南开大学,罗翔说算法,1,88,,,,Honorable,N,N,,,,,,-9,,,,,+3(48),,
480,,华东交通大学,心心向银,1,88,,,,Honorable,N,N,,,,,,-8,,,,,+2(68),,
481,,南阳理工学院,HaveFun,1,88,,,,Honorable,N,N,,,,-15,,,-1,,,,+3(48),,
482,,南华大学,国家汪汪大队,1,89,,,,Honorable,N,N,,,,-2,,,,,,,+2(69),,
483,,吉首大学,世界上最幸福的珂朵莉,1,89,,,,Honorable,N,N,,,,-1,,,-2,,,,+2(69),,
484,,山东科技大学,NCC_26531 埃克塞特号,1,91,,,,Honorable,N,N,,,,-4,,,,,,,+2(71),,
485,229,惠州学院,青青草原,1,92,,,,Honorable,N,N,,,-1,,-1,,,,,,+3(52),,
486,230,徐州工程学院,绿箭,1,93,,,,Honorable,N,N,,,,-2,,-31,,,,,+3(53),,
487,,南昌大学,卢本伟牛逼,1,93,,,,Honorable,N,N,-4,,,-5,,-2,,,,,+2(73),,
488,,安徽工业大学,陪你度过漫长岁月,1,94,,,,Honorable,N,N,,,,-5,,-4,,,,,+2(74),,
489,,合肥工业大学宣城校区,面向样例编程,1,95,,,,Honorable,N,N,,,,-6,,,,,,,+2(75),,
490,,成都理工大学,空,1,96,,,,Honorable,N,N,,,,,,-4,,,,,+2(76),,
491,231,嘉兴学院,我们队长四级考了405,1,98,,,,Honorable,N,N,-1,-1,-1,-12,-1,-1,-1,-1,-1,-1,+2(78),-1,-1
492,,厦门大学嘉庚学院,啊对对队,1,99,,,,Honorable,N,N,,,,,,-6,,,,,+3(59),,
493,,浙江万里学院,呜哇呜,1,101,,,,Honorable,N,N,,,,-5,,-5,,,,,+1(101),,
494,,湖南人文科技学院,天才卡题少年,1,101,,,,Honorable,N,N,,,,-3,,,,,,,+2(81),,
495,,西北农林科技大学,陈老师你快支棱起来啊,1,102,,,,Honorable,N,N,,,,-7,,,,,,,+2(82),,
496,,三峡大学,奖牌,1,102,,,,Honorable,N,N,,,,-4,,,,,,,+2(82),,
497,,贵州大学,啊对对对,1,104,,,,Honorable,N,N,,,,-12,,,,,,,+3(64),,
498,232,江西财经大学,啊对对对,1,104,,,,Honorable,N,N,,,,-5,,-1,,,,,+2(84),,
499,,南京工业大学,打铁小分队,1,105,,,,Honorable,N,N,,,,-5,,,,,,,+3(65),,
500,233,浙江理工大学,F1ow,1,106,,,,Honorable,N,N,,,,-8,,-1,,,,,+4(46),,
501,233,内蒙古大学,晚安,1,107,,,,Honorable,N,N,,,,-5,,,,,,,+3(67),,
502,,三峡大学,三角,1,109,,,,Honorable,N,N,,,,-7,,-4,,,,,+2(89),,
503,,大连海事大学,海大渔业,1,109,,,,Honorable,N,N,,,,,,,,,,,+3(69),-1,
504,233,安徽大学,超市里,1,110,,,,Honorable,N,N,,,,,,-4,,,,,+1(110),,
505,,西南民族大学,渊渟岳峙,1,111,,,,Honorable,N,N,,,,,,,-1,,,,+2(91),,
506,,浙江中医药大学,三个葫芦爷,1,114,,,,Honorable,N,N,,,,-6,,,-3,,,,+2(94),,
507,,南昌理工学院,今晚打老虎,1,115,,,,Honorable,N,N,,,,-2,,-1,,,,,+3(75),,
508,236,中国石油大学（北京）,都行 你们随便取一个,1,115,,,,Honorable,N,N,-6,,,,,,,,,,+3(75),,
509,236,浙江机电职业技术学院,我是谁,1,117,,,,Honorable,N,N,,,,-3,,,-1,,,,+1(117),,
510,,重庆科技学院,快乐小屋,1,118,,,,Honorable,N,N,,,,,,-34,,,,,+1(118),,
511,238,江西理工大学,这一wa叫晚安,1,118,,,,Honorable,N,N,,,,-7,-1,,-1,,,,+3(78),,
512,,湖南农业大学东方科技学院,以下犯上,1,118,,,,Honorable,N,N,,,,-1,,,,,,,+3(78),,
513,,湖南师范大学,鲜花饼的头号粉丝,1,119,,,,Honorable,N,N,,,,-2,,-1,,,,,+2(99),,
514,,郑州大学,郑在路上,1,119,,,,Honorable,N,N,-2,,,,,,,,,,+3(79),,
515,,中国矿业大学（北京）,因为太笨太懒就只好摆烂制杖队,1,121,,,,Honorable,N,N,,,,-4,,,,,,,+3(81),,
516,,沈阳航空航天大学,打铁冠军,1,121,,,,Honorable,N,N,,,,-12,,,,,,,+2(101),,
517,,山东建筑大学,魔法少男,1,121,,,,Honorable,N,N,,,,-4,,-1,,,,,+1(121),,
518,239,浙江育英职业技术学院,我们都有绿马,1,122,,,,Honorable,N,N,,-1,,-13,,,,,,,+1(122),,
519,,兰州理工大学,K-ON,1,122,,,,Honorable,N,N,,,,-3,,,,,,,+3(82),,
520,,中国石油大学胜利学院,不可以色色,1,126,,,,Honorable,N,N,,,,-14,,,-1,,,,+5(46),,
521,,电子科技大学中山学院,新生一队,1,128,,,,Honorable,N,N,,,,-6,,,,,,,+3(88),,
522,,天津工业大学,专注分母二十年,1,128,,,,Honorable,N,N,,,,-4,,-4,,,,,+4(68),,
523,240,韶关学院,多AC一题,1,128,,,,Honorable,N,N,,,,,,-10,,,,,+3(88),,
524,,重庆交通大学,HuangWangGuo,1,129,,,,Honorable,N,N,,,,,,,,,,,+2(109),,
525,241,中南民族大学,吃五碗饭,1,130,,,,Honorable,N,N,,,,-8,-2,,,,,,+3(90),,
526,,中国石油大学（华东）,那没办法嘛,1,130,,,,Honorable,N,N,,,,-4,,,,,,,+3(90),,
527,,江西理工大学南昌校区,挺过第一轮,1,131,,,,Honorable,N,N,,,,-3,,,,,,,+3(91),,
528,242,河南大学,大河河大,1,131,,,,Honorable,N,N,,,,-8,,-2,,,,,+4(71),,
529,,嘉应学院,加入光荣的进化,1,132,,,,Honorable,N,N,,,,-1,,,,,,,+2(112),,
530,,澳门科技大学,必须AC机,1,133,,,,Honorable,N,N,-8,,,,,,,,,,+2(113),,
531,,华东交通大学,第四天灾,1,134,,,,Honorable,N,N,-4,,,,,,,,,,+5(54),,
532,,华中科技大学,Reborn as an ACMer,1,134,,,,Honorable,N,N,,,,-4,,-6,,,,,+3(94),,
533,,重庆大学,真正的嘉心糖,1,134,,,,Honorable,N,N,,,,-4,,-4,,,,,+5(54),,
534,,东北师范大学,三个铁沸物,1,135,,,,Honorable,N,N,,,,-11,,,,,,,+4(75),,
535,243,天津商业大学,什么都,1,136,,,,Honorable,N,N,,-1,,-2,,,,,,,+2(116),,
536,,西北农林科技大学,没道理啊不应该啊,1,136,,,,Honorable,N,N,,-1,,-7,,,,,,,+3(96),,
537,,暨南大学,宁海航,1,137,,,,Honorable,N,N,,,,-1,,-25,,,,,+4(77),,
538,,安徽工业大学,早上吃什么,1,138,,,,Honorable,N,N,,,,-2,,-1,,,,,+2(118),,
539,244,天津大学,队栈溢出,1,139,,,,Honorable,N,N,,,,-7,,,,,,,+4(79),,
540,,上海海洋大学,临港贝极星,1,139,,,,Honorable,N,N,,,,,,,-2,,,,+4(79),,
541,,上海海事大学,渴能不秽,1,139,,,,Honorable,N,N,,,,,,,,,,,+4(79),,
542,,成都信息工程大学,阿萨辛,1,140,,,,Honorable,N,N,,,,,,,,,,,+4(80),,
543,245,西安理工大学,神奇的力量,1,140,,,,Honorable,N,N,,,,-6,,,,,,,+3(100),,
544,,苏州大学,东吴三侠,1,141,,,,Honorable,N,N,,,,-4,,,,,,,+2(121),,
545,,北京化工大学,红绿灯,1,141,,,,Honorable,N,N,,,,-5,,-6,,,,,+3(101),,
546,,太原理工大学,好友成堆队,1,142,,,,Honorable,N,N,,,,-2,,,,,,,+3(102),,
547,246,南昌航空大学,天动万象,1,142,,,,Honorable,N,N,,,,-5,,-3,,,,,+4(82),,
548,,浙大城市学院,队名不知道叫什么,1,143,,,,Honorable,N,N,,,,-3,,-9,,,,,+3(103),,
549,,南京航空航天大学,拿不到金牌也有女朋友队,1,143,,,,Honorable,N,N,-1,,,-2,-1,,,,,,+3(103),,
550,247,中国人民大学,搬起我的小板凳,1,143,,,,Honorable,N,N,,-1,,,,-3,,,,,+1(143),,
551,,内蒙古大学,WeallAC,1,145,,,,Honorable,N,N,,,,-1,-1,,,,,,+4(85),,
552,247,大连东软信息学院,捏他王,1,146,,,,Honorable,N,N,,,,-1,,,,,,,+3(106),,
553,,西南石油大学,wa了那咋办嘛,1,146,,,,Honorable,N,N,,,,-2,,,,,,,+2(126),,
554,,山东师范大学,给我个气球吧,1,148,,,,Honorable,N,N,,,,-1,,-19,,,,,+3(108),,
555,,青岛农业大学,九五至尊,1,148,,,,Honorable,N,N,,,,,,,-11,,,,+2(128),,
556,249,宁波大学,三个核桃,1,149,,,,Honorable,N,N,-7,,,-6,,,,,,,+3(109),,
557,,常熟理工学院,钝角,1,150,,,,Honorable,N,N,,,,-3,,,,,,,+3(110),,
558,,湖北文理学院,卧龙山,1,151,,,,Honorable,N,N,,,,,,,,,,,+1(151),,
559,,湖南文理学院,木已成舟,1,151,,,,Honorable,N,N,,,,-11,,,,,,,+4(91),,
560,250,北京师范大学,谢谢卡尔,1,151,,,,Honorable,N,N,,,,-2,,-9,,,,,+5(71),,
561,,湖南科技大学,摸鱼大师,1,152,,,,Honorable,N,N,,,,-1,,,,,,,+1(152),,
562,,合肥学院,菲尼克斯,1,152,,,,Honorable,N,N,,,,-5,,,,,,,+4(92),,
563,,华南理工大学,oOvO,1,154,,,,Honorable,N,N,,,,-4,,,,,,,+2(134),,
564,,河海大学,肉蛋葱鸡,1,155,,,,Honorable,N,N,,,,,,,,,,,+1(155),,
565,251,西南交通大学,我们的愿望是全员脱单,1,156,,,,Honorable,N,N,,,,,,-2,,,,,+4(96),,
566,251,湖南文理学院,狂点技能树,1,158,,,,Honorable,N,N,,,,-9,,,,,,,+4(98),,
567,,重庆交通大学,重交吴彦组,1,158,,,,Honorable,N,N,,,,-2,-1,,,,,,+4(98),,
568,,广西外国语学院,哒咩哒咩,1,158,,,,Honorable,N,N,,,,,-16,,,,,,+6(58),,
569,,南阳师范学院,红烧杰尼龟,1,159,,,,Honorable,N,N,,,,,,,,,,,+2(139),,
570,,青岛农业大学,咏唱猫皮,1,163,,,,Honorable,N,N,,-1,,,,,,,,,+2(143),,-3
571,253,河南大学,鸡汤来喽！,1,164,,,,Honorable,N,N,,,,,,-6,,,,,+4(104),,
572,254,山东财经大学,魁拔,1,166,,,,Honorable,N,N,,,,,,,,,,,+2(146),,
573,254,惠州学院,代码只有一行,1,169,,,,Honorable,N,N,,,,,,,,,,,+3(129),,
574,254,苏州大学,哪里签到啊,1,169,,,,Honorable,N,N,,,,-4,,,,,,,+1(169),,
575,,黑龙江大学,世界终焉即是AC开始,1,170,,,,Honorable,N,N,,,,-10,,,,,,,+4(110),,
576,,广西大学,步履蹒跚的残疾芥末火锅,1,171,,,,Honorable,N,N,,,,-5,,,,,,,+2(151),,
577,,贵州大学,把题做队,1,172,,,,Honorable,N,N,,,,-6,,,,,,,+4(112),,
578,,西北工业大学,芜湖起飞,1,172,,,,Honorable,N,N,,,,-3,,-1,,,,,+5(92),,
579,,合肥学院,三只松鼠,1,174,,,,Honorable,N,N,,,,-1,,-15,,,,,+5(94),,
580,,南阳理工学院,AC小兔队,1,180,,,,Honorable,N,N,,,,,,,,,,,+2(160),,
581,,浙江财经大学,读题困难户,1,180,,,,Honorable,N,N,-3,,,-6,,-2,,,,,+6(80),,
582,257,湘潭大学,签到成功队,1,182,,,,Honorable,N,N,,,,-2,,,,,,,+3(142),,
583,258,黑龙江工程学院,蒟蒻渴望AC,1,184,,,,Honorable,N,N,,,,,-1,,,,,,+5(104),,
584,,湖北经济学院,一点浩然气,1,184,,,,Honorable,N,N,,,,,,,,,,,+4(124),,
585,259,华南师范大学,123456,1,185,,,,Honorable,N,N,,,,-2,,,,,,,+3(145),,
586,260,河海大学,你甚至能在可每队发现一只猫猫,1,186,,,,Honorable,N,N,,,,-6,,,,,,,+1(186),,
587,,重庆大学,随机字符串,1,190,,,,Honorable,N,N,,,,-12,,,,,,,+4(130),,
588,261,浙江工业大学之江学院,蔚总的两个手指挂件,1,190,,,,Honorable,N,N,,,,-4,,-1,,,,,+6(90),,
589,,广西大学,转发教务处通知，下周继续线上教学,1,197,,,,Honorable,N,N,-4,,,-5,,,,,,,+5(117),,
590,262,桂林电子科技大学,灰化肥不会挥发,1,197,,,,Honorable,N,N,,,,-4,,-2,,,,,+5(117),,
591,,浙江中医药大学,ZCMU-咩咩咩咩咩,1,198,,,,Honorable,N,N,,,,-6,,-3,,,,,+5(118),,
592,,福州职业技术学院,你没事就吃溜溜梅,1,201,,,,Honorable,N,N,-4,,,-1,,,,,,,+7(81),,
593,,华中农业大学,通通拿下,1,203,,,,Honorable,N,N,,,,-3,,,,,,,+7(83),,
594,,中国海洋大学,张可的家,1,203,,,,Honorable,N,N,,,,-4,,,,,,,+3(163),,
595,,合肥学院,没有人能拒绝我龙傲天,1,204,,,,Honorable,N,N,,,,-2,,,,,,,+4(144),,
596,,长安大学,纯爱溜溜球,1,205,,,,Honorable,N,N,,,,-5,,-3,,,,,+4(145),,
597,263,华北电力大学（保定）,华北电力大学（保定）代表队,1,207,,,,Honorable,N,N,,,,,,,,,,,+7(87),-180,
598,264,西安邮电大学,喵喵喵,1,207,,,,Honorable,N,N,,,,-5,,,,,,,+3(167),,
599,,西南石油大学,三元运算律,1,207,,,,Honorable,N,N,-3,,,-2,,,,,,,+4(147),,
600,,江苏理工学院,三保零,1,209,,,,Honorable,N,N,,,,-7,,,,,,,+4(149),,
601,,福建师范大学,想成为男铜,1,210,,,,Honorable,N,N,,,,-7,,,,,,,+6(110),,
602,,济南大学,风向仪,1,211,,,,Honorable,N,N,,,,,,,,,,,+4(151),,
603,265,山东科技大学,NCC_26136 朱可夫号,1,212,,,,Honorable,N,N,,,,-2,,,,,,,+6(112),,
604,,中南林业科技大学,邪恶彩虹暴龙战神-至臻,1,214,,,,Honorable,N,N,,,,-5,,,,,,,+4(154),,
605,,西南交通大学,唯,1,216,,,,Honorable,N,N,,,,-4,,-1,,,,,+5(136),,
606,266,西安理工大学,wa自动机,1,216,,,,Honorable,N,N,,,,-2,,,,,,,+4(156),,
607,,华南师范大学,两肉一菜,1,220,,,,Honorable,N,N,,,,-9,,,,,,,+3(180),,
608,,中国石油大学（华东）,金添我温柔不了,1,220,,,,Honorable,N,N,,,-1,-2,,,,,,,+5(140),,
609,267,三峡大学,智慧,1,220,,,,Honorable,N,N,,,,-1,,,,,,,+3(180),,
610,,长沙理工大学,霸道数学爱上我,1,221,,,,Honorable,N,N,,,,,,,,,,,+2(201),,
611,268,中北大学,AKA小白菜,1,222,,,,Honorable,N,N,,,,,,,,,,,+5(142),,
612,269,宁夏大学,这次一定做点事,1,222,,,,Honorable,N,N,,,,-6,,,,,,,+5(142),,
613,270,郑州大学,重生之AK战神,1,224,,,,Honorable,N,N,,,,-3,,,,,,,+7(104),,
614,,乐山师范学院,啊对对队,1,226,,,,Honorable,N,N,,,,,-1,,,,,,+4(166),,
615,,河北师范大学,啊对对队,1,228,,,,Honorable,N,N,,,,-5,,,,,,,+3(188),,
616,,湖南理工学院,创建新队,1,232,,,,Honorable,N,N,,,,,,+3(192),,,,,-4,,
617,,肇庆学院,北岭山巅远眺,1,235,,,,Honorable,N,N,,,,-13,,,-1,,,,+9(75),,
618,271,云南大学,云大第一深情队,1,236,,,,Honorable,N,N,,,,,,,,,,,+3(196),,
619,,西南石油大学,零一,1,236,,,,Honorable,N,N,,,,-5,,,,,,,+4(176),,
620,,长江师范学院,妙wa种子,1,245,,,,Honorable,N,N,-1,-1,-1,-1,-1,-3,-1,-1,-1,-1,+5(165),-1,-1
621,,肇庆学院,北岭山间戏水,1,247,,,,Honorable,N,N,,,,-1,,,,,,,+6(147),,
622,,兰州大学,先生请问你要买朵花吗,1,248,,,,Honorable,N,N,,,,-1,,-2,,,,,+4(188),,
623,,南京师范大学,卡其色,1,248,,,,Honorable,N,N,,,,,,,,,,,+5(168),,
624,,东华理工大学,阿波罗,1,248,,,,Honorable,N,N,,,,,,,,,,,+4(188),,
625,,广州中医药大学,一路AC,1,249,,,,Honorable,N,N,,,,-2,,,,,,,+4(189),,
626,272,浙江育英职业技术学院,派大星队,1,249,,,,Honorable,N,N,-1,,,-4,,-1,,,,,+6(149),,
627,,武汉商学院,我想要只冰墩墩,1,249,,,,Honorable,N,N,,,,,,-15,,,,,+7(129),-2,
628,,黄河科技学院,我每天都要看妞保持心情愉悦,1,253,,,,Honorable,N,N,,,,,,,,,,,+5(173),,
629,273,河南师范大学,河狮,1,256,,,,Honorable,N,N,,,,-6,,-9,,,,,+8(116),,
630,,浙江育英职业技术学院,三打排骨精,1,257,,,,Honorable,N,N,,,-1,-6,,,,,,,+6(157),,
631,274,湖南人文科技学院,听说集齐七块精铁可以晋升全职铁匠,1,258,,,,Honorable,N,N,,,,-5,,,,,,,+6(158),,
632,,广东技术师范大学,夏日弥光,1,260,,,,Honorable,N,N,,,,-2,,,,,,,+6(160),,
633,275,长江师范学院,上台领奖,1,263,,,,Honorable,N,N,,,,-1,,,,,,,+4(203),,
634,,重庆交通大学,线段树守卫,1,263,,,,Honorable,N,N,,,,,,,,,,,+4(203),,
635,,郑州轻工业大学,远枫,1,264,,,,Honorable,N,N,,,,,,-1,,,,,+7(144),,
636,276,湖北中医药大学,别看榜了快写题,1,266,,,,Honorable,N,N,,-3,,-1,,,,,,,+5(186),,
637,,华北理工大学,追光者,1,266,,,,Honorable,N,N,,,,+4(206),,-2,,,,,-11,,
638,,湖南中医药大学,沉迷于乃万,1,276,,,,Honorable,N,N,,,,,-2,,,,,,+9(116),,
639,277,湖南大学,看看JK,1,276,,,,Honorable,N,N,,-3,,-4,,-18,,,,,+2(256),,
640,,湖南师范大学,编译与魔法,1,280,,,,Honorable,N,N,,,,,,-22,,,,,+5(200),,
641,,山东工商学院,欸嘿是什么意思啊,1,284,,,,Honorable,N,N,,-1,,-7,,,,,,,+10(104),,
642,,南京邮电大学,樱花庄的AC男孩,1,288,,,,Honorable,N,N,-1,,,,,-3,,,,,+5(208),,
643,,安阳工学院,稳重,1,295,,,,Honorable,N,N,,,,,,,,,,,+4(235),,
644,278,长江师范学院,想不出啥名,1,295,,,,Honorable,N,N,,,,,,,,-1,-1,,+7(175),,
645,,东北大学,东北大学_没人比我更懂评测机,1,296,,,,Honorable,N,N,,,,-2,,,,,,,+5(216),,
646,279,浙江工商大学,且共从容,1,298,,,,Honorable,N,N,,,,,,,,,,,+11(98),,
