Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
209,东南大学,蒟蒻/72/B52,4,417,+1(35),-2,+1(249),-,-,-3,-,-,-,-,+1(75),-5,+2(38)
210,东北大学,防脱偏方交流/56/C73,4,418,+2(42),-1,+1(205),-,-,-,-,-1,-,-,+2(103),-,+1(28)
211,中国石油大学（北京）,罚吹流下了悔恨的泪水/313/E85,4,419,+2(32),-2,-,-,-,-,-,-,-,+3(217),+1(81),-,+1(29)
212,重庆大学,螺旋上天/45/A52,4,432,+2(25),-7,+1(233),-,-,-,-,-,-,-5,+1(66),-5,+3(48)
213,香港大学,Too young to AC/256/D103,4,436,+2(93),+3(204),-2,-,-,-,-,-,-,-,+1(59),-2,+1(20)
214,浙江大学宁波理工学院,油里多里米多里poi/271/A85,4,439,+2(54),-6,+2(202),-,-,-,-,-,-,-2,+2(99),-1,+1(24)
215,集美大学,我亲自送她上的飞机/146/B103,4,444,+3(120),-2,+1(173),-,-,-,-,-,-,-,+1(80),-9,+1(31)
215,华中农业大学,代达罗斯之辣/140/C102,4,444,+1(74),-,-,-,-,-,-,-,-,-7,+1(112),+1(231),+1(27)
217,浙江师范大学,Alice 和 Bob 玩游戏/285/A16,4,447,+2(43),-,+1(266),-,-,-,-,-,-,-4,+1(90),-,+1(28)
217,国防科技大学,ALPC_达摩克利斯之剑/91/D35,4,447,+1(15),-,+2(273),-,-,-,-,-,-,-2,+2(93),-2,+1(26)
219,南阳理工学院,楼下你不要再A了/179/B63,4,450,+2(38),-,+1(233),-,-,-,-,-,-,-2,+1(115),-,+1(44)
220,浙江大学城市学院,cccavalier/267/C91,4,454,+2(36),-4,-,-,-,-,-,-,-,+2(229),+1(101),-,+1(48)
221,河海大学,三文鱼(女队)/110/A104,4,455,+3(90),-2,+1(164),-,-,-1,-,-,-,-,+1(116),-,+1(45)
221,福建师范大学,听说Flag巨巨要在上海请客/76/A24,4,455,+2(24),-2,-,-,-,-,-,-,-,-1,+1(82),+4(235),+1(34)
223,西北大学,AC+K/243/C22,4,494,+3(53),+2(202),-,-,-,-,-,-,-,-14,+2(116),-,+1(43)
224,北京科技大学,非常迪斯科/18/A56,4,499,+1(15),+8(243),-,-,-,-,-,-,-,-3,+1(76),-1,+1(25)
225,中国人民大学,煎薄饼/308/C41,4,508,+2(21),-1,+3(233),-,-,-,-,-1,-,-8,+3(122),-,+1(32)
226,南京航空航天大学,刷牙队/162/A45,4,520,+2(17),-,+8(181),-,-,-1,-,-8,-,-4,+2(92),-,+2(30)
227,中国地质大学（北京）,虚怀若愚/293/E63,4,521,+5(77),+2(252),-1,-,-,-,-,-,-,-9,+1(73),-,+1(19)
228,南开大学,大河蟹/178/E24,4,523,+3(31),+1(271),-1,-,-,-4,-,-,-,-,+3(114),-,+1(27)
