Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J
67,湖州师范学院,hutc_team,3,383,+1(50),-10,-,+3(169),-,-,-,-,+2(104),-
68,中国人民大学,Who Are Now Strong,3,399,+2(30),+5(107),-,+1(162),-,-,-,-,-,-
69,西安邮电大学,I love candy,3,419,+1(46),-12,-,+2(200),-,-,-,-,+3(113),-
70,东北大学,NEU_oyuononndekudasai,3,440,+1(21),-11,-,+4(188),-,-,-,-,+1(171),-
71,南阳理工学院,Help me cover it,3,464,+1(21),+5(287),-,-,-,-,-,-,+1(76),-
72,北京理工大学,wellplayed,3,472,+1(37),+2(126),-,-1,-,-,-,-,+2(269),-
73,浙江师范大学,i am killer,3,479,+1(34),+3(214),-,+5(111),-,-,-,-,-,-
74,北京化工大学,just this name,3,489,+1(43),-5,-,+6(204),-,-,-,-,+3(102),-
75,浙江师范大学,Nanjing Beijing ac king skr skr,3,495,+2(26),+1(150),-,-,-,-,-,-,+2(279),-
76,电子科技大学,My_all,3,527,+1(26),-9,-,+3(217),-,-,-,-1,+4(184),-
77,青岛科技大学,Lets see,3,533,+3(35),-6,-,+3(216),-,-,-,-,+3(162),-
78,山东财经大学,autoAKman.js,3,537,+2(81),-7,-,+3(157),-,-,-,-,+3(199),-
79,浙江理工大学,Avocado and beef noodles,3,551,+2(28),-9,-,+2(195),-,-,-,-,+4(228),-
80,厦门大学,ZYZ,3,554,+1(40),-8,-,+4(143),-,-,-,-,+3(271),-
81,厦门理工学院,AHAHAH～,3,568,+1(28),+1(266),-,+3(234),-,-,-,-,-4,-
82,华中科技大学,Purely WA Hell,3,580,+1(25),+6(262),-,+1(193),-,-,-,-,-,-
83,郑州大学,Beijing duck Nanjing duck never be the same duck,3,597,+1(30),-1,-,+2(274),-,-,-,-,+2(253),-
84,上海科技大学,Two_Pigeon,3,605,+2(75),-2,-,+1(191),-,-,-,-,+2(299),-
85,南方科技大学,SUSTech_Liverpool,3,622,+2(19),+3(190),-,+4(293),-,-,-,-,-,-
86,北京工业大学,AKable but not necessary,3,625,+1(50),+6(251),-,+3(184),-,-,-,-,-11,-
87,福建师范大学,three friends,3,630,+2(40),+6(258),-,+2(192),-,-,-,-,-1,-
88,南京航空航天大学,Naming is difficult,3,661,+4(47),-8,-,+2(253),-,-,-,-,+1(281),-
89,浙江万里学院,Excalibur,3,678,+4(70),-4,-,+8(297),-,-,-,-,+1(111),-
90,浙江财经大学,DuckLikeClavicle,3,759,+1(13),+6(274),-,+5(292),-,-,-,-,-,-
91,华北电力大学,Little brother feels bad,3,768,+1(47),+6(287),-,-,-,-,-,-,+4(274),-
92,哈尔滨工业大学（深圳）,ThreeRhizomys,3,865,+2(20),+9(299),-,+5(286),-,-,-,-,-10,-
93,广东工业大学,Magic Conch,2,122,+1(23),-7,-,+1(99),-,-,-,-,-,-
94,青岛大学,Local OK is OK,2,149,+1(29),-5,-,-5,-,-,-,-,+1(120),-
95,杭州师范大学,eat watermelon?,2,150,+1(29),-16,-,-4,-,-,-,-,+1(121),-
96,浙江理工大学,Zheng love Qiang,2,162,+1(38),-5,-,-10,-,-,-,-,+1(124),-
97,湖南科技大学,Galaxy,2,178,+1(40),-4,-,+2(118),-,-,-,-,-2,-
98,湖南大学,apprivoiser,2,189,+1(24),-3,-,+1(165),-,-,-,-,-5,-
99,鲁东大学,Dream catcher,2,222,+2(53),-3,-,+1(149),-,-,-,-,-,-
100,西南民族大学,Lucky！,2,226,+1(39),-4,-,+2(167),-,-,-,-,-3,-
101,台州学院,Brain pain,2,233,+1(56),-,-,+1(177),-,-,-,-,-,-
102,北京林业大学,Last battle,2,234,+1(48),-,-,+1(186),-,-,-,-,-4,-
103,西安理工大学,Slow Star,2,236,+2(25),-10,-,+3(151),-,-,-,-,-2,-
104,哈尔滨理工大学,名字还没想好,2,246,+2(20),-8,-,-2,-,-,-,-,+3(166),-
105,中国石油大学（华东）,Fun Journey Of Coding,2,250,+1(54),-7,-,-,-,-,-,-,+4(136),-
106,西南科技大学,let's climb the mogan mountains together,2,252,+2(34),-5,-,+1(198),-,-,-,-,-,-
107,浙江财经大学,magic is ac,2,263,+2(71),-2,-,-2,-,-,-,-,+2(152),-
107,国防科技大学,DOOWOO,2,263,+1(41),-8,-1,+1(222),-,-,-,-,-2,-
109,西北大学,(.*?)carryff,2,264,+2(33),-3,-,+3(171),-,-,-,-,-5,-
110,中国石油大学（华东）,good good study,2,284,+1(80),-3,-,-1,-,-,-,-,+2(184),-
111,北京航空航天大学,Away_From_Obesity,2,288,+2(51),-3,-,-1,-,-,-,-,+2(197),-
112,北京邮电大学,Look back and flash a smile,2,291,+3(139),-1,-,-1,-,-,-,-,+1(112),-
112,中国石油大学（北京）,Oil Rolling,2,291,+1(50),+5(161),-,-2,-,-,-,-,-4,-
114,中国地质大学（北京）,sleep_and_dream,2,294,+3(94),-14,-,-1,-,-,-,-,+1(160),-
115,山东理工大学,AC boom,2,297,+1(37),-7,-,+3(220),-,-,-,-,-1,-
116,天津工业大学,Come out to see gods,2,300,+1(33),-,-,-,-,-,-,-,+1(267),-
117,天津大学,TJU_jth,2,309,+2(27),+3(222),-,-10,-,-,-,-,-5,-
118,重庆大学,Rambler,2,314,+1(42),+2(252),-,-8,-,-,-,-,-,-1
119,西南交通大学,Bkn New Balance,2,329,+1(40),-4,-,+2(269),-,-,-,-,-3,-
120,西南科技大学,The inverse Laplace transform,2,340,+1(43),-,-,-7,-,-,-,-,+5(217),-
121,中北大学,No Response,2,343,+1(58),-,-,-3,-,-,-,-,+3(245),-
122,东北师范大学,Five colors team,2,346,+2(38),-,-,-3,-,-,-,-,+1(288),-
123,西北工业大学,NPU_QwQ,2,347,+3(61),-7,-,+1(246),-,-,-,-,-,-
124,武汉大学,Knuth-Morris-Pratt,2,348,+1(44),-6,-,+2(284),-,-,-,-,-3,-
125,宁波工程学院,NBUT Never Giveup,2,356,+3(94),-5,-,+3(182),-,-,-,-,-1,-
126,华南理工大学,distortion,2,366,+4(64),-13,-,-4,-,-,-,-,+3(202),-
127,北京师范大学,TripleLemon,2,375,+1(51),-,-,-,-,-,-,-,+6(224),-
128,中国人民大学,PSG.LGD,2,382,+4(82),-,-,-5,-,-,-,-,+1(240),-
129,南京理工大学,Lame_Bird,2,388,+4(54),-2,-,-,-,-,-,-,+5(194),-
130,北京邮电大学,Team Trinity,2,391,+5(56),+3(215),-,-4,-,-,-,-,-,-
131,湘潭大学,XTU_fire my money,2,397,+2(67),-,-,+4(250),-,-,-,-,-,-
132,贵州大学,OTATO,2,401,+1(50),-2,-,-,-,-,-,-,+4(291),-
133,北京师范大学珠海分校,SO COLD(*>﹏<；*),2,417,+2(30),-,-,-6,-,-,-,-,+6(267),-
134,江西财经大学,Only a repeater can defeat a repeater.,2,430,+2(79),-6,-,-,-,-,-,-,+3(291),-
135,兰州大学,shenmedoubuhui,2,433,+2(88),-2,-,+3(285),-,-,-,-,-,-
136,大连理工大学,Rainbow,2,436,+1(40),+7(276),-,-5,-,-,-2,-,-,-
137,长安大学,For the Reimbursement,2,439,+2(174),-,-,-1,-,-,-,-,+3(205),-
138,山东大学,JustWannaFly,2,486,+2(26),+11(240),-,-5,-,-,-,-,-,-
139,东北大学,NEU_Drink Java,2,497,+3(150),-,-,+3(267),-,-,-,-,-,-1
140,北京农学院,yinhyingying,2,504,+1(82),-,-1,-2,-,-,-,-,+8(282),-
141,国防科技大学,SCP004,2,588,+8(274),-,-,-,-,-,-,-,+1(174),-
142,南京林业大学,long may the sunshine,1,22,+1(22),-5,-,-2,-,-,-,-,-6,-
143,天津大学,TJU_Tjudger,1,31,+1(31),-4,-,-2,-,-,-,-,-,-
144,济南大学,hey mark,1,34,+1(34),-8,-,-1,-,-,-,-,-,-
145,浙江中医药大学,ZCMU-PK2,1,36,+1(36),-,-,-2,-,-,-,-,-2,-
146,华东交通大学,First handsome in the universe,1,40,+1(40),-,-,-,-,-,-,-,-3,-
147,北京交通大学,Counter Strike,1,43,+2(23),-8,-,-7,-,-,-,-,-4,-
148,南开大学,Normally WA,1,47,+1(47),-7,-,-1,-,-,-,-,-,-
149,福建农林大学,coffee,1,49,+1(49),-,-,-8,-,-,-,-,-,-
149,河海大学,Gun Driver Mirror Driver Gun,1,49,+2(29),-2,-,-2,-,-,-,-,-,-
151,湖北工业大学,Source dream,1,58,+1(58),-,-,-4,-,-,-,-,-2,-
152,中国农业大学,cauacm,1,63,+1(63),-12,-,-5,-,-,-,-,-1,-
153,南京航空航天大学,AC on the way,1,64,+1(64),-9,-,-,-,-,-,-,-,-
154,合肥工业大学,fighting duck,1,72,+1(72),-,-,-1,-,-,-,-,-,-
155,江西中医药大学,goBJ,1,76,+1(76),-8,-,-,-,-,-,-,-2,-
156,华南农业大学,SCAU_0xCCCC,1,79,+2(59),-6,-,-,-,-,-,-,-1,-
157,香港大学,BorderlineAC,1,81,+1(81),-6,-,-,-,-,-,-,-2,-
158,闽江学院,MJU,1,86,+2(66),-,-,-1,-,-,-,-,-,-
158,中国传媒大学,Blacksmith,1,86,+1(86),-,-1,-,-,-,-,-,-,-
160,华南理工大学,Orz,1,88,+2(68),-5,-,-3,-,-,-,-,-4,-
161,北华大学,HeBanNiTeFuDiYiQiGongKeNanGuan,1,97,+2(77),-,-,-2,-,-,-,-,-,-
162,中国传媒大学,Cyborg_Lab,1,106,+2(86),-,-,-2,-,-1,-,-,-,-
163,安徽大学,soul codenutter,1,110,+3(70),-7,-,-,-,-,-,-,-1,-
164,华中科技大学,Ice Cream,1,140,+3(100),-,-,-3,-,-,-,-,-,-
165,浙江农林大学,HELLO WORLD GIRL！,1,144,+2(124),-1,-,-7,-,-,-,-,-,-
166,中国矿业大学,WALL.E,1,168,+3(128),-2,-,-,-,-,-,-,-1,-
167,兰州交通大学,Graywolf01,1,170,+2(150),-,-,-1,-,-,-,-,-17,-
168,山东大学,SDU_Moreparsley,1,171,+5(91),-16,-,-,-,-,-,-,-3,-
169,河南大学,NULL,1,174,+1(174),-,-,-,-,-,-,-,-2,-
170,河北师范大学,STAR,1,183,+3(143),-,-,-5,-,-,-,-,-,-
171,中国矿业大学（北京）,neither gold medal nor gold mine,1,213,+3(173),-1,-,-,-,-,-,-,-,-
172,南京邮电大学,NJUPT_DelicateStrongGirls,1,217,+3(177),-,-,-,-,-,-,-,-,-
173,上海大学,WRSNDM,1,225,-10,-2,-,+3(185),-,-,-,-,-,-
174,大连海事大学,DLMU-15,1,271,+6(171),-,-,-2,-,-,-,-,-1,-
175,中共中央办公厅电子科技学院,OR1=1,1,280,+3(240),-,-,-,-,-,-,-,-1,-
176,天津科技大学,immovable,1,289,+11(89),-11,-,-,-,-,-,-,-,-
177,武汉科技大学,GBK_UTF-8,1,321,+4(261),-,-,-,-,-,-,-,-,-
178,陕西师范大学,Wolf Warriors 3,1,353,+5(273),-,-1,-,-,-,-,-,-,-
