Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
47,30,厦门大学,随机增量,6,739,-,+1(141),-,-,-,+3(165),+1(9),-,+6(216),+1(46),-,+1(22),-,53%,Silver,杨晟明,戴思杰,季裕杰,N,N
48,,北京航空航天大学,我队友得了MVP！,6,762,-,+5(281),-,-,-,+1(130),+1(10),-,+1(90),+1(76),-,+3(55),-,50%,Silver,廖俊麟,徐浩然,肖迪睿,N,N
49,,北京航空航天大学,你是永远的猫猫虫,6,765,-,-8,-,-,-,+1(159),+1(9),-,+3(182),+1(57),-,+3(58),+1(220),40%,Silver,华晓飞,孙一弘,沈培森,N,N
50,,南京大学,随家仓,6,789,-,-,-,-,-,+1(146),+1(7),-,+1(104),+4(137),-,+1(23),+4(252),50%,Silver,樊书岩,邓淇,李承泽,N,N
51,,北京大学,仨人成行,6,792,-,+7(289),-,-,-,+5(85),+1(8),-,+1(76),+2(70),-,+1(44),-3,64%,Silver,宋来恒,刘鹏飞,王冠尧,N,N
52,31,西安电子科技大学,什么都不会也能参加ACM吗,6,797,-,+3(227),-,-,-,+1(146),+1(8),-,+4(146),+2(86),-,+2(44),-1,53%,Silver,吴晨,汤修齐,潘振,N,N
53,32,广州大学,西哈诺,6,798,-,-,-,-,-,+3(251),+1(7),-,+1(60),+1(96),-,+1(23),+3(281),40%,Silver,陈全隆,潘胜云,郑灵杰,N,N
54,33,哈尔滨工业大学,你有一块真正的金牌吗,6,829,-,+4(265),-1,-,-,+1(92),+1(9),-,+3(232),+2(83),-,+1(28),-1,50%,Silver,郭昕旸,邱思宇,陈泺嘉,N,N
55,34,南京邮电大学,不想打西安站,6,837,-,-2,-,-,-,+3(158),+1(7),-,+1(77),+1(213),-,+1(52),+2(270),33%,Silver,胡乐安,崔晨曦,赵聿祺,N,N
56,35,北京交通大学,请输入文本,6,842,-2,-,+4(251),-,-,+1(108),+1(14),-,+1(176),+5(73),-,+1(80),-,53%,Silver,张宸宇,江子俊,王俊宜,N,N
57,36,武汉大学,摇曳到软冬去露营,6,862,-1,+10(289),-1,-1,-1,+1(143),+1(10),-1,+1(74),+1(116),-,+2(30),-1,62%,Silver,崔祯航,范锦炜,林喆霖,N,N
58,37,重庆邮电大学,蓝桥杯汪之队,6,917,-1,+5(288),-1,-1,-1,+1(195),+2(7),-1,+2(144),+1(113),-1,+2(30),-1,53%,Silver,赵俊超,汪涛,吴志煜,N,N
59,,北京理工大学,过了样例也不队,6,960,-,+1(287),-,-,-,+6(258),+2(14),-,+1(112),+1(88),-,+2(61),-,53%,Silver,王舒晗,邬宇炼,何大鹏,N,N
60,,西安电子科技大学,喵亦或鱼,6,997,-,+1(296),-,-,-,+2(179),+2(13),-,+1(221),+2(132),-,+2(76),-,40%,Silver,冯子诚,文童宇,谢睿杰,N,N
61,38,北京工业大学,铁牌也是牌,6,1083,-,+4(254),-,-,-,+2(67),+1(13),-,+10(282),+1(85),-,+4(62),-1,72%,Silver,李俊良,江云天,冯际鸣,N,N
62,39,电子科技大学,UESTC_EndlessEmbrace,6,1110,-,+3(262),-,-,-,+3(267),+1(10),-,+5(197),+2(124),-,+1(70),-,60%,Silver,王彬丞,王鹏,余天羽,N,N
63,40,北京信息科技大学,狗全坏大战张抽，你们知道吗,5,346,-,-,-5,-,-,+1(69),+1(4),-,+1(119),+2(37),-,+2(77),-,28%,Silver,方梓谦,房承烨,朱默涵,N,N
64,,中山大学,队,5,367,-,-3,-,-,-,+1(84),+1(4),-,+2(154),+1(56),-,+2(29),-,28%,Silver,吴振熙,万耀文,谭栋泽,N,N
65,41,杭州师范大学,彻月渡清波,5,402,-,-60,-,-,-,+1(123),+1(6),-,+2(77),+2(100),-,+2(36),-,37%,Silver,黄焰,吴睿萱,王昊琛,N,N
66,,华南理工大学,打xcpc不喊我,5,416,-,-1,-,-,-,+1(85),+1(5),-,+2(155),+2(72),-,+1(59),-3,28%,Silver,吕浩天,徐睿,梁立州,N,N
67,,电子科技大学,UESTC_封榜后北伐,5,419,-,-2,-2,-,-,+2(140),+1(6),-,+1(137),+1(66),-,+2(30),-,28%,Silver,黄雪锋,晋睿博,丁柏宇,N,N
68,42,南京航空航天大学,哈睦,5,419,-,-3,-,-,-,+1(117),+1(7),-,+1(155),+1(78),-,+2(42),-,16%,Silver,吕海亮,黄子源,胡弘泰,N,N
69,43,长春理工大学,两人爬塔一人匡扶汉室,5,426,-,-3,-,-,-,+1(75),+1(14),-,+3(174),+1(93),-,+1(30),-,28%,Silver,黄炳睿,周易非,唐海原,N,N
70,,华中科技大学,棍十六,5,494,-,-6,-,-,-,+1(155),+1(6),-,+1(94),+3(80),-,+3(79),-,44%,Silver,王子石,郭梓洋,刘嘉恒,N,N
71,,北京邮电大学,邮男之旅,5,509,-,-2,-,-,-,+1(110),+1(6),-,+4(207),+1(86),-,+1(40),-2,37%,Silver,蔡禹煊,冯仁宇,王昰妍,N,N
72,44,西华大学,三只蒟蒻牛,5,516,-,-,-,-,-,+2(207),+1(9),-,+1(118),+1(87),-,+2(55),-1,28%,Silver,黄卓盈,肖代阳,吴岚轩,N,N
73,45,长江大学,长夜未央,5,522,-,-13,-,-,-,+1(196),+1(9),-,+1(138),+1(123),-,+1(56),-,0%,Silver,陈迪路,唐祎敏,郑建斌,N,N
74,46,河南理工大学,春蝉秋鸣泣之时,5,524,-,-,-,-,-,+1(149),+2(13),-,+1(199),+1(95),-,+1(48),-,16%,Silver,李梦洋,马俊超,熊佳乐,N,N
75,47,华东师范大学,至此，一锤定音,5,532,-,-,-,-,-,+2(131),+1(6),-,+1(183),+1(144),-,+1(48),-,16%,Silver,冯嘉一,冯顾炜,许乐,N,N
76,,浙江工业大学,彗星猫猫,5,539,-,-4,-,-,-,+3(186),+1(11),-,+1(73),+2(113),-,+3(56),-,50%,Silver,蔡柏航,雷昊喆,王池康,N,N
77,,武汉大学,菠萝催学,5,552,-,-,-,-,-,+1(121),+1(9),-,+3(269),+1(68),-,+1(45),-,28%,Silver,张明宇,扶阳,黄欣岚,N,N
78,,中国科学技术大学,Straight into the AC,5,554,-1,-1,-1,-,-,+2(230),+1(7),-,+1(82),+2(140),-,+1(55),-,28%,Silver,栾峻岩,陈天添,娄彦轩,N,N
79,48,北京科技大学,顽强报名奖,5,557,-,-,-,-,-,+1(212),+1(12),-,+1(156),+1(135),-,+1(42),-1,0%,Silver,潘涵,姜皓凯,董瑞洋,N,N
80,,中国科学技术大学,一零零一,5,573,-,-,-,-,-,+1(169),+1(12),-,+1(187),+2(122),-,+2(43),-3,28%,Silver,赵宋樾,孙一睿,吴雨桐,N,N
81,,南京邮电大学,Transformer,5,583,-,-,-,-,-,+1(144),+1(6),-,+3(230),+1(131),-,+1(32),-,28%,Silver,卫鸿飞,刘君涵,贲振豪,N,N
82,49,武汉理工大学,必须捍卫的名额,5,585,-,-,-,-,-,+1(236),+1(11),-,+1(151),+1(136),-,+1(51),-,0%,Silver,胡书诚,王浩丞,王雨辰,N,N
83,50,大连理工大学,逆元,5,588,-,-,-,-,-,+1(116),+1(6),-,+3(279),+1(78),-,+2(49),-,37%,Silver,连茗暄,刘博文,刘兆洲,N,N
84,51,南京信息工程大学,冰红茶说的都队,5,590,-,-,-,-,-,+1(155),+1(8),-,+2(272),+1(87),-,+1(48),-,16%,Silver,俞卓群,赵彬宏,田轹文,N,N
85,,杭州电子科技大学,杭电9队,5,598,-,-6,-,-,-,+5(182),+1(8),-,+2(161),+1(118),-,+1(29),-,50%,Silver,黄泽彬,金品曦,吴晨涛,N,N
86,52,大连海事大学,重生之我是秦始皇在逃兵马俑,5,601,-,-,-,-,-,+1(184),+1(7),-,+4(77),+2(148),-,+2(85),-2,50%,Silver,王金洋,张文豪,何文韬,N,N
87,53,山东理工大学,千万伏特,5,603,-,-,-,-,-,+1(144),+1(10),-,-3,+1(89),-,+1(44),+2(296),16%,Silver,李彦硕,姚翰洋,马新皓,N,N
88,,吉林大学,栈深不知处,5,604,-,-3,-,-,-,+2(180),+1(5),-,+1(219),+1(119),-,+2(41),-,28%,Silver,石津豪,王星皓,毛胜超,N,N
89,54,重庆大学,三模哈希米,5,609,-,-6,-,-,-,+1(125),+1(6),-,+5(198),+1(60),-,+3(100),-,54%,Silver,胡远卓,周骁坤,杨展途,N,N
90,55,成都信息工程大学,GLaUNIX,5,619,-,-,-,-,-,+1(237),+1(7),-,+1(183),+1(111),-,+2(61),-,16%,Silver,常旭海,陈礼烨,吴沂谦,N,N
91,56,深圳技术大学,SZTU_水银之毒,5,620,-,-,-,-,-,+1(154),+1(5),-,+4(261),+1(95),-,+1(45),-,37%,Silver,林坚炜,刘俊豪,蔡泽垲,N,N
92,57,山东科技大学,柏林号,5,624,-,-2,-,-,-,+2(211),+1(10),-,+2(150),+1(95),-,+3(78),-,44%,Silver,岳立冬,张一炜,徐熙睿,N,N
93,58,西安交通大学,这是一个ACM队,5,631,-,-8,-,-,-,+2(92),+1(9),-,+4(200),+1(124),-,+4(66),-,58%,Silver,张未艾,陈骏翔,王奕尧,N,N
