Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
133,Northwestern Polytechnical University,黄沙百战穿金甲 (NPU_QwQ),4,627,-,-,-,+1(14),-,+5(246),-,-,+1(193),-,-,+1(94)
134,"China University of Petroleum, Beijing",我为祖国献石油 (Fumino is number one),4,629,-,-,-5,+1(11),-,+1(172),-,-,+3(288),-,-,+3(78)
135,Xidian University,时光飞逝 (Time is fast),4,644,-,-,-2,+1(9),-,+4(179),-,-,+2(263),-,-,+2(93)
136,Information Engineering College of Hangzhou Dianzi University,湖畔青年 (HZIEE_New),4,645,-,-,-,+1(10),-,+5(293),-,-,+1(211),-,-,+1(51)
137,Northwestern Polytechnical University,松树上是松鼠 (NPU_ssssss),4,656,-,-,-,+1(12),-,+1(193),-,-,+7(249),-,-,+3(42)
138,Tsinghua University,观光团 (sightseeing),4,662,-1,-,-6,+1(18),-,+7(282),-,-,+2(193),-,-,+1(29)
139,Shanghai University,心动网络-匠心队 (X.D.Network-Ingenuity),4,664,-,-,-1,+1(9),-,+3(201),-,-,+3(261),-,-,+3(73)
140,Southern University of Science and Technology,南方科技大学_伦敦 (SUSTech_London),4,668,-,-,-,+1(5),-,+8(229),-,-,+1(261),-,-,+1(33)
141,Zhejiang A & F University,卖竹鼠三元一只十元三只 (buy one get two),4,675,-,-,-4,+1(21),-,+5(221),-,-,+2(199),-,-,+5(54)
142,Tongji University,我想到一个绝妙的队名，可惜这里空白太小写不下 (SHX),4,676,-,-,-,+1(11),-,+6(193),-,-,+3(247),-,-,+2(65)
143,Xidian University,火辣鸡不会include (include),4,686,-2,-,-3,+1(11),-,+3(117),-,-,+2(215),-,-,+7(163)
144,Changsha University,正能量的搬运工 (The positive energy Porter),4,714,-,-,-,+2(11),-,+1(95),-,-,+1(253),-,-,+9(175)
145,Ocean University of China,微阳 (Sunrise),4,756,-,-,-,+1(11),-,+12(229),-,-,+1(257),-,-,+1(39)
146,Nanjing University of Posts and Telecommunications,从零开始 (NJUPT_Re:0),4,773,-,-,-9,+1(10),-,+8(260),-,-,+2(283),-,-,+2(40)
147,Hohai University,铁匠铺 (we don't AC anymore),4,796,-,-,-,+1(17),-,+3(225),-,-,+1(298),-,-,+4(156)
148,Northwest A&F University,迭代器 (Iterator),4,807,-,-,-,+1(12),-,+4(175),-,-,+7(284),-,-,+4(96)
149,Northwestern Polytechnical University,我觉得要全部重构一下 (Rewrite the world),4,814,-,-,-,+1(16),-,+4(238),-,-,+2(269),-,-,+4(151)
150,Xi'an Jiaotong University,打铁就女装 (iron_equals_girl_dress),4,909,-,-,-,+1(8),-,+12(285),-,-,+1(205),-,-,+5(111)
151,Renmin University of China,只有聪明的人才能看见我们的名字 (only people who are clever enough can see our name?),4,965,-,-,-,+1(21),-,+5(288),-,-,+1(281),-,-,+3(255)
152,Shandong University of Science and Technology,光明号 (SKD62497 Akira),4,1029,-,-,-,+3(121),-,+4(299),-,-,+3(290),-,-,+2(159)
153,Nanjing University,无响应 (No Response),4,1311,-,-,-,+1(10),-,+3(145),-,-,+38(285),-,-,+3(51)
154,Xidian University,数一说的 (whatever mathlover says is),3,118,-,-,-,+1(10),-,-4,-,-,+1(63),-,-,+1(45)
155,Hohai University,猪肘子我正在煮 (zzzwzzz),3,153,-1,-,-,+1(11),-,+1(87),-,-,-10,-,-,+1(55)
156,Fuzhou University,红高粱 (RedSorghum),3,165,-,-,-5,+1(15),-,+1(84),-,-,-2,-,-,+1(66)
157,Harbin Engineering University,米库米库 (mikumiku),3,168,-,-,-,+1(7),-,+1(84),-,-,-4,-,-,+2(57)
158,Northeastern University at Qinhuangdao,我RE，我快乐 (happy_with_RE),3,181,-,-,-,+1(8),-,+1(130),-,-,-26,-,-,+1(43)
159,Harbin Engineering University,马上就要被楼下超过了 (O0O0O0O0O0O0),3,197,-,-,-,+1(15),-,+1(131),-,-,-5,-,-,+1(51)
160,Zhejiang Normal University,我们不是恶魔 (we are not devil),3,201,-,-,-,+1(9),-,+3(83),-,-,-6,-,-,+2(49)
161,Zhejiang University of Finance and Economics,天光 (ray),3,210,-,-,-,+1(8),-,+1(110),-,-,-5,-,-,+3(52)
161,East China Jiaotong University,Everest (Everest),3,210,-,-,-,+1(13),-,+1(123),-,-,-3,-,-,+2(54)
163,Hunan University,岳麓幻想物语 (Yuelu Fancy),3,224,-,-,-,+1(17),-,+3(92),-,-,-5,-,-,+2(55)
164,Fujian University of Technology,大哥哥我很好 (no response),3,227,-,-,-,+1(14),-,+1(125),-,-,-8,-,-,+2(68)
165,Communication University of China,模板搬运工 (Template Porters),3,228,-,-,-,+1(8),-,+2(162),-,-,-4,-,-,+1(38)
166,China University of Mining and Technology,嘟嘟噜 (Steins Gates),3,230,-,-,-,+1(9),-,+3(86),-,-,-1,-,-,+2(75)
166,Southern University of Science and Technology,南方科技大学_剑桥 (SUSTech_Cambridge),3,230,-,-,-,+1(11),-,+1(133),-2,-,-10,-,-,+1(86)
168,Tianjin University,TJU_人间不值得 (TJU_The_world_is_not_worth_it),3,231,-,-,-,+1(10),-,+3(97),-,-,-1,-,-,+2(64)
169,Shaanxi Normal University,地三鲜——土豆洋芋马铃薯 (Tomato Or Potato),3,232,-,-,-,+1(12),-,+1(132),-,-,-6,-,-,+2(68)
170,China University of Mining and Technology,my home is in mine (my home is in mine),3,239,-,-,-9,+1(8),-,+3(99),-,-,-1,-,-,+3(52)
171,Henan Polytechnic University,The Last Supper (The Last Supper),3,241,-,-,-,+1(12),-,+1(109),-,-,-12,-,-,+2(100)
172,Wenzhou University,贝塔队 (WZU Beta),3,242,-,-,-,+1(14),-,+3(124),-,-,-2,-,-,+1(64)
172,Nanjing Tech University,起于结束，终于开始 (Lying On the Keyboard),3,242,-,-,-,+1(8),-,+1(77),-,-,-6,-,-,+3(117)
172,University of Shanghai for Science and Technology,Mr Zhou想吃红烧肉 (Autistic automation machine),3,242,-,-,-,+1(17),-,+4(124),-,-,-4,-,-,+1(41)
175,Hunan University of Technology,疾风不打铁队 (The blast does not hit the iron team),3,252,-,-,-,+1(10),-,+3(129),-,-,-9,-,-,+2(53)
176,Ludong University,星星之火 (Sparks of fire),3,254,-1,-1,-,+1(16),-,+2(132),-,-,-2,-1,-,+2(66)
177,"Ningbo Institute of Technology, ZJU",宁静致远 (ningjingzhiyuan),3,262,-,-,-,+1(15),-,+3(155),-,-,-21,-,-,+1(52)
178,East China University of Science and Technology,黑水舰队 (blackwater team),3,264,-,-,-6,+1(12),-,+3(121),-,-,-6,-,-,+3(51)
179,Qingdao University,脱氧核糖核酸 (DNA),3,265,-,-,-,+1(9),-,+2(129),-,-,-4,-,-,+3(67)
180,Northwest University,dqs看我飞 (Dqs Ob FF Rush NE),3,276,-,-,-1,+1(8),-,+3(132),-,-,-5,-,-,+3(56)
180,North China Electric Power University,难受啊，小老弟 (konnyaku has a little dream),3,276,-,-,-,+1(12),-,+4(135),-,-,-2,-,-,+2(49)
182,Guangdong University of Technology,一切都是命运石之门的选择 (Grooming),3,277,-,-,-,+1(11),-,+1(155),-,-,-4,-,-,+3(71)
183,JiangNan University,紫米面包 (Zimi),3,279,-,-,-,+1(11),-,+4(118),-,-,-,-,-,+2(70)
183,Northeastern University at Qinhuangdao,万一过了呢？ (return wa;),3,279,-,-,-,+1(11),-,+1(181),-,-,-,-,-,+2(67)
185,Beijing University of Chemical Technology,** (**),3,280,-,-,-2,+1(8),-,+5(112),-,-,-17,-,-,+3(40)
186,Dalian University of Technology,害羞幽灵 (ShameGhost),3,281,-,-,-4,+2(20),-,+2(156),-,-,-48,-,-,+2(45)
187,Changzhou University,教练去哪儿 (Triple Killed),3,285,-,-,-,+1(14),-,+1(163),-,-,-2,-,-,+2(88)
188,Zhejiang University of Technology,ZJUT4 (zjut4),3,286,-,-,-,+1(12),-,+1(157),-,-,-,-,-,+4(57)
188,Shandong University at Weihai,这场我躺定了 (JZHnb!),3,286,-,-,-,+1(11),-,+3(181),-,-,-2,-,-,+1(54)
190,Hangzhou Normal University,diu (diu),3,287,-,-,-,+1(10),-,+2(126),-,-,-7,-,-,+4(71)
191,Changsha University of Science and Technology,四斋蒸鹅心 (Otaku ha kimoi),3,290,-,-,-,+1(7),-,-22,-,-,+1(179),-,-,+3(64)
192,Ocean University of China,鲸落 (Whale Fall),3,296,-,-,-,+1(8),-,+1(194),-,-,-,-,-,+1(94)
193,Chang'an University,米瑞特之阻碍 (qqwrwwv),3,297,-,-,-,+1(13),-,+3(175),-,-,-2,-,-,+2(49)
194,Nanjing University of Posts and Telecommunications,破碎榴莲 (NJUPT-We_are_not_freshmen_any_more),3,302,-,-,-,+1(10),-,+1(124),-,-,-1,-,-,+3(128)
195,Wuhan University of Science and Technology,WUST_Acmer (WUST_Acmer),3,306,-,-,-,+1(15),-,-1,-,-,+1(169),-,-,+2(102)
196,SouthWest Minzu University,Siry，准备好了吗 (Siry R U Ready),3,307,-,-,-,+1(13),-,+1(143),-,-,-3,-,-,+3(111)
197,Renmin University of China,B题是个大水题 (P90 Rush B),3,311,-,-,-,+2(10),-,-10,-,-,+1(207),-,-,+1(74)
197,Beijing Institute of Technology,小欧爱吃酱肘子 (1e9+7),3,311,-,-,-,+2(11),-,+4(121),-,-,-,-,-,+3(59)
199,Beijing University of Posts and Telecommunications,"阿訇念经，嘤嘤嘤嘤 (Akhund read the Koran, (ying){4})",3,316,-,-,-2,+1(12),-,+1(139),-,-,-1,-,-,+4(105)
199,Changchun University of Science and Technology,有情绪 (We are angry),3,316,-,-,-,+1(9),-,+1(167),-,-,-6,-,-,+3(100)
201,Northwest A&F University,对不对对对对 (duibuduiduiduidui),3,318,-,-,-,+1(20),-,+2(165),-,-,-,-,-,+3(73)
202,Zhejiang University City College,不看晕针 (FineFineFine),3,321,-,-,-,+1(14),-,+3(207),-,-,-11,-,-,+1(60)
203,Zhejiang University City College,旅行八龟 (Travel_Turtle),3,330,-,-,-,+1(12),-,+5(165),-,-,-,-,-,+1(73)
204,Zhejiang Gongshang University,浙江TJP大学 (ZJTJPU),3,335,-,-,-,+1(13),-,+2(190),-,-,-12,-,-,+3(72)
205,North University of China,香肠腊肉 (Happy New Year~),3,341,-,-,-,+1(14),-,+1(262),-,-,-1,-,-,+1(65)
206,Xi'an Jiaotong University,Chaos (Chaos),3,351,-,-,-,+2(12),-,-15,-,-,+2(226),-,-,+2(53)
207,Northeastern University (China),我们一定会回来的 (NEU_We'll definitely come back!),3,352,-,-,-,+1(17),-,+1(195),-,-,-4,-,-,+4(80)
208,Zhengzhou University,只是想要艾特你 (Just want to @ you),3,357,-,-,-6,+1(8),-,+6(196),-,-,-5,-,-,+2(33)
209,Zhejiang SCI-TECH University,让我康康 (Let Me See See),3,359,-,-,-,+1(12),-,+3(234),-,-,-,-,-,+2(53)
210,Beijing Forestry University,皮卡丘的皮在痒 (Pikachu is tricking),3,362,-,-,-,+1(8),-,+1(190),-,-,-9,-,-,+4(104)
210,Southwest University of Science and Technology,就当我们没来过 (Pretend not to attend),3,362,-,-,-,+2(15),-,+2(243),-,-,-3,-,-,+1(64)
212,Southwest Petroleum University,难受队名被ban了 (Where are my girlfriends),3,373,-,-,-9,+1(9),-,+2(146),-,-,-1,-,-,+4(138)
213,Xi'an University of Posts and Telecommunications,换手机屏一块两块两块一块 (q:how much is the screen),3,387,-,-,-,+1(17),-,+3(242),-,-,-4,-,-,+2(68)
214,Jiangxi Normal University,氪金变强 (JXNU),3,388,-,-,-,+1(10),-,+2(214),-,-,-1,-,-,+2(124)
215,Northwest University,隐 (ruorancarry),3,390,-,-,-,+1(10),-,+2(206),-,-,-,-,-,+5(74)
216,Hangzhou Normal University,bi u (biu),3,395,-,-,-,+1(12),-,+2(276),-,-,-1,-,-,+1(87)
216,Hohai University,小猪佩齐 (penta kill),3,395,-,-,-,+1(11),-,+4(233),-,-,-,-,-,+2(71)
