Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
55,46,河海大学,结束ccpc队,4,337,-3,-,+1(60),-,+1(21),+2(42),-,-,-,+3(154),-,-,-,42%,Bronze,张时钊,张星宇,陈奕涵,N,N
56,,北京理工大学,为什么你们这么熟练啊,4,346,-,-,+1(133),-,+1(14),+3(56),-,-,-,+2(83),-,-7,-,42%,Bronze,廖嘉琦,张程,李坚辉,N,N
57,47,苏州大学,555我的炸鸡,4,370,-2,-,+1(82),-,+1(31),+1(47),-,-,-,+4(150),-,-,-,42%,Bronze,林志诚,陈惟一,顾俊辉,N,N
58,48,成都理工大学,文火鸽子汤,4,374,-1,-,+1(165),-,+1(11),+3(60),-,-,-,+1(98),-,-1,-,33%,Bronze,张文渝,汤昱力,闫学城,N,N
59,49,中国地质大学（北京）,高兴就喝水，emo也要喝水,4,375,-1,-,+1(183),-,+1(16),+1(42),-,-,-,+2(114),-,-,-,20%,Bronze,张宇潇,许兴城,黄恺瑞,N,N
60,50,哈尔滨工业大学（深圳）,删库跑路,4,380,-2,-,+3(165),-,+1(6),+1(48),-,-,-,+2(101),-,-8,-,42%,Bronze,任秦江,卢郡然,梁珊,N,N
61,51,湖南师范大学,师大之娙,4,397,-3,-,+1(153),-,+1(12),+1(74),-,-,-,+2(138),-1,-4,-,20%,Bronze,唐熙林,胡缘,魏佳蕾,N,N
62,52,西南大学,西南大学啦啦队,4,400,-2,-,+1(69),-,+1(13),+2(36),-,-,-,+7(142),-,-8,-,63%,Bronze,何一,徐畅,陈雯丽,N,N
63,,苏州大学,想喝桂花冬酿酒,4,419,-1,-,+1(129),-,+1(16),+2(75),-,-,-,+2(159),-,-,-,33%,Bronze,殷九思,简嘉瑶,郭沈琳,N,Y
64,53,东北师范大学,竹取飞翔,4,440,-,-,+3(226),-,+1(15),+1(44),-,-,-,+1(115),-,-4,-,33%,Bronze,刘一木,史曼玲,李嘉琦,N,N
65,54,西南财经大学,前进!冲击!突破!,4,448,-4,-,+1(207),-,+1(57),+2(100),-,-,-,+2(44),-,-,-,33%,Bronze,张硕,杨文昊,钟明汉,N,N
66,55,东北电力大学,青春Vibration,4,451,-7,-,+1(157),-,+1(15),+2(60),-,-,-,+5(119),-,-,-,55%,Bronze,关凯铭,徐浩东,李翔宇,N,N
66,55,中国科学院大学,骑士与龙,4,451,-,-,+2(206),-,+1(20),+1(31),-,-,-,+4(114),-,-,-,50%,Bronze,徐亦周,徐步骥,苑骏康,N,N
68,,天津大学,归零,4,466,-,-,+1(126),-,+1(38),+4(108),-,-,-,+4(74),-,-1,-,60%,Bronze,叶泽侬,崔奕凡,陈奕池,N,N
69,57,浙江理工大学,飞飞,4,476,-,-,+1(257),-,+1(12),+1(45),-,-,-,+1(162),-,-8,-,0%,Bronze,徐波,朱鑫鑫,薛淞尹,N,N
70,58,上海理工大学,胡学姐像阿尼亚一样可爱,4,486,-3,-,+1(142),-,+1(10),+1(52),-,-,-,+5(202),-,-,-,50%,Bronze,刘斌然,潘孝安,胡洁昌,N,N
71,59,广东工业大学,红烧乳鸽,4,487,-,-,+3(164),-,+1(24),+2(60),-,-,-,+3(139),-,-7,-,55%,Bronze,刘皓瑜,吴董超,陈逸霖,N,N
72,60,浙江工业职业技术学院,恭喜你加入羊群,4,505,-3,-,+1(114),-,+1(12),+1(36),-,-,-,+5(263),-,-,-,50%,Honorable,周越,杨楠,竺夏,N,N
73,61,南京航空航天大学,在CCPC中寻求WA并没有搞错什么,4,510,-,-,+1(193),-,+2(10),+1(81),-,-,-,+4(146),-,-6,-,50%,Bronze,任衍硕,吕俊琪,姚远,N,N
74,62,湘潭大学,参宿四,4,519,-2,-,+3(223),-,+1(16),+1(55),-,-,-,+4(125),-,-,-,55%,Honorable,付有鑫,李子熙,魏志高,N,N
75,63,湖南大学,打到银牌就算赢,4,522,-,-,-2,-,+1(7),+1(35),-,-,-,+4(144),-,+2(256),-,50%,Honorable,宋苏宇,廖曙康,朱名扬,N,N
76,64,西安交通大学,TidalBore,4,524,-,-,+5(206),-,+1(11),+2(53),-,-2,-,+3(114),-,-,-,63%,Honorable,张清扬,王禹皓,田雨阳,N,N
77,65,浙大城市学院,来杯拿铁,4,525,-,-,+2(156),-,+1(19),+1(39),-,-,-,+4(231),-,-3,-,50%,Honorable,潘劲帆,章晨榆,钟天宇,N,N
78,66,哈尔滨理工大学,哈理工Z01队,4,548,-,-,+1(237),-,+1(12),+1(70),-,-,-,+3(189),-,-1,-,33%,Honorable,岑鸿杰,陈嘉铭,顾红卫,N,N
79,67,西南科技大学,挑灯听风雨，断弦待天明,4,550,-4,-1,+3(145),-,+2(12),+1(40),-,-,-,+4(233),-,-,-,60%,Honorable,吴宇宏,张宇含,高源,N,N
80,,南京邮电大学,格兰芬多,4,589,-,-,+2(244),-,+1(15),+1(57),-,-,-,+4(193),-,-2,-,50%,Honorable,展翼,陈兆锋,黄问远,N,N
81,68,重庆大学,直接交,4,591,-,-,+3(268),-,+2(21),+1(68),-,-,-,+5(94),-,-1,-,63%,Honorable,王冀鲁,葛轩铭,黄锐,N,N
82,69,杭州师范大学,鹤望兰,4,606,-1,-,+3(250),-,+2(13),+2(86),-,-,-,+3(137),-,-1,-,60%,Honorable,傅贤杨,包嘉城,江宇杰,N,N
83,70,香港城市大学,九龙塘妙妙屋,4,607,-,-,+1(216),-,+1(21),+1(65),-,-,-,+4(245),-,-9,-,42%,Honorable,何禹,余喆涵,郑上锟,N,N
84,71,四川大学,我，真是个笨蛋,4,622,-3,-,+3(228),-,+1(15),+2(83),-,-,-,+2(216),-,-12,-,50%,Honorable,杨雨豪,楚博然,顾曦骏,N,N
85,72,燕山大学,塔山之巅,4,633,-,-,+1(200),-,+1(11),+1(100),-,-,-,+5(242),-,-,-,50%,Honorable,孙振轩,李一阳,赵玉航,N,N
86,73,郑州轻工业大学,蓝色一望无际,4,676,-,-,+10(298),-,+1(14),+1(46),-,-,-,+2(118),-,-,-,71%,Honorable,司传钊,赵永斌,郑皓阳,N,N
