Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Unofficial,Girl
187,,天津大学,谁在呼叫舰,2,141,-11,-,-,-,-,+1(18),-,-,-,-4,-,+2(103),-,33%,N,N
188,,武汉大学,武钢生产大队,2,145,-,-2,-,-,-,+1(24),-,-,-,-,-,+2(101),-,33%,N,N
189,,天津大学,阿巴阿巴阿巴,2,151,-,-,-,-,-,+1(35),-,-,-,-,-6,+2(96),-,33%,N,N
190,95,香港中文大学（深圳）,自动AC机,2,156,-5,-1,-4,-,-,+1(27),-,-,-,-,-1,+2(109),-,33%,N,N
191,96,北京信息科技大学,二次元去死,2,157,-1,-,-,-,-,+1(88),-,-,-,-,-3,+2(49),-,33%,N,N
192,,四川大学,要不跑路吧,2,159,-7,-,-,-,-,+2(42),-,-,-,-,-5,+2(77),-,50%,N,N
192,,西北农林科技大学,摩天动物园,2,159,-5,-,-,-2,-,+2(45),-,-,-,-,-,+1(94),-,33%,N,N
194,,福州大学,给我也整一个,2,160,-1,-2,-,-11,-,+3(72),-,-,-,-,-7,+1(48),-,50%,N,N
195,,中国人民大学,Doge,2,163,-1,-,-,-8,-,+1(21),-,-,-,-,-,+2(122),-,33%,N,N
196,,东北大学,终末之旅,2,166,-3,-,-,-,-,+1(25),-,-,-,-,-,+2(121),-,33%,N,N
197,97,山东理工大学,今天拿铁半价,2,172,-,-1,-,-,-,+2(33),-,-,-,-,-,+2(99),-,50%,N,N
198,,国防科技大学,重生,2,173,-9,-,-,-7,-,+2(30),-,-,-,-,-3,+3(83),-,60%,N,N
199,,南京信息工程大学,守护全宇宙最可爱的晗晗,2,182,-1,-,-,-,-,+2(85),-,-,-,-,-,+1(77),-,33%,N,N
200,98,东北大学秦皇岛分校,NEUQ-我爱龙,2,184,-,-6,-,-,-,+2(23),-,-,-,-,-,+4(81),-,66%,N,N
201,,浙江工业大学,耶梦加得,2,185,-26,-,-,-,-,+1(24),-,-,-,-,-,+4(101),-,60%,N,N
202,99,华南师范大学,一击,2,187,-,-,-,-,-,+1(57),-,-,-,-,-6,+1(130),-,0%,N,N
203,100,中国矿业大学,黑铁矿工,2,196,-6,-,-,-,-,+1(15),-,-,-,-,-,+4(121),-,60%,N,N
203,100,湖北工业大学,老年观光团,2,196,-,-,-,-,-,+1(46),-,-,-,-,-19,+1(150),-,0%,N,N
205,,华南农业大学,测评机不讲武德,2,204,-3,-,-,-,-,+1(30),-,-,-,-,-,+3(134),-,50%,N,N
206,,中国计量大学,一趴一躺一吃瓜,2,206,-8,-1,-,-,-,+1(38),-,-,-,-,-,+2(148),-,33%,N,N
207,102,杭州电子科技大学信息工程学院,小人物,2,209,-,-,-,-2,-,+2(30),-,-,-,-,-,+3(119),-,60%,N,N
208,103,中国石油大学（华东）,Lumos,2,231,-1,-2,-,-,-,+2(29),-,-,-,-,-3,+4(122),-,66%,N,N
209,104,西北大学,正在南非上网,2,234,-,-,-,-,-,+2(54),-,-,-,-,-2,+1(160),-,33%,N,N
210,105,上海理工大学,明治十七年的上海爱丽丝,2,238,-,-,-,-,-,+1(19),-,-,-,-,-2,+4(159),-,60%,N,N
211,,东北大学,正在讨论,2,241,-1,-,-,-,-,+1(38),-,-,-,-,-2,+6(103),-,71%,N,N
212,,北京交通大学,崂山啤酒酒花,2,264,-3,-,-,-,-,+1(25),-,-,-,-,-2,+6(139),-,71%,N,N
213,106,东北农业大学,闹挺大，都传疯了我们,2,275,-,+4(193),-,-,-,+1(22),-,-,-,-,-,-13,-,60%,N,N
214,107,东华大学,华东大学二队,2,277,-,-2,-,-,-,+1(32),-,-,-,-,-,+4(185),-,60%,N,N
215,,福州大学,好家伙,2,284,-2,-,-,-,-,+3(107),-,-,-,-,-,+4(77),-,71%,N,N
216,108,河南大学,幸运抽奖,2,290,-,-,-,-,-,+3(94),-,-,-,-,-8,+5(76),-,75%,N,N
217,109,江苏理工学院,雀力日进,2,291,-,-,-,-,-,+1(24),-,-,-,-,-10,+6(167),-,71%,N,N
218,110,杭州师范大学,四面杵鸽,2,296,-2,-,-,-,-,+2(23),-,-,-,-,-6,+6(153),-,75%,N,N
219,111,哈尔滨学院,可乐鸡,2,297,-,-,-,-,-,+1(72),-,-,-,-,-1,+6(125),-,71%,N,N
220,,浙江工商大学,粉红毛毛兔,2,308,-2,-,-,-,-,+2(48),-,-,-,-,-,+6(140),-,75%,N,N
221,,中国矿业大学,混元形意太极门,2,311,-,-,-,-,-,+1(39),-,-,-,-,+2(252),-7,-,33%,N,N
222,,郑州大学,队友比赛时睡着了,2,320,-2,-,-,-,-,+1(46),-,-,-,-,-,+6(174),-,71%,N,N
223,,浙大城市学院,昨夜萤火,2,323,-,-,-,-3,-,+4(71),-,-,-,-,-,+1(192),-,60%,N,N
224,,广东工业大学,简单爆零,2,325,-12,-,-,-,-,+1(40),-,-,-,-,-,+8(145),-,77%,N,N
224,112,江西师范大学,想拿个牌,2,325,-12,-,-,-,-,+3(64),-,-,-,-,-,+2(201),-,60%,N,N
226,113,重庆邮电大学,菜的魔力转圈圈,2,330,-4,-,-,-,-,+1(27),-,-,-,-,-1,+5(223),-,66%,N,N
227,114,南昌大学,超新星,2,331,-,+5(226),-,-,-,+1(25),-,-,-,-,-2,-9,-,66%,N,N
228,,中山大学,中山大学_鸽声绕梁,2,332,-2,-,-,-,-,+2(40),-,-,-,-,-,+7(152),-,77%,N,N
229,115,上海科技大学,人工智障,2,333,-,-,-,-5,-,+1(32),-,-,-,-,-8,+8(161),-,77%,N,N
229,115,中国地质大学（武汉）,未来城,2,333,-2,-,-,-,-,+1(22),-,-,-,-,-,+7(191),-,75%,N,N
