Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
132,,中国石油大学（华东）,UPC1953,5,768,+5(135),+1(207),-,-,-,-,+3(22),-,-,+1(35),-,+4(189),-,64%,Bronze,刘志恒,黄阔,钱智昊,N,N
133,77,兰州大学,得陇望蜀,5,776,+2(167),+1(239),-,-3,-,-,+2(43),-,-,+2(50),-,+1(217),-,37%,Bronze,张皓然,万全,马良,N,N
134,78,重庆城市科技学院,哈基米哟南北绿豆,5,776,+3(103),+1(275),-1,-1,-,-,+1(21),-,-,+1(34),-,+4(243),-,50%,Bronze,刘英凯,吴广平,董铮,N,N
135,79,成都大学,妹相随～黑白世界的缤纷冒险～,5,780,+8(128),+2(142),-6,-,-,-,+2(21),-,-,+1(27),-,+3(242),-,68%,Bronze,万名森,冉天祺,赵嘉源,N,N
136,,山东大学,芝士队名,5,798,+3(151),+2(212),-1,-,-,-,+3(31),-,-,+1(23),-,+1(281),-,50%,Bronze,王路阳,王政骁,吴一豪,N,N
137,,西北工业大学,众神眷恋的幻想乡,5,800,+3(140),-2,+1(257),-,-,-,+1(23),-,-,+1(42),-,+1(298),-,28%,Bronze,邵嘉豪,王彦淞,郭知宇,N,N
138,80,浙大宁波理工学院,最后的机会,5,805,+3(128),+1(294),-,-,-,-,+1(25),-,-,+1(41),-,+4(217),-,50%,Bronze,宋欣远,虞琦,涂荣基,N,N
139,,杭州师范大学,哈哈请冷静,5,827,+6(201),+1(235),-,-,-,-,+2(57),-,-,+1(49),-,+1(165),-,54%,Bronze,乔迪,冷题名,黄祺恺,N,N
140,81,昆山杜克大学,要一个队名,5,833,+8(268),+2(97),-1,-,-,-,+2(29),-,-,+1(22),-,+2(217),-,66%,Bronze,成秉翰,冯昊扬,Bilol Abdilxayev,N,N
141,,南京信息工程大学,异世界编程使者,5,846,+5(194),+2(260),-1,-,-,-,+2(23),-,-,+1(40),-,+1(209),-,54%,Bronze,王欣悦,姜钟珩,陈东,N,N
142,,大连理工大学,我将点燃大海,5,858,+3(160),+7(294),-,-,-,-,+1(24),-,-,+1(11),-,+1(209),-,61%,Bronze,金晟,蒋佳炀,时佳骏,N,N
143,82,华北电力大学（保定）,四个二带双王,5,883,+3(172),+5(273),-,-,-,-,+2(42),-,-,+1(23),-,+1(233),-,58%,Bronze,梁朝阳,武献宇,戴炜轩,N,N
144,83,重庆工程学院,布鲁粉丝团,5,926,+13(279),+1(93),-,-,-,-,+5(42),-,-,+2(38),-,+1(134),-,77%,Bronze,张翔,胡鑫昊,向黎华,N,N
145,,西北工业大学,学1维数组写2次剩余运行4次得8个警告16个错误余32根头发,5,954,+6(131),+6(195),-,-,-,-,+2(61),-,-,+3(32),-,+2(255),-,73%,Bronze,陈玟,吴天烨,涂思亮,N,N
146,84,河北工程大学,喵喵喵,5,978,+13(193),+1(241),-9,-,-,-,+1(17),-,-,+1(25),-,+6(162),-,77%,Bronze,郭圳涛,王宇乐,孙伟昊,N,N
147,,浙江师范大学,我将以猫形态出击 Gundam Cat,5,1010,+4(255),+4(294),-,-,-,-,+1(29),-,-,+1(44),-,+2(248),-,58%,Bronze,兰博望,余健原,周雨星,N,N
148,85,湖南理工学院,君不见高堂评测悲全WA,5,1086,+7(82),+1(235),-,-,-,-,+4(60),-,-,+1(57),-,+10(292),-,78%,Bronze,费峥宇,陈天好,林卫昱,N,N
