Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
92,南京航空航天大学,起名困难症,2,229,,,,,,+2(22),,+3(147),,,,,
93,浙江中医药大学,行走在茫茫月光的中间,2,231,-1,,,,,+1(29),,+5(122),,,,,
94,华东师范大学,来到北纬45度,2,234,-3,,,,,+1(21),,+5(133),,,,,-9
95,北京理工大学珠海学院,豆汁焦圈豌豆黄辣白菜羊杂汤,2,236,,,,,,+1(27),,+4(149),,,,,
96,西北大学,Show Me Your ACstyle,2,240,,,,,,+2(13),,+4(147),,,,,-19
97,南京大学,以上队伍成绩无效,2,246,-2,-1,,,,+1(8),,+6(138),,,,,
98,常州大学,盐鱼,2,250,,,,,,+1(29),,+4(161),,,,,-27
99,中国地质大学（北京）,556,2,255,,-5,,,,+1(15),,+3(200),-1,,,,
100,哈尔滨工程大学,编码的三点理由,2,260,,,,,,+1(28),,+5(152),,,,,
101,西安邮电大学,破晓,2,261,,-7,,,,+1(29),,+2(212),,,,,
102,东北大学秦皇岛分校,东秦一队,2,264,,,,,,+1(14),,+5(170),-3,,,,
103,中国矿业大学,熊本熊X起司猫,2,265,-2,,,,,+1(9),,+4(196),,,,,-16
104,广东工业大学,燃烧军团,2,272,,,,,,+1(29),,+6(143),,,,,-31
105,北京理工大学,BIT666,2,276,,-16,,,,+1(25),,+5(171),,,,,
106,山东理工大学,人机(入门),2,287,,,,,,+1(32),,+4(195),,,,,-6
107,西北民族大学,走错门的电子发烧友,2,295,,-1,,,,+1(75),,+4(160),,,,,
107,山东理工大学,我的真实身份是一颗二叉树,2,295,-1,-4,,,,+1(19),,+3(236),,,,,
109,北京林业大学,只做了一点微小的题目,2,302,-3,-9,,,,+1(12),,+8(150),,,,,
109,北京交通大学,小富即安,2,302,,,,,,+2(27),,+6(155),,,,,-24
