Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
274,铜奖,福州大学,给本公主上个全银川最好的酸辣粉,3,131,+1(14),,,,+2(70),,-8,,,+1(27),-9,,
275,铜奖,东北大学,我想要一个粉色气球,3,152,+2(25),-1,,,+2(43),,,,,+1(44),-13,,-7
275,铜奖,华南师范大学,月下星辰,3,152,+1(23),,,,+1(85),,,,,+1(44),-3,,
277,铜奖,杭州师范大学,果宝三剑客,3,153,+2(26),,,-1,+1(61),,,,,+1(46),-8,,
277,铜奖,福州大学,新建文本文档.txt,3,153,+2(23),,-1,,+1(65),,-1,,,+1(45),-12,,
279,铜奖,南昌大学,"""AllianCe(4,5,6)""",3,173,+1(36),-2,,-2,+2(70),,,,,+1(47),-7,,
280,铜奖,集美大学,我们不会修电脑,3,174,+1(29),,,,+1(79),,,,,+1(66),-4,,
280,铜奖,信息工程大学,给dy倒一杯可乐,3,174,+1(28),,,,+1(87),,,,,+1(59),-12,,
282,铜奖,北京航空航天大学,地址过低,3,184,+1(15),-1,,,+1(47),,,,-1,+3(82),-9,,
283,铜奖,青岛科技大学,三个诸葛亮,3,190,+2(31),,,,+1(81),,,,,+1(58),-5,,
284,铜奖,哈尔滨工业大学（威海）,阿尔法荣光,3,192,+1(28),,,,+1(68),,,,,+2(76),-9,,
285,铜奖,中国传媒大学,夏日长吃小肉串喝杏仁茶,3,193,+1(33),,,,+1(64),,,,,+1(96),,,
286,铜奖,济南大学,流星,3,198,+2(41),-1,,,+1(76),,,,,+1(61),-3,,
286,铜奖,广西大学,炼铜术土,3,198,+1(15),-2,,,+2(75),,,,,+1(88),-5,,
288,铜奖,山东大学（威海）,把我的Hello World板子拿过来,3,199,+1(26),-1,,,+3(67),,,,,+1(66),-16,,
289,铜奖,浙江中医药大学,最后一个滑铲,3,201,+2(35),,,,+1(93),,,,,+1(53),-9,,
290,铜奖,浙江万里学院,苗妙妙养了一只喵叫喵妙,3,205,+2(21),,,,+2(67),,,,,+2(57),-17,,
291,铜奖,江西理工大学,拿牌刘神女装队,3,208,+1(30),,,,+1(94),,,,,+2(64),-17,,
292,铜奖,河南理工大学,这不河狸,3,209,+2(36),,,,+1(90),,,,,+1(63),-6,,
292,铜奖,内蒙古大学,不能摸了,3,209,+2(35),-5,,,+1(94),,,,,+1(60),,,
294,铜奖,哈尔滨工业大学(深圳）,yzy最可爱了,3,214,+1(19),-1,,,+2(49),,,,,+2(106),-1,,
295,铜奖,大连海事大学,风花雪月,3,217,+2(33),,,,+1(72),,,,,+3(52),-8,,
296,铜奖,浙江工商大学,键盘滚脸,3,219,+1(31),,,,+2(80),,,,,+1(88),-2,,
297,铜奖,浙江育英职业技术学院,育英七队,3,223,+1(25),,,,+3(70),,,,,+1(88),-10,,
297,铜奖,苏州科技大学,三个炼金师,3,223,+2(46),-1,,,+1(100),,,-1,,+1(57),-5,,
299,铜奖,西南科技大学,其实我们是女队,3,227,+1(34),,,,+1(122),,,,,+1(71),-1,,
300,铜奖,成都理工大学,16-不存在的银川火车站,3,228,+1(23),,,,+2(91),,,,,+3(54),-24,,
301,,西南民族大学,快乐星球,3,240,+1(32),,,,+1(66),,,,,+2(122),-4,,
302,,南京邮电大学,很难起,3,241,+2(43),,,,+2(82),,,,,+1(76),-10,,
303,,河南理工大学,焦煤生产大队,3,244,+1(38),,,,+2(110),,,,,+1(76),-6,,
303,,哈尔滨理工大学,哈理工10队,3,244,+1(27),,,,+2(124),,,,,+1(73),-5,,
305,,广东工业大学,蹲在树堆里,3,245,+1(31),,,,+1(81),,,,,+3(93),-3,,
306,,天津工业大学,烤肉,3,246,+2(35),,,,+1(68),,,,,+2(103),-4,,
307,,西北工业大学,黑色切題者,3,248,+1(16),-1,,-1,+4(80),,,,,+2(72),-10,,
307,,浙江农林大学,我是乱打的,3,248,+3(44),,,,+2(85),,,,,+1(59),-19,,
307,,中国矿业大学（徐海学院）,灵动,3,248,+1(33),,,,+1(111),,,,,+2(84),-29,,
310,,西安理工大学,拿牌就给队友表白,3,254,+1(18),,,,+6(104),,,,,+1(32),-4,,
