Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
48,,中山大学,中山大学_破败军团,6,776,+2(61),-,+1(33),+3(263),-,-,+1(68),+1(104),-,-3,-,-,+4(127),50%,Silver,姚敏清,彭泽铭,郑海俊,N,N
49,35,江西师范大学,ero automaton,6,792,-1,-,+1(27),-,+4(224),-,+1(24),+1(81),-,+2(288),-,-,+1(68),40%,Silver,张天福,陈哲,颜玮琦,N,N
50,36,西安电子科技大学,辛几何旋律,6,793,+5(212),-,+1(22),-14,+4(254),-,+1(8),+1(56),-,-,-,-,+1(101),53%,Silver,冯畅,周灿,湛忠胜,N,N
51,37,西安交通大学,一人一题,6,806,+1(165),-,+1(24),-,+5(272),-,+2(32),+1(87),-,-2,-,-,+1(126),45%,Silver,孙路,施劲松,朱晨曦,N,N
52,,北京航空航天大学,大吉大利，今晚吃 mian();,6,811,+1(257),-,+1(27),+2(209),-6,-,+1(34),+2(43),-,-,-,-,+5(121),50%,Silver,刘佳睿,潘天蔚,郝泽钰,N,N
53,38,燕山大学,塔山之巅,6,818,+2(110),-,+1(23),+8(280),-9,-,+3(38),+1(90),-,-,-9,-,+1(77),62%,Silver,孙振轩,李一阳,赵玉航,N,N
54,,中南大学,摸鱼自动机,6,857,+2(265),-,+1(30),-,+2(284),-,+1(27),+1(89),-,-,-,-,+1(122),25%,Silver,周霄羽,张皓然,黄道煜,N,N
55,,武汉大学,今天的罚时甚是喧嚣啊,6,885,+6(139),-,+1(18),-5,+3(203),-,+2(40),+1(106),-,-3,-,-,+3(179),62%,Silver,刘锡锐,吴飞洋,陈佳楹,N,N
56,,北京航空航天大学,会挽雕弓如满月,6,939,+2(131),-,+2(27),-,+9(269),-,+3(51),+1(71),-,-3,-,-,+1(150),66%,Silver,傅可树,梁钧著,马一,N,N
57,39,山东理工大学,无至之境,6,981,+1(101),-,+1(22),-7,+11(288),-,+1(29),+3(196),-,-,-,-,+1(105),66%,Silver,宋天一,张广祺,杨帆,N,N
58,40,中国矿业大学,矿野之息,6,995,+2(198),-,+1(30),-,+2(286),-,+1(47),+3(246),-,-,-,-,+1(108),40%,Silver,杨斌涵,肖扬航,雷毅,N,N
59,41,浙江师范大学,贪心,6,1049,+4(153),-,+1(27),-,+13(293),-,+1(46),+2(65),-,-,-3,-,+2(125),73%,Silver,吴铮,郑顺帆,黄彬成,N,N
60,42,东北大学,东北大学_毒,6,1085,+1(76),-,+1(29),-12,+20(295),-,+1(39),+1(111),-,-,-,-,+4(95),78%,Silver,仝家驹,濮金骁,陈彦澍,N,N
61,43,东北师范大学,竹取飞翔,5,294,+1(103),-,+2(29),-,-14,-,+1(17),+1(70),-,-,-,-,+1(55),16%,Silver,刘一木,史曼玲,李嘉琦,N,N
62,,北京邮电大学,大括号不换行,5,381,+1(196),-,+1(24),-4,-1,-,+1(35),+1(56),-,-,-4,-,+1(70),0%,Silver,张子阳,徐元程,蔡维翰,N,N
63,44,集美大学,抱歉，这没有集美,5,382,-5,-,+1(26),-,+3(170),-,+1(21),+1(53),-,-,-,-,+1(72),28%,Silver,何皆庆,林贝宁,蔡万杰,N,N
64,45,北京交通大学,相遇天使,5,432,+1(247),-,+1(21),-,-11,-,+1(29),+1(87),-,-5,-,-,+1(48),0%,Silver,杨佳昊,邓人嘉,金恒柘,N,N
65,46,复旦大学,正在缓冲,5,441,-,-,+1(27),-4,-,-,+1(36),+1(108),-,+3(165),-,-,+1(65),28%,Silver,李航成,舒文韬,葛煦旸,N,N
66,,哈尔滨工程大学,WA 自动机 Fail 树上建可持久化 RE 树,5,456,+2(146),-,+1(29),-3,-1,-,+1(40),+2(106),-,-4,-,-,+3(55),44%,Silver,吴兆昕,杨春昊,黄凯鹏,N,N
67,47,桂林电子科技大学,无名之辈,5,457,-6,-,+1(22),+5(156),-,-,+1(28),+1(51),-,-,-,-,+2(100),50%,Silver,刘思语,汪庭浩,黄思晨,N,N
68,,华南理工大学,星穹铁道 Star Rail,5,463,+1(188),-,+1(18),-4,-5,-,+1(11),+1(52),-,-,-,-,+4(134),37%,Silver,程科源,翟宇炫,赵冬青,N,N
69,48,济南大学,樱之重生,5,469,+2(182),-,+1(23),-,-5,-,+4(38),+1(81),-,-,-,-,+1(65),44%,Silver,刘延松,张益铭,龚奕天,N,N
70,49,四川大学,树上莫队,5,474,+1(259),-,+1(26),-2,-,-,+1(34),+2(78),-,-,-,-,+1(57),16%,Silver,刘却桓,朱奕杰,黄云垄,N,N
71,,福州大学,奇遇,5,483,+1(167),-,+1(18),-,-4,-,+1(35),+2(97),-,-,-,-,+2(126),28%,Silver,林文浩,黄森,龙林,N,N
72,50,哈尔滨工业大学（深圳）,哈工生产大队,5,498,+1(156),-,+1(33),-7,-,-,+1(49),+1(85),-,-,-,-,+1(175),0%,Bronze,李嘉淇,李潭啸,陈禹昕,N,N
73,51,天津工业大学,专注分母二十年,5,511,+2(280),-,+1(20),-,-,-,+1(41),+1(55),-,-,-,-,+1(95),16%,Bronze,姚一鸣,宋一鸣,杨磊,N,N
74,52,北京化工大学,打不过就哭哭,5,517,+1(256),-,+1(29),-,-,-,+1(42),+1(76),-,-,-1,-,+1(114),0%,Bronze,张世东,徐文博,韩明辰,N,N
75,,杭州电子科技大学,杭电 3 队,5,524,-5,-,+2(35),-,+2(264),-,+1(30),+1(74),-,-4,-,-,+1(81),28%,Bronze,周栋,周靖涵,黄子梁,N,N
75,53,广东工业大学,难兄难弟,5,524,+1(277),-,+1(21),-,-,-,+1(28),+2(82),-,-,-,-,+1(96),16%,Bronze,丘钊文,曾梓淮,李贤满,N,N
77,,桂林电子科技大学,我们队长考青大落榜了,5,535,+2(113),-,+1(24),-16,-,-,+2(41),+2(140),-,-,-,-,+1(157),37%,Bronze,元正臣,张安航,张蓝天,N,N
78,,武汉大学,转生成 ACM 打铁选手又怎样,5,536,+4(209),-,+1(22),-,-1,-,+1(50),+2(78),-,-4,-,-,+1(97),44%,Bronze,王旗玉,蒋敬,陈育欣,N,N
79,,电子科技大学,UESTC_七海大大大鲨鱼,5,547,-8,-,+2(24),+6(209),-,-,+1(27),+2(48),-,-6,-,-,+1(99),58%,Bronze,彭帅康,李纪甫,诸人豪,N,N
80,54,山东大学,追光者,5,549,+3(284),-,+2(41),-,-,-,+1(49),+2(66),-,-,-,-,+1(29),44%,Bronze,庞天祥,战绪丰,袁胜利,N,N
81,55,浙大城市学院,来杯拿铁,5,554,+3(291),-,+1(21),-,-,-,+1(9),+1(56),-,-,-,-,+2(117),37%,Bronze,潘劲帆,章晨榆,钟天宇,N,N
82,56,西南大学,西南大学啦啦队,5,571,-1,-,+1(21),-5,+1(221),-,+1(32),+2(128),-,-,-,-,+1(149),16%,Bronze,何一,徐畅,陈雯丽,N,N
82,56,重庆邮电大学,这是你的捍 WA 者,5,571,+3(240),-,+1(18),-,-8,-,+1(50),+1(122),-,-,-,-,+3(61),44%,Bronze,孙培博,江骏扬,罗昊,N,N
84,,苏州大学,韩氏空指针上可持久化雨自动机,5,576,+1(236),-,+1(24),-,-,-,+1(38),+2(103),-,-1,-,-,+2(135),28%,Bronze,周逸扬,李承庚,赵鹏,N,N
